year, NorESM2-LM, CESM2-WACCM, NorESM2-MM, CNRM-ESM2-1, UKESM1-0-LL, EC-Earth3-Veg, IPSL-CM6A-LR, INM-CM5-0, CMCC-CM2-SR5, INM-CM4-8, MPI-ESM1-2-LR, TaiESM1, ACCESS-ESM1-5, CanESM5, MIROC-ES2L, GFDL-ESM4
2.062000000000000000e+03, 2.411770297709810329e+00, 2.684927339414798109e+00, 2.431797183697649523e+00, 3.500630561364307169e+00, 3.417004833364698957e+00, 2.485299311080373830e+00, 2.523601646203795568e+00, 2.579962263303483994e+00, 2.402337647226358897e+00, 2.409900192499179195e+00, 3.916029046022996507e+00, 1.395790189992184960e+00, 3.250342354459178296e+00, 5.252300407502882962e+00, 4.494069889988942634e+00, 2.997584332627168724e+00
2.063000000000000000e+03, 2.052157302010491513e+00, 2.619327986162780952e+00, 2.467849704253392673e+00, 3.604223280076364500e+00, 3.129329776305365574e+00, 2.934758788621618653e+00, 2.473062724228252574e+00, 2.913737005915817413e+00, 2.354690255210948990e+00, 2.587246071510756362e+00, 3.571534704048459297e+00, 1.530532513824078844e+00, 3.240925844701159519e+00, 5.321085273439950747e+00, 4.622490223711249513e+00, 3.182337114273038559e+00
2.064000000000000000e+03, 2.205730698976787973e+00, 2.750390016198170695e+00, 2.303292587805943814e+00, 3.511137732932963829e+00, 3.559431343006144388e+00, 3.104409698947959040e+00, 2.709404086531873368e+00, 2.766162210035512548e+00, 2.314635414274649250e+00, 2.800548907459867287e+00, 3.700523113365127958e+00, 1.353756607768070053e+00, 3.493357880498312529e+00, 4.806876098583599877e+00, 4.765578702399404065e+00, 2.932112454219001574e+00
2.065000000000000000e+03, 2.360137963252072257e+00, 2.894414449859690208e+00, 2.438164985653752836e+00, 3.551317489146557982e+00, 3.263432430905313986e+00, 3.430084889909585932e+00, 3.060380098470483201e+00, 2.924667287188689624e+00, 2.349090785364592815e+00, 2.525745445568741143e+00, 3.666838696879575643e+00, 1.296933630439390361e+00, 3.298869962851163962e+00, 5.129423651923631589e+00, 4.454505975153498554e+00, 3.089213097874261571e+00
2.066000000000000000e+03, 2.421467289266983069e+00, 2.813641462337574062e+00, 2.550003409600166915e+00, 3.277537306323563993e+00, 3.235743946621869149e+00, 2.965199624464376349e+00, 2.299329155343277087e+00, 2.989741749669261761e+00, 2.513801461527248371e+00, 2.537020926057242942e+00, 3.683682508746673356e+00, 1.469571716540933659e+00, 3.137669637929601851e+00, 5.396271314719359502e+00, 4.715681095224579344e+00, 2.875895235799629024e+00
2.067000000000000000e+03, 2.264867003349167351e+00, 2.694920514379986809e+00, 2.517886351825429081e+00, 3.706385859110408187e+00, 3.215847207377685812e+00, 2.894348745130237432e+00, 3.083712804803373064e+00, 2.882437881413168590e+00, 2.312274781472852148e+00, 2.568939219968664478e+00, 3.887060977630424130e+00, 1.454432445887318792e+00, 3.438776809515336819e+00, 5.300160944128000651e+00, 4.615550261313269509e+00, 3.027099913224188921e+00
2.068000000000000000e+03, 2.356689463206687041e+00, 2.631346902091634021e+00, 2.629153689232301083e+00, 3.585017605400789176e+00, 3.018737560234721062e+00, 2.773176916308144779e+00, 2.741084426360044901e+00, 2.650616335477372854e+00, 2.853711916830611983e+00, 2.774720975733571571e+00, 3.705172512319780953e+00, 1.453216967702947171e+00, 3.308315728788306043e+00, 5.269533037607397219e+00, 4.854365458877597739e+00, 2.967588812924562003e+00
2.069000000000000000e+03, 2.417570041738562381e+00, 2.728914811365067639e+00, 2.681962244384234584e+00, 3.607647344924375776e+00, 3.419004793735737735e+00, 3.165472646681824376e+00, 2.885144176691588402e+00, 2.743815345725910682e+00, 2.274426376293402274e+00, 2.503532059765941398e+00, 3.426526716669576089e+00, 1.378534861292942892e+00, 3.253742546344278175e+00, 5.181164394046666288e+00, 4.920588128103649872e+00, 2.881471117846841068e+00
2.070000000000000000e+03, 2.459489895587792851e+00, 2.772595691474040169e+00, 2.557605775071223331e+00, 3.813004079851154859e+00, 3.255283862392719385e+00, 2.666226899935933314e+00, 2.759123248225518577e+00, 2.907282489312913221e+00, 2.174276079148987240e+00, 2.725050764416482973e+00, 3.891579906914929499e+00, 1.501555624427606039e+00, 3.209993416420620083e+00, 4.871356336162806500e+00, 4.565482394237686314e+00, 2.848757519909582037e+00
2.071000000000000000e+03, 2.409357501863167439e+00, 2.707008687466234687e+00, 2.317468767337214963e+00, 3.478134178750556416e+00, 3.459684633801501707e+00, 3.214242343186211937e+00, 2.865688278644066500e+00, 2.959685641503133180e+00, 2.370384668650174387e+00, 2.731488381595278625e+00, 3.676045441010481696e+00, 1.483288173362318663e+00, 3.482913134321134585e+00, 5.125941736916662883e+00, 4.833919636755343419e+00, 3.100912666003742491e+00
