year, CNRM-ESM2-1, TaiESM1, MPI-ESM1-2-LR, CESM2-WACCM, CMCC-ESM2, UKESM1-0-LL, NorESM2-MM, IPSL-CM6A-LR, NorESM2-LM, EC-Earth3-Veg
2.077000000000000000e+03, 1.299347651351758282e-10, 1.307518071547924054e-10, 1.442064159179619954e-11, 4.091036349971881281e-10, 2.429186004979671677e-10, 4.697722236244752794e-13, 1.909787354766246807e-09, 2.050864216628329449e-11, 1.742500670415557566e-09, 6.085189483278231501e-11
2.078000000000000000e+03, 1.286547881354150895e-10, 1.317906353638099852e-10, 1.423310578398655410e-11, 4.089183881731189195e-10, 2.385563416580005953e-10, 5.022758121907908220e-13, 2.009622988067548735e-09, 2.060731806956188926e-11, 1.822154157200586800e-09, 5.248038441862452554e-11
2.079000000000000000e+03, 1.287019740561172715e-10, 1.320696330712376254e-10, 1.407925240956964562e-11, 4.111714722759485479e-10, 2.427328486495726187e-10, 4.997569858241492050e-13, 2.120481649446811603e-09, 2.116020321778761644e-11, 1.930299428371070016e-09, 5.581790390483707688e-11
2.080000000000000000e+03, 1.286114002211723950e-10, 1.292695366012537543e-10, 1.579707448112718369e-11, 4.091558648381118068e-10, 2.437023340598331911e-10, 5.009936987003220319e-13, 2.131224287615422229e-09, 2.110960310307498154e-11, 1.927027422218374944e-09, 5.708981096461000245e-11
2.081000000000000000e+03, 1.348249885601776870e-10, 1.300314581984053872e-10, 1.643084265243475626e-11, 4.110974917373724632e-10, 2.323501203104828592e-10, 4.604436117158815198e-13, 2.230127580692001107e-09, 2.454298913604487674e-11, 2.012188761438191752e-09, 5.137401205695229179e-11
2.082000000000000000e+03, 1.377862568448165494e-10, 1.291595121915412180e-10, 1.671747184555906531e-11, 4.117820120457657806e-10, 2.259454113015139762e-10, 4.024624912878003343e-13, 2.204565527281713395e-09, 2.517688481608616723e-11, 1.934286110684009491e-09, 4.703520006104951718e-11
2.083000000000000000e+03, 1.398698746924583483e-10, 1.277830654787874953e-10, 1.725271216990351522e-11, 4.090569962327866463e-10, 2.329862424046993847e-10, 3.595517561438757382e-13, 2.093236747657511255e-09, 2.554739602221519640e-11, 2.038785908971232915e-09, 4.995186837257547179e-11
2.084000000000000000e+03, 1.441833891811461417e-10, 1.262883958238611579e-10, 1.712622664040963032e-11, 4.116777845731097939e-10, 2.328560537191746323e-10, 3.437880359487201208e-13, 2.055393496168042128e-09, 2.615959816377897337e-11, 2.184411014593030841e-09, 5.171950840912210003e-11
2.085000000000000000e+03, 1.456760716593064477e-10, 1.279517170553573151e-10, 1.432480258681026141e-11, 4.149960795610997511e-10, 2.292223057952091679e-10, 3.245533440851607979e-13, 2.094627507606088545e-09, 2.659429829809634572e-11, 2.107372796052127908e-09, 5.216555129955418837e-11
2.086000000000000000e+03, 1.394059884539783535e-10, 1.309315516267158508e-10, 1.242425264601162429e-11, 4.085166299593161893e-10, 2.310107902843990307e-10, 2.897203188789019254e-13, 2.107471484262737498e-09, 2.243830908963970038e-11, 1.861798735127643245e-09, 4.494538655798294382e-11
2.087000000000000000e+03, 1.379207752363004936e-10, 1.298609321015151458e-10, 1.215946538509819895e-11, 4.090098135953071334e-10, 2.301917221506923592e-10, 2.603069041667909746e-13, 2.009245371373663396e-09, 2.237397171379589072e-11, 1.838172795285982201e-09, 4.678477653523974242e-11
2.088000000000000000e+03, 1.378792961948405068e-10, 1.298016746073498722e-10, 1.146642207978007997e-11, 4.089617464916979879e-10, 2.233124404069586074e-10, 2.811400106817738197e-13, 2.024535885533400275e-09, 2.234995615998047816e-11, 1.905930677445608762e-09, 4.784052372149633831e-11
2.089000000000000000e+03, 1.384984096744764984e-10, 1.306641361175585217e-10, 1.108268593343638031e-11, 4.031078838294101911e-10, 2.289131423669809847e-10, 3.614221796953136205e-13, 2.160093247620072684e-09, 2.267426051073001388e-11, 2.096271906202626258e-09, 5.747130091109850301e-11
2.090000000000000000e+03, 1.396961904588881681e-10, 1.288311875250160354e-10, 1.284080567549085255e-11, 4.040360759868843967e-10, 2.335108544655136663e-10, 4.315783909432521313e-13, 2.134556786016161364e-09, 2.282080027838024047e-11, 2.126583794932263794e-09, 6.002254415186445218e-11
2.091000000000000000e+03, 1.293666697195583382e-10, 1.243190032598496806e-10, 1.400724846284108885e-11, 3.434170741704110380e-10, 2.292567221593433425e-10, 7.463653110780481528e-13, 2.182881719633606163e-09, 2.697133181912074977e-11, 2.139301420500753598e-09, 5.070751325360126907e-11
2.092000000000000000e+03, 1.284130584552026030e-10, 1.256869596737629494e-10, 1.439055851003472589e-11, 3.387334987361875069e-10, 2.243333240715733230e-10, 9.234764468563305656e-13, 2.203600668402514480e-09, 2.708119975120464116e-11, 2.193823412920105006e-09, 5.390427497344516473e-11
2.093000000000000000e+03, 1.292309802144641509e-10, 1.280568991116169811e-10, 1.383499242369750031e-11, 3.321841065314239055e-10, 2.270083860347389607e-10, 9.581076737009121560e-13, 2.037608466485667298e-09, 2.702235794552613227e-11, 2.099179141865112037e-09, 5.175841654794534427e-11
2.094000000000000000e+03, 1.274888249893813056e-10, 1.275300233341011364e-10, 1.396578138827064262e-11, 3.293188891002970241e-10, 2.310573031862616371e-10, 1.207675004836735978e-12, 2.012972928019591424e-09, 2.697809869294480973e-11, 1.880996390368203594e-09, 5.935876142578401275e-11
2.095000000000000000e+03, 1.269662476116815940e-10, 1.269769099963544054e-10, 1.415608495720299308e-11, 3.260391067378529972e-10, 2.274388812002210178e-10, 1.134005498999407272e-12, 2.186398642482179138e-09, 2.722950755144110469e-11, 1.856873055033809851e-09, 6.079499201269526146e-11
2.096000000000000000e+03, 1.149516425418463201e-10, 1.275432689192519468e-10, 1.467202320692121824e-11, 3.122121166488183006e-10, 2.205893633560325831e-10, 7.873167012330383502e-13, 1.881180441169346155e-09, 2.729831673976088503e-11, 1.864045138697199894e-09, 3.730708150798072605e-11
2.097000000000000000e+03, 1.139765653170302867e-10, 1.281090474741031531e-10, 1.457975305125531534e-11, 3.077573041804781176e-10, 2.216887050737425130e-10, 6.260715897018872233e-13, 1.867589524905902842e-09, 2.775624800586869322e-11, 1.953244857982172622e-09, 3.750611583795048603e-11
2.098000000000000000e+03, 1.181329480067873326e-10, 1.248003923207566451e-10, 1.447007043790574199e-11, 3.072284488595172394e-10, 2.261808577061288933e-10, 5.789049865905885655e-13, 2.083060019591839025e-09, 2.798981031564920588e-11, 1.982543061245018123e-09, 3.420549371578257095e-11
2.099000000000000000e+03, 1.348006790354616207e-10, 1.260903006991777405e-10, 1.450554590274037604e-11, 3.011800256906991676e-10, 2.266787769285683766e-10, 5.627044550278130417e-13, 2.130618979542463900e-09, 2.858722226185916477e-11, 1.913464996053486627e-09, 3.713240536551807575e-11
2.100000000000000000e+03, 1.349670611756112486e-10, 9.801219776965912002e-11, 7.407990642996471975e-12, 2.970628805486063590e-10, 1.783715142349281686e-10, 6.216765837893551972e-13, 2.082034350361241599e-09, 2.871766538120487172e-11, 1.914298323463790958e-09, 3.630016428610651403e-11
