year, CESM2-WACCM, CMCC-ESM2, ACCESS-ESM1-5, IPSL-CM6A-LR, UKESM1-0-LL, CNRM-ESM2-1, MIROC-ES2L, MPI-ESM1-2-LR
2.081000000000000000e+03, 2.239678627641182567e-09, 2.025515061018757626e-10, 5.783647726490641944e-11, 2.912053172757128998e-09, 4.604436137956794448e-13, 4.600330635215338389e-11, 2.171522527321561325e-09, 1.535042839437313429e-09
2.082000000000000000e+03, 2.189370860663109301e-09, 2.021364225039188705e-10, 5.673461175063917365e-11, 2.672389494188963509e-09, 4.024624865185889831e-13, 4.743114220419366822e-11, 2.191975933370502480e-09, 1.548056450304460816e-09
2.083000000000000000e+03, 2.312944923089977509e-09, 2.013346522277973607e-10, 5.606084498090889251e-11, 2.859230815436672234e-09, 3.595517554172149377e-13, 4.886953299454853422e-11, 2.189636667891713645e-09, 1.610158382018178390e-09
2.084000000000000000e+03, 2.446974303561552691e-09, 2.004134312682508526e-10, 5.567144284299864409e-11, 2.761618946501400617e-09, 3.437880388957531023e-13, 5.029870481006077694e-11, 2.166377933679647402e-09, 1.595394922463073175e-09
2.085000000000000000e+03, 2.474468036523424811e-09, 1.997175260079144023e-10, 5.550522338453353805e-11, 3.141706172597042307e-09, 3.245533426679525674e-13, 5.189910772041489028e-11, 2.150082862739433597e-09, 1.544207597218748340e-09
2.086000000000000000e+03, 2.605746298627790166e-09, 1.992256772165489814e-10, 5.903025581619979041e-11, 3.276689772801906193e-09, 2.897203191722340343e-13, 5.255167141032463331e-11, 2.169573202948134333e-09, 1.530336001417472081e-09
2.087000000000000000e+03, 2.661239758521527534e-09, 1.988059652045287300e-10, 6.043172737318064646e-11, 2.801658500259377328e-09, 2.603069043692410567e-13, 5.274992675705287484e-11, 2.179470105209768117e-09, 1.543620378167179446e-09
2.088000000000000000e+03, 2.726817992266186853e-09, 1.983154222965049330e-10, 6.110173421413716331e-11, 2.902136081092031417e-09, 2.811400096035533323e-13, 5.289324429059901455e-11, 2.153849902506593345e-09, 1.520153018158978831e-09
2.089000000000000000e+03, 2.817130254766450692e-09, 1.977077867592905228e-10, 6.152000207215557142e-11, 2.900060514548090067e-09, 3.614221734010294648e-13, 5.298959956498007858e-11, 2.143100503224256481e-09, 1.493174917316439068e-09
2.090000000000000000e+03, 2.589473051540617990e-09, 1.970130451021086935e-10, 6.176387214774584505e-11, 3.132877095691277759e-09, 4.315783898429352082e-13, 5.307664150470892190e-11, 2.154496018852931695e-09, 1.518344154768704948e-09
2.091000000000000000e+03, 2.739041133408977932e-09, 1.965053681949409215e-10, 5.719235536087643249e-11, 2.604113846630168758e-09, 7.463653131853358988e-13, 5.309071803180396550e-11, 2.150130432898722470e-09, 1.538782649764909637e-09
2.092000000000000000e+03, 2.675658020030588841e-09, 1.961511313993229168e-10, 5.418768170436543777e-11, 2.902688259420054714e-09, 9.234764423483634404e-13, 5.247915685225914548e-11, 2.142546492652955258e-09, 1.562819784688351805e-09
2.093000000000000000e+03, 2.604128229432091660e-09, 1.957436041751320238e-10, 5.276383249892586678e-11, 2.510342735328338303e-09, 9.581076721946837113e-13, 5.182337761769802023e-11, 2.146129720436436937e-09, 1.535676119542426535e-09
2.094000000000000000e+03, 2.695751438819885538e-09, 1.952206189027739155e-10, 5.192029033635185078e-11, 2.749199639485314603e-09, 1.207675008244119103e-12, 5.110295542951174595e-11, 2.163323483170321613e-09, 1.532355015330676920e-09
2.095000000000000000e+03, 2.444140138667405832e-09, 1.949138861155693419e-10, 5.009443728626244047e-11, 2.789502973977716485e-09, 1.134005474008314393e-12, 5.033185579073844073e-11, 2.140284136811545694e-09, 1.517650268381815095e-09
2.096000000000000000e+03, 2.412412817179410990e-09, 1.948373685857652902e-10, 5.029949997728286650e-11, 2.981121928690402541e-09, 7.873167028937724607e-13, 4.986130541625284563e-11, 2.131396503247359321e-09, 1.546507784527929912e-09
2.097000000000000000e+03, 2.481301342988560412e-09, 1.946740633995430067e-10, 4.941022488592501566e-11, 2.868177478997073966e-09, 6.260715900701107322e-13, 4.885215928535849009e-11, 2.138063797881489048e-09, 1.532193226171329369e-09
2.098000000000000000e+03, 2.502336785955031213e-09, 1.942726539234517356e-10, 4.889880728845338602e-11, 3.125265338962691758e-09, 5.789049825424137016e-13, 4.784660548771059385e-11, 2.152515057594768721e-09, 1.506039437395281342e-09
2.099000000000000000e+03, 2.640035414237601962e-09, 1.940878268900481977e-10, 4.839700245071148728e-11, 2.829929200924122997e-09, 5.627044474275449945e-13, 4.709825449895829663e-11, 2.139075385265310362e-09, 1.478995212720770043e-09
2.100000000000000000e+03, 2.519970184509551620e-09, 1.783715142349281686e-10, 4.614386303881056688e-11, 3.044752528823547498e-09, 6.216765820191046758e-13, 4.723264348645647386e-11, 2.124627794350066546e-09, 1.433521877566522451e-09
