year, MPI-ESM1-2-LR, MIROC-ES2L, TaiESM1, EC-Earth3-Veg, NorESM2-MM, CMCC-CM2-SR5, CNRM-ESM2-1, ACCESS-ESM1-5, NorESM2-LM, GFDL-ESM4, CanESM5, CESM2-WACCM, IPSL-CM6A-LR
2.069000000000000000e+03, 1.342225685034609306e+01, 2.534094268491885060e+01, 4.444080775084438550e-01, 2.395323265644830446e+00, 2.008615696612332524e+00, 2.453444582977560184e+00, 2.104690229247317035e+01, 3.839623496859906115e+00, 1.893902696649840456e+00, 7.442097679996818371e+00, 7.782013350621252101e+00, 2.017115340592426698e+00, 6.272391429161912946e+00
2.070000000000000000e+03, 1.338535062043365365e+01, 2.545659440585590261e+01, 4.035136653834150433e-01, 2.352656681325883348e+00, 2.070822350582523175e+00, 2.692888462447219133e+00, 2.104599178392214043e+01, 3.801592589770066422e+00, 1.850956917452715400e+00, 7.439227320798937448e+00, 8.052590155178913633e+00, 2.019295174876206911e+00, 6.281805142093509708e+00
2.071000000000000000e+03, 1.339046454215294091e+01, 2.539369988727257876e+01, 4.052631332650905582e-01, 2.354754140393266137e+00, 2.155967292209759467e+00, 2.559017426479263779e+00, 2.115050184152918789e+01, 3.819440413197087381e+00, 1.847638116994465562e+00, 7.503502234958904005e+00, 7.920709622818455919e+00, 2.011355032418947530e+00, 6.322938151809693430e+00
2.072000000000000000e+03, 1.335243543029767288e+01, 2.546613827021731424e+01, 5.623894165107693466e-01, 2.417762747090890674e+00, 2.047810864004754983e+00, 2.297496125422428648e+00, 2.108083265431833553e+01, 3.850001528256266958e+00, 1.804595347828021445e+00, 7.525930134935257421e+00, 7.876965933586059343e+00, 1.974280115666264157e+00, 6.331401646929057492e+00
2.073000000000000000e+03, 1.339387709501521861e+01, 2.560442328653818578e+01, 4.332767641705453920e-01, 2.349921016010587227e+00, 2.019233219250133438e+00, 2.238500279593201192e+00, 2.117899407007968193e+01, 3.834035383320364865e+00, 1.883212468505119919e+00, 7.695047885487291239e+00, 7.881181924364847546e+00, 2.020640790026583478e+00, 6.337656760391107369e+00
2.074000000000000000e+03, 1.343986723155293284e+01, 2.562964737888523103e+01, 4.602181253172731856e-01, 2.299738204389914831e+00, 2.032052009938721593e+00, 2.684757305398474347e+00, 2.118965983563817090e+01, 3.817084796420696868e+00, 1.904266784700978210e+00, 7.699199631833649526e+00, 7.794793610687991148e+00, 2.065795056562083065e+00, 6.308263625869771296e+00
2.075000000000000000e+03, 1.347221755106440355e+01, 2.558935017901967868e+01, 4.736375702193878490e-01, 2.413362775486700418e+00, 2.132292885542215188e+00, 2.553670185118087410e+00, 2.115128222592046114e+01, 3.775218368846738670e+00, 1.948225165843506579e+00, 7.760114977652272650e+00, 7.977436143692114179e+00, 1.998076005844481084e+00, 6.419086990114220903e+00
2.076000000000000000e+03, 1.351151497211667696e+01, 2.549361114622589852e+01, 4.767132378227058598e-01, 2.450553470948864998e+00, 2.113310409406174539e+00, 2.273509643498286437e+00, 2.113760976209102083e+01, 3.756027202324687231e+00, 1.924980040006110560e+00, 7.828531874678592573e+00, 8.102787887298040559e+00, 2.031728629395974206e+00, 6.379804884444482127e+00
2.077000000000000000e+03, 1.354517519276443061e+01, 2.562562469064349457e+01, 3.961602836899508762e-01, 2.352106092235477064e+00, 2.073267116626744233e+00, 2.202692179482294677e+00, 2.123177900080898439e+01, 3.747772076062619639e+00, 1.987961482731654739e+00, 7.867302007072916048e+00, 8.243963116034795036e+00, 2.092808805026062924e+00, 6.430588130589373286e+00
2.078000000000000000e+03, 1.362637128903306483e+01, 2.597275151105962010e+01, 4.453305703012765404e-01, 2.299138870899350984e+00, 2.089920446137657706e+00, 2.370909270068999763e+00, 2.128260534349812971e+01, 3.737424642284168819e+00, 1.956404379774325575e+00, 7.954877518701166217e+00, 8.166753838235088381e+00, 2.091038914007337990e+00, 6.354784829378563593e+00
