year, CESM2-WACCM, GFDL-ESM4, TaiESM1, EC-Earth3-Veg, UKESM1-0-LL, NorESM2-LM, NorESM2-MM, IPSL-CM6A-LR, MPI-ESM1-2-LR
2.085000000000000000e+03, 2.144514706055411160e-09, 2.035289901247289390e-09, 1.036833551454968326e-10, 2.323230249470578070e-09, 1.044547562541437742e-09, 2.810838247797848283e-10, 2.440507522712871889e-10, 3.115111891775814037e-09, 1.529888516165275261e-09
2.086000000000000000e+03, 2.276139144614423589e-09, 2.082702713431110987e-09, 1.051593863984351906e-10, 2.498605711273882168e-09, 9.496380926549488913e-10, 2.795379105403138013e-10, 2.425985265478814857e-10, 3.254251444199074650e-09, 1.517910029362553850e-09
2.087000000000000000e+03, 2.332257927144328560e-09, 1.841957703094534791e-09, 1.042792514362122498e-10, 2.699994734402050573e-09, 1.074097101198432247e-09, 2.785730912645611123e-10, 2.417069680710560481e-10, 2.779284494899223146e-09, 1.531461920167868938e-09
2.088000000000000000e+03, 2.398652270351953940e-09, 2.358862390929259205e-09, 1.046294985758481804e-10, 2.591174793445599225e-09, 1.121873743863567792e-09, 2.767053074856258262e-10, 2.399527828726991202e-10, 2.879786127164577853e-09, 1.508685969795919991e-09
2.089000000000000000e+03, 2.490142872889439911e-09, 2.090761229241380898e-09, 1.039497217474576956e-10, 2.604705345761391670e-09, 1.240631404128505708e-09, 2.755553937871766065e-10, 2.385536315366930846e-10, 2.877386238126244759e-09, 1.482093088713647614e-09
2.090000000000000000e+03, 2.263600634054660314e-09, 2.400366629691705790e-09, 1.045221937758293280e-10, 2.621427641030115258e-09, 1.103933852080052066e-09, 2.737323515065285600e-10, 2.372433900227240006e-10, 3.110056287978997304e-09, 1.505506001662109500e-09
2.091000000000000000e+03, 2.419017350574725679e-09, 2.163489433109757891e-09, 1.029694179079834667e-10, 2.539179344095909987e-09, 1.253308202350477481e-09, 2.725232647050327934e-10, 2.359607299273326226e-10, 2.577142528303730450e-09, 1.524774607734412025e-09
2.092000000000000000e+03, 2.360806681255465302e-09, 1.946826357891865590e-09, 1.029478597058322754e-10, 2.651186124938175102e-09, 1.186710761375973180e-09, 2.711903944054564623e-10, 2.345054169272819680e-10, 2.875607050927396904e-09, 1.548432848845819047e-09
2.093000000000000000e+03, 2.294000743301112933e-09, 2.214246532393462333e-09, 1.040115798296018074e-10, 2.658167181717630186e-09, 1.153658976106743474e-09, 2.694962957218214161e-10, 2.335650817773651061e-10, 2.483320382291193206e-09, 1.521844752540658837e-09
2.094000000000000000e+03, 2.389761379340743847e-09, 2.260738314593952167e-09, 1.029700744129894225e-10, 2.568634049806341818e-09, 1.168484706913632563e-09, 2.684028013593208279e-10, 2.323199134762041566e-10, 2.722221561837650030e-09, 1.518391622123650095e-09
2.095000000000000000e+03, 2.141805202616584646e-09, 2.285123997825815004e-09, 1.021000661448654857e-10, 2.416675907283703634e-09, 9.831065389371477964e-10, 2.670132055714682204e-10, 2.313725847848041404e-10, 2.762273468724248611e-09, 1.503496812449108588e-09
2.096000000000000000e+03, 2.114533927270701096e-09, 2.069480431215140133e-09, 1.030214204407406252e-10, 2.564491928044278077e-09, 1.101390909051130344e-09, 2.655827778833886944e-10, 2.303115990066693275e-10, 2.953823609187149251e-09, 1.531834219344036111e-09
2.097000000000000000e+03, 2.187526671998951895e-09, 2.145630745054567939e-09, 1.050204967762460794e-10, 2.518002301296245476e-09, 1.115715874990996633e-09, 2.643141386678320100e-10, 2.290518723988944554e-10, 2.840421222125448086e-09, 1.517608050623031914e-09
2.098000000000000000e+03, 2.212291509951817892e-09, 2.181421424544583864e-09, 1.038154622431260767e-10, 2.505518453396953846e-09, 1.070882841268270087e-09, 2.629134383100789478e-10, 2.277055480709462957e-10, 3.097275535515318574e-09, 1.491569315233632406e-09
2.099000000000000000e+03, 2.353353428701260804e-09, 2.033162376234902041e-09, 1.042016713537892075e-10, 2.378251012163350151e-09, 1.152789114906039101e-09, 2.645575322126068327e-10, 2.294237765537993618e-10, 2.801341971508598408e-09, 1.464489897944185013e-09
2.100000000000000000e+03, 2.236621358451528580e-09, 2.223464588037308098e-09, 0.000000000000000000e+00, 2.622021111006958177e-09, 1.137607744333222063e-09, 2.650920820605460139e-10, 2.222182391025143616e-10, 3.016034867023005883e-09, 1.426110871922735527e-09
