year, TaiESM1, EC-Earth3-Veg, CESM2-WACCM, MIROC-ES2L, ACCESS-ESM1-5, NorESM2-LM, MPI-ESM1-2-LR, NorESM2-MM, UKESM1-0-LL, IPSL-CM6A-LR, CanESM5, CNRM-ESM2-1, CMCC-CM2-SR5
2.069000000000000000e+03, 6.995891679166066979e+01, 1.363979732961428795e+02, 1.127178388133101663e+02, 1.101390298908010976e+02, 9.471715730371026609e+01, 1.050922931990941436e+02, 6.338030722203240686e+01, 1.055911667903337303e+02, 2.090799906501861187e+02, 4.035291847969515544e+01, 1.250787931394576447e+02, 1.522660926817251550e+02, 2.796231650322788482e+02
2.070000000000000000e+03, 7.006697503064853549e+01, 1.364956209301015235e+02, 1.127597156505687508e+02, 1.103033426739072382e+02, 9.467687413713906608e+01, 1.052299231995153832e+02, 6.346693401755900510e+01, 1.057426657953882625e+02, 2.091709650196469283e+02, 4.040010061248098339e+01, 1.252628895821848118e+02, 1.524762796625963404e+02, 2.794683319675066855e+02
2.071000000000000000e+03, 7.010573952277026422e+01, 1.365817546785399088e+02, 1.128231983269306795e+02, 1.105233094300843817e+02, 9.463892646644792706e+01, 1.053166196299864197e+02, 6.355090892838320116e+01, 1.058651153100554296e+02, 2.093626147556023795e+02, 4.045374690187470179e+01, 1.254789338360231170e+02, 1.526646179394048204e+02, 2.793412722257414202e+02
2.072000000000000000e+03, 7.014733769009647801e+01, 1.366143005648829671e+02, 1.128648372193437410e+02, 1.107191186648421137e+02, 9.461801564970738809e+01, 1.053960292375861911e+02, 6.381084695769614967e+01, 1.059576337965426802e+02, 2.095650374956624660e+02, 4.050547247018283059e+01, 1.257161302050832745e+02, 1.529007636430691264e+02, 2.794661141274519878e+02
2.073000000000000000e+03, 7.015655165761589274e+01, 1.366182666683920672e+02, 1.128629535299381388e+02, 1.108772809044888561e+02, 9.459186700650734281e+01, 1.054503819620523757e+02, 6.389204500270266607e+01, 1.060170250189666490e+02, 2.094797142833572252e+02, 4.056600890415790417e+01, 1.259633430293320373e+02, 1.531177148710461324e+02, 2.796281985900792506e+02
2.074000000000000000e+03, 7.009949333372843228e+01, 1.366335592176512250e+02, 1.128020868238206589e+02, 1.110267834712916084e+02, 9.457513584665829853e+01, 1.055140358436531898e+02, 6.401712747395801273e+01, 1.060773314300042784e+02, 2.095685201214997164e+02, 4.061480746786407536e+01, 1.261934432280301337e+02, 1.533142587805178607e+02, 2.797318173878231278e+02
2.075000000000000000e+03, 7.013090017544691079e+01, 1.366440381530766217e+02, 1.128182651878778273e+02, 1.111937150932335072e+02, 9.457645934823962364e+01, 1.055992759671822512e+02, 6.420415810065135531e+01, 1.061762502899026686e+02, 2.097498954182096895e+02, 4.065649720083833785e+01, 1.264170894552547111e+02, 1.534802109105108059e+02, 2.799342709025016234e+02
2.076000000000000000e+03, 7.014713776203120688e+01, 1.366597016122566117e+02, 1.128750931269739795e+02, 1.113729822379716410e+02, 9.457188035860831121e+01, 1.057262804306048736e+02, 6.426394454583287086e+01, 1.062761762442541169e+02, 2.094998624572855874e+02, 4.069999715281596053e+01, 1.266714210143300221e+02, 1.536779602183651718e+02, 2.799994662589671748e+02
2.077000000000000000e+03, 7.021667550248679390e+01, 1.366378651038290855e+02, 1.128738493715586486e+02, 1.115007445707666704e+02, 9.455840438871111076e+01, 1.057972411022789458e+02, 6.435801095171380837e+01, 1.062926351678645744e+02, 2.096753859552442236e+02, 4.074707545234267769e+01, 1.269129398194511538e+02, 1.538897369701319633e+02, 2.798823853138924846e+02
2.078000000000000000e+03, 7.028834669648878730e+01, 1.366499158252728137e+02, 1.129008752322502147e+02, 1.116535620028005269e+02, 9.454240791112776776e+01, 1.059034536276012801e+02, 6.457320925670263989e+01, 1.063131953709802815e+02, 2.100789825990079009e+02, 4.080224979942526176e+01, 1.271687101246034644e+02, 1.540878246505623110e+02, 2.799400881252484510e+02
