year, ACCESS-ESM1-5, CMCC-ESM2, CanESM5, NorESM2-LM, TaiESM1, MPI-ESM1-2-LR, INM-CM4-8, NorESM2-MM, EC-Earth3-Veg, IPSL-CM6A-LR, CNRM-ESM2-1, GFDL-ESM4, MIROC-ES2L, UKESM1-0-LL, INM-CM5-0, CESM2-WACCM
2.055000000000000000e+03, 1.371662630142758355e+00, 2.800516842502136949e+00, 1.197001118956338095e+00, 2.834293450573757145e+00, 2.992685110783421809e+00, 1.384074587293973702e+00, 1.217689721040602580e+00, 2.501757815688345765e+00, 1.800127789158957103e+00, 1.030958301530400467e+00, 1.260148454338464230e+00, 2.031924961578147393e+00, 1.103161469095699898e+00, 2.557530788681777967e+00, 1.191285047221522397e+00, 2.773628315778388753e+00
2.056000000000000000e+03, 1.369543814035722340e+00, 3.062507883798316843e+00, 1.225416679364826900e+00, 2.815356298538723490e+00, 3.183288349755836411e+00, 1.385298279495819740e+00, 1.220461966115760966e+00, 2.543469949340750880e+00, 1.774792764505755072e+00, 1.027011166521464958e+00, 1.274599621964154217e+00, 2.017875772419701175e+00, 1.081985751709073851e+00, 2.559065998362293204e+00, 1.187199684139069067e+00, 2.635479289824288696e+00
2.057000000000000000e+03, 1.352278228709577590e+00, 3.612553160654217166e+00, 1.289078696329738039e+00, 2.842105499770617438e+00, 3.197739091240245024e+00, 1.404155092525549486e+00, 1.217654487016936793e+00, 2.626688149243495918e+00, 1.901980804566659078e+00, 1.037388912079747039e+00, 1.241583086414681736e+00, 2.057194111482777199e+00, 1.107083852902573495e+00, 2.561429226098531409e+00, 1.180639927686154778e+00, 2.742705725499058556e+00
2.058000000000000000e+03, 1.337509041740986948e+00, 3.703503588933812374e+00, 1.244984912995612092e+00, 2.897063992513115860e+00, 3.125342295887590716e+00, 1.409281209458623341e+00, 1.224130090142133032e+00, 2.736016810680176103e+00, 1.817360562880585562e+00, 1.034012178297600837e+00, 1.274634971155126362e+00, 2.071273788566601937e+00, 1.068708465177436118e+00, 2.550782383848166024e+00, 1.159496945485895214e+00, 2.725764706155771044e+00
2.059000000000000000e+03, 1.355544149674263066e+00, 3.262716596716749518e+00, 1.299042592694282572e+00, 2.885857928585909171e+00, 3.354776415784486154e+00, 1.432091772142634722e+00, 1.196313841576137182e+00, 2.785915542369525877e+00, 1.926309968552768259e+00, 1.047905150472184577e+00, 1.259771079815535932e+00, 1.949193869029054005e+00, 1.079297454892736763e+00, 2.538865871455376677e+00, 1.190751540419579646e+00, 2.845888102452547752e+00
2.060000000000000000e+03, 1.381098050207086647e+00, 3.134482637022396823e+00, 1.341462093205632478e+00, 2.841047749109958165e+00, 3.470919088659883300e+00, 1.427706818646322651e+00, 1.218974406645109587e+00, 2.824164761984313543e+00, 1.881724083824132254e+00, 1.035139583084533355e+00, 1.275124484982890438e+00, 2.094740743079408940e+00, 1.079417922492717175e+00, 2.539774966132504197e+00, 1.226004961053787090e+00, 2.761663414025834040e+00
2.061000000000000000e+03, 1.377837996990109781e+00, 3.375024742449154846e+00, 1.307826874733693856e+00, 2.853785426910653733e+00, 3.243461818662879192e+00, 1.434028175708631503e+00, 1.205390286118728449e+00, 2.812244676695090817e+00, 1.848990257350490607e+00, 1.039553654153263063e+00, 1.246826208342933118e+00, 2.135351851558675573e+00, 1.079177058370181186e+00, 2.586397421604617275e+00, 1.225069293664165837e+00, 2.782751008636810575e+00
2.062000000000000000e+03, 1.381346110299466856e+00, 3.600962620181171303e+00, 1.337610832792504256e+00, 2.866202320355977662e+00, 3.196566218715954921e+00, 1.433263777117472326e+00, 1.212891849759198282e+00, 2.758999980937655749e+00, 1.831958860185900484e+00, 1.054856148916129888e+00, 1.284195282017756234e+00, 2.010461869737778962e+00, 1.087411675990253679e+00, 2.652222746738499559e+00, 1.190480270436826471e+00, 2.781116978455503208e+00
2.063000000000000000e+03, 1.366820651604637504e+00, 3.053459440440445594e+00, 1.342861770043259018e+00, 2.956599783258813563e+00, 3.391756029686257445e+00, 1.434467567247563080e+00, 1.208630055891175559e+00, 2.820988859654880887e+00, 1.882538480528238134e+00, 1.035297930875191064e+00, 1.328564620838162513e+00, 2.191400017464640193e+00, 1.076848034956105815e+00, 2.606900417347739030e+00, 1.169489071673923908e+00, 2.809343565855669134e+00
2.064000000000000000e+03, 1.393295531257864317e+00, 3.078276396601498544e+00, 1.408364138759175876e+00, 2.982428922152414508e+00, 3.416454178997259561e+00, 1.439385632490714162e+00, 1.217880894900869926e+00, 2.783720862096706661e+00, 1.883921886937200085e+00, 1.043226038042359693e+00, 1.276257501417483953e+00, 2.046049764702075890e+00, 1.093061649789462964e+00, 2.575775268201946577e+00, 1.207717761245369559e+00, 2.856414680817574325e+00
2.065000000000000000e+03, 1.383385740490773008e+00, 3.516506324285392893e+00, 1.383429861641271241e+00, 3.005653251819855765e+00, 3.371559806113676228e+00, 1.435678218365447067e+00, 1.203716758274975929e+00, 2.857886347246395786e+00, 1.897765972112043009e+00, 1.047548651265081565e+00, 1.325019558845183409e+00, 2.069530531949717478e+00, 1.081781873380357029e+00, 2.646654644862809658e+00, 1.181729847103189623e+00, 2.866318538239969627e+00
