year, TaiESM1, CNRM-ESM2-1, NorESM2-MM, MPI-ESM1-2-LR, EC-Earth3-Veg, GFDL-ESM4, GFDL-ESM4, TaiESM1, NorESM2-MM, CESM2-WACCM, NorESM2-LM, CNRM-ESM2-1
2.071000000000000000e+03, 1.726498774145594709e-10, 7.011514613058945315e-10, 8.225303612388765749e-10, 3.033044740010889961e-10, 4.499758196315253884e-10, 8.677333266161377116e-10, 8.693802598890453744e-10, 1.726498774145594709e-10, 8.225303612388765749e-10, 6.768590870654819168e-10, 4.529575000041356285e-10, 7.011514613058945315e-10
2.072000000000000000e+03, 2.317244364266996753e-10, 7.449821596587750229e-10, 4.824194031339270788e-10, 4.003393726239312305e-10, 3.934334751711546044e-10, 8.857239486442314708e-10, 8.874148269123108060e-10, 2.317244364266996753e-10, 4.824194031339270788e-10, 5.206747427716409476e-10, 2.022441014337862827e-10, 7.449821596587750229e-10
2.073000000000000000e+03, 1.421078596974674215e-10, 6.561679627987507450e-10, 4.669224546814264350e-10, 4.454390619059228393e-10, 3.552746133577847717e-10, 5.155601668947386052e-10, 5.173010985669522935e-10, 1.421078596974674215e-10, 4.669224546814264350e-10, 2.509268987321250352e-10, 2.785595558849931966e-10, 6.561679627987507450e-10
2.074000000000000000e+03, 1.683891726679790923e-10, 7.019508223746040040e-10, 4.352249617819611155e-10, 3.302498732929438373e-10, 3.646695963202024346e-10, 6.628978961921104550e-10, 6.646323192662654690e-10, 1.683891726679790923e-10, 4.352249617819611155e-10, 2.805346441977660940e-10, 1.157174397756211561e-10, 7.019508223746040040e-10
2.075000000000000000e+03, 1.737146898545795481e-10, 7.233532331304847823e-10, 5.603026235657862030e-10, 4.047495064320166694e-10, 5.879398277042192561e-10, 6.650514636481970469e-10, 6.666540919377276495e-10, 1.737146898545795481e-10, 5.603026235657862030e-10, 4.312115347645056254e-10, 4.325201529552285915e-10, 7.233532331304847823e-10
2.076000000000000000e+03, 1.851367787290855815e-10, 6.239689269983477318e-10, 3.354163200605596620e-10, 3.318470772904212866e-10, 6.094891762167887578e-10, 4.798244451771318917e-10, 4.814820527515256362e-10, 1.851367787290855815e-10, 3.354163200605596620e-10, 3.144531652925821274e-10, 5.460596579208087482e-10, 6.239689269983477318e-10
2.077000000000000000e+03, 2.406279267386728350e-10, 8.288854117749321503e-10, 3.153949166248656281e-10, 2.848561404452127558e-10, 2.979294741553855863e-10, 7.719273592647684401e-10, 7.736289416614052661e-10, 2.406279267386728350e-10, 3.153949166248656281e-10, 3.831401371910719517e-10, 5.107470513889357270e-10, 8.288854117749321503e-10
2.078000000000000000e+03, 1.845448774857457697e-10, 5.796056380752181743e-10, 3.043594926578602183e-10, 3.513947591854290020e-10, 4.697397982612641930e-10, 1.069563722944845288e-09, 1.071203029414298055e-09, 1.845448774857457697e-10, 3.043594926578602183e-10, 3.029464986790813743e-10, 5.639177484155280496e-10, 5.796056380752181743e-10
2.079000000000000000e+03, 2.142541058613644924e-10, 4.697109026659191572e-10, 5.508126351385380038e-10, 3.429407941212698347e-10, 3.414075031219868840e-10, 5.567429312151874694e-10, 5.584266996290213721e-10, 2.142541058613644924e-10, 5.508126351385380038e-10, 2.677285949726565230e-10, 3.753869735930156681e-10, 4.697109026659191572e-10
2.080000000000000000e+03, 1.950560922296342196e-10, 5.498899892752316962e-10, 5.831310879890571645e-10, 3.959664940874750050e-10, 2.938256394065720192e-10, 6.561474161884880549e-10, 6.578515525156332964e-10, 1.950560922296342196e-10, 5.831310879890571645e-10, 3.679713950084177333e-10, 4.923675575321359188e-10, 5.498899892752316962e-10
2.081000000000000000e+03, 1.773233363580947344e-10, 4.790938632236461766e-10, 3.443842834133635826e-10, 4.681542951414270870e-10, 2.907538170869570814e-10, 1.528139617246385246e-09, 1.529818728230250931e-09, 1.773233363580947344e-10, 3.443842834133635826e-10, 5.195654832888201975e-10, 3.663246074695593740e-10, 4.790938632236461766e-10
2.082000000000000000e+03, 2.162736750959864536e-10, 8.552116763743592469e-10, 4.714012358094376571e-10, 2.995287600745533816e-10, 4.924165509286595207e-10, 1.046137607411111596e-09, 1.047797864276946891e-09, 2.162736750959864536e-10, 4.714012358094376571e-10, 4.202985225095694155e-10, 5.051770448438422340e-10, 8.552116763743592469e-10
2.083000000000000000e+03, 2.061303595733438244e-10, 7.124134155898785592e-10, 6.753043295857703757e-10, 4.771796245523928058e-10, 3.495397687298490462e-10, 8.079775535293901255e-10, 8.097287712058835999e-10, 2.061303595733438244e-10, 6.753043295857703757e-10, 6.073680055016630669e-10, 2.175360782399755423e-10, 7.124134155898785592e-10
2.084000000000000000e+03, 9.829444541838485615e-11, 6.342765656052664659e-10, 6.533643838333523200e-10, 4.297724794904829956e-10, 4.822628305076033532e-10, 1.110016265423596987e-09, 1.111784428064913886e-09, 9.829444541838485615e-11, 6.533643838333523200e-10, 5.605465964081364640e-10, 2.010457365651179689e-10, 6.342765656052664659e-10
2.085000000000000000e+03, 2.419003717906592448e-10, 6.358602898952387787e-10, 8.141752948238480673e-10, 6.213417177599129660e-10, 3.488852805303135419e-10, 5.567465986027222879e-10, 5.584075079875167297e-10, 2.419003717906592448e-10, 8.141752948238480673e-10, 6.636842633405030197e-10, 1.953101735825853848e-10, 6.358602898952387787e-10
2.086000000000000000e+03, 4.088933890084810127e-10, 6.820655375167489880e-10, 4.691577690887223681e-10, 5.231196330446463371e-10, 4.235850119000621296e-10, 9.336840569020714154e-10, 9.353655610608966878e-10, 4.088933890084810127e-10, 4.691577690887223681e-10, 5.554880566491728714e-10, 2.309831324143675833e-10, 6.820655375167489880e-10
2.087000000000000000e+03, 2.067972170655852527e-10, 5.911216400417970097e-10, 3.094869786399275328e-10, 3.464680711883892711e-10, 2.574951324048646853e-10, 8.623849366591371957e-10, 8.641400721915434586e-10, 2.067972170655852527e-10, 3.094869786399275328e-10, 6.359795027386208410e-10, 5.203470640176026909e-10, 5.911216400417970097e-10
