year, CMCC-ESM2, CESM2-WACCM, MIROC-ES2L, CNRM-ESM2-1, ACCESS-ESM1-5, IPSL-CM6A-LR, UKESM1-0-LL, MPI-ESM1-2-LR
2.082000000000000000e+03, 1.618451794921557959e-10, 1.482618096920344136e-09, 9.056199148371894059e-10, 2.615152558600058774e-12, 8.817602021335680468e-11, 1.010480794960320492e-09, 9.802507382497905659e-13, 5.238150753060728928e-10
2.083000000000000000e+03, 1.632620721661988808e-10, 1.448479856792914414e-09, 9.083798345213382997e-10, 2.771862760450021718e-12, 6.686262054898679868e-11, 1.033746748530026919e-09, 9.516642655675153345e-13, 5.205655173384989106e-10
2.084000000000000000e+03, 1.641372550336596981e-10, 1.457850158259274890e-09, 9.188459731312844786e-10, 2.945097649244634960e-12, 7.718062718444831834e-11, 1.050204842897293572e-09, 8.806304861366161490e-13, 5.185065949834808222e-10
2.085000000000000000e+03, 1.645732049554439571e-10, 1.457017347688880098e-09, 9.244516204870259814e-10, 3.096330105119974606e-12, 6.542557150280179638e-11, 9.691417807593279114e-10, 9.283584099641719980e-13, 5.172682949316762957e-10
2.086000000000000000e+03, 1.647095395604304695e-10, 1.526200262006339069e-09, 9.300443513513205750e-10, 3.181672785334597168e-12, 7.478150876153783768e-11, 1.090705542350343171e-09, 8.910083700453944494e-13, 5.111823017842925801e-10
2.087000000000000000e+03, 1.645841791729624876e-10, 1.484397745995279375e-09, 9.329259788983140044e-10, 3.331976303520111919e-12, 6.193573178200473071e-11, 1.024065935241198161e-09, 9.045514044590397940e-13, 5.229910050215336829e-10
2.088000000000000000e+03, 1.642731358310447598e-10, 1.534432625358026365e-09, 9.272861167063307830e-10, 3.450682758164187390e-12, 6.649470158364098585e-11, 1.062862662399034757e-09, 8.705722270834986972e-13, 5.340206816893663838e-10
2.089000000000000000e+03, 1.638214393481629239e-10, 1.556329261584675553e-09, 9.252684040607375302e-10, 3.589517065456221287e-12, 5.875365750495252304e-11, 1.040269388945909000e-09, 8.630718515837954432e-13, 5.384614476991899573e-10
2.090000000000000000e+03, 1.635976591619925261e-10, 1.530600237258511797e-09, 9.411577605660583401e-10, 3.706643852453615452e-12, 6.830909433356046729e-11, 1.030888431351387073e-09, 9.147817623788021604e-13, 5.393970778960673923e-10
2.091000000000000000e+03, 1.635504980860856524e-10, 1.494475089586367961e-09, 9.435753826638903485e-10, 3.796278990617110865e-12, 6.801865733916450607e-11, 1.126326085717162293e-09, 1.018787115667048477e-12, 5.315729784463630013e-10
2.092000000000000000e+03, 1.633183651157236187e-10, 1.562459527342762906e-09, 9.437656237853313757e-10, 4.500076412028490789e-12, 7.140971929054832896e-11, 1.075171558615667999e-09, 1.007760668511814314e-12, 5.298893808152598503e-10
2.093000000000000000e+03, 1.629807292645030626e-10, 1.516971172389884875e-09, 9.436822522989273307e-10, 5.196422944100866417e-12, 6.424882530044517978e-11, 9.482052413760456257e-10, 9.338722941415412269e-13, 5.279869442414071274e-10
2.094000000000000000e+03, 1.625136731508204973e-10, 1.580240598538729096e-09, 9.486467718264155276e-10, 5.902849791614680219e-12, 6.966451125376418221e-11, 1.117055688808102116e-09, 9.137198974267465425e-13, 5.241539486928048363e-10
2.095000000000000000e+03, 1.624131708584886159e-10, 1.570703017806416252e-09, 9.569486120387482305e-10, 6.613424159924403411e-12, 6.359999677666777158e-11, 1.073759672201301938e-09, 9.807787424052867175e-13, 5.300994850638784446e-10
2.096000000000000000e+03, 1.625914207019509187e-10, 1.516966493635614780e-09, 9.673650242690740593e-10, 7.276387867475415286e-12, 9.317895605863664929e-11, 1.078478903097412590e-09, 1.206425334824495895e-12, 5.266861037049474082e-10
2.097000000000000000e+03, 1.626091591273921543e-10, 1.515637122782400808e-09, 9.687508628095072612e-10, 8.784348504614138431e-12, 7.683869157659378450e-11, 1.075001836230421975e-09, 1.285299841926823144e-12, 5.238700671572381837e-10
2.098000000000000000e+03, 1.625121470472282857e-10, 1.547850113289560459e-09, 9.674038672437550608e-10, 1.030525586121195911e-11, 7.048182337519462190e-11, 1.087065523431028082e-09, 1.300292316708503336e-12, 5.277420073178937876e-10
2.099000000000000000e+03, 1.623089211464887981e-10, 1.532194083327821469e-09, 9.622702400048665737e-10, 1.182859023475504347e-11, 6.761011286134551094e-11, 1.069643247303111245e-09, 1.312047028481733200e-12, 5.353630735717179359e-10
2.100000000000000000e+03, 1.492684984676468348e-10, 1.498410520137435685e-09, 9.621256529379545859e-10, 1.337634409443646345e-11, 8.088534437018619299e-11, 1.033658510365343039e-09, 1.265437260555050935e-12, 5.362119198467189079e-10
