year, CMCC-CM2-SR5, CanESM5, CESM2-WACCM, NorESM2-MM, ACCESS-ESM1-5, UKESM1-0-LL, NorESM2-LM, TaiESM1, MPI-ESM1-2-LR, MIROC-ES2L, CNRM-ESM2-1, GFDL-ESM4, EC-Earth3-Veg, IPSL-CM6A-LR
2.062000000000000000e+03, 4.643916067799999325e+01, 9.250707167999999569e+01, 4.730737040999999721e+01, 4.427176629599999558e+01, 5.076396829799999466e+01, 7.140955863599999986e+01, 4.461832722599999812e+01, 4.564418542199999962e+01, 7.430103140399999972e+01, 6.565477869000000055e+01, 4.652002686599999493e+01, 5.209556012999999552e+01, 4.655301352199999343e+01, 5.143408464599999519e+01
2.063000000000000000e+03, 4.697670756599999464e+01, 9.425252620799999193e+01, 4.682263449599999916e+01, 4.490950305599999837e+01, 5.098096751399999960e+01, 7.089481227599999613e+01, 4.716808378199999652e+01, 4.474646193599999577e+01, 7.435994065199999170e+01, 6.781604720400000019e+01, 4.786720536599999321e+01, 5.194646580599999908e+01, 4.719255571799999416e+01, 5.161742706599999764e+01
2.064000000000000000e+03, 4.753862783999999664e+01, 9.434028301199998623e+01, 4.679586043199999779e+01, 4.586155518599999681e+01, 5.067274253399999395e+01, 7.229664266399998951e+01, 4.579862509799999515e+01, 4.550577391799999560e+01, 7.431907787999999471e+01, 6.834440134799999100e+01, 4.595464157399999294e+01, 5.219212336199999669e+01, 4.858756250399999743e+01, 5.189609887199999605e+01
2.065000000000000000e+03, 4.704975676799999462e+01, 9.341498523599999260e+01, 4.730349936599999694e+01, 4.601576622599999666e+01, 5.055074157599999296e+01, 7.209308566800000051e+01, 4.498041175199999486e+01, 4.571018238599999961e+01, 7.443253652399999964e+01, 6.573565670399999306e+01, 4.749505691399999563e+01, 5.262925962599999252e+01, 4.805202209399999447e+01, 5.207001991199999935e+01
2.066000000000000000e+03, 4.766317927199999360e+01, 9.345428697599999168e+01, 4.737971793599999870e+01, 4.558342343399999663e+01, 5.084583969599999875e+01, 7.074246185999999170e+01, 4.591759859999999804e+01, 4.488149514599999890e+01, 7.422033077999999762e+01, 6.549198197399999799e+01, 4.877837107199999878e+01, 5.332982398199999352e+01, 4.755209765399999355e+01, 5.185901253599999450e+01
2.067000000000000000e+03, 4.682773938599999752e+01, 9.452808777599999246e+01, 4.706331330599999774e+01, 4.615263246599999292e+01, 5.074011525599999572e+01, 7.118821533599999896e+01, 4.601430374399999579e+01, 4.464480169799999487e+01, 7.500236839199999395e+01, 6.624158086799999978e+01, 4.644309873599999605e+01, 5.318943753599999269e+01, 4.728446344799999679e+01, 5.200511488199999377e+01
2.068000000000000000e+03, 4.775433407999999957e+01, 9.335908767599998725e+01, 4.658758091999999351e+01, 4.551360667199999455e+01, 5.105083946399999917e+01, 7.236602974799998833e+01, 4.583051193599999351e+01, 4.530023015399999764e+01, 7.475227214399998843e+01, 6.853701535199999739e+01, 4.773973685399999312e+01, 5.279911646399999370e+01, 4.761658877399999312e+01, 5.168166589799999855e+01
2.069000000000000000e+03, 4.750314983999999896e+01, 9.447965636399999312e+01, 4.749742999799999410e+01, 4.501287412199999949e+01, 5.157665890199999836e+01, 7.128062369999999248e+01, 4.638409882199999856e+01, 4.564468211399999831e+01, 7.433765258399999709e+01, 6.734896750800000120e+01, 4.820608727999999843e+01, 5.267122615799999608e+01, 4.695598447199999725e+01, 5.210645975999999280e+01
2.070000000000000000e+03, 4.738752703799999466e+01, 9.527422165199999426e+01, 4.744297520999999307e+01, 4.608508235399999364e+01, 5.114744999999999919e+01, 7.335056789999998728e+01, 4.682676965399999602e+01, 4.469242894199999938e+01, 7.505674433999999451e+01, 6.592440360599999849e+01, 4.756859098199999636e+01, 5.230321286399999536e+01, 4.769171935199999979e+01, 5.231089582199999910e+01
2.071000000000000000e+03, 4.763582573399999376e+01, 9.443186355599999615e+01, 4.707375172199999724e+01, 4.510410776999999882e+01, 5.060379695399999633e+01, 7.259220593999999949e+01, 4.573434290399999469e+01, 4.547866084199999648e+01, 7.535347444800000005e+01, 6.556152673799999775e+01, 4.738692785399999963e+01, 5.242808359799999351e+01, 4.776172927199999663e+01, 5.153726255399999445e+01
