year, TaiESM1, MPI-ESM1-2-LR, UKESM1-0-LL, MIROC-ES2L, EC-Earth3-Veg, INM-CM5-0, IPSL-CM6A-LR, NorESM2-LM, INM-CM4-8, ACCESS-ESM1-5, CanESM5, CNRM-ESM2-1, CMCC-CM2-SR5, CESM2-WACCM, NorESM2-MM, GFDL-ESM4
2.055000000000000000e+03, -6.463300120312499564e-01, 2.168050971375000024e+00, 1.319046540187500005e+00, 1.232593429499999838e+00, 5.914734479999999017e-01, 3.173737460624999951e+00, 3.689169728624999589e+00, 4.351676784749999527e+00, 4.145259374999999302e+00, 4.776260735249999279e+00, 1.781921846812499766e+00, 4.099860346499999864e+00, -3.776675907656249498e-01, 3.208635493874999689e+00, 2.914819262999999605e+00, -4.707724568906249685e-01
2.056000000000000000e+03, -2.441960348624999888e+00, 1.068964581937499991e+00, 4.918462964999999465e-01, 8.601883163437499258e-01, 1.057814634937499942e+00, 3.435989111999999679e+00, 6.182708560312499824e-01, 3.543071570999999587e+00, 3.112589649374999823e+00, 3.968355226499999500e+00, 8.374588675312499841e-01, 4.700631494249999598e+00, 2.994331127624999755e+00, 3.716435557124999622e+00, 3.245310629999999641e+00, 2.998082186999999621e+00
2.057000000000000000e+03, 5.336529927187499966e-01, 1.674540904499999927e+00, 2.298874618124999714e+00, 1.632643850249999806e+00, 2.526400205999999926e+00, 1.290833399812499893e+00, 2.611604811374999890e+00, 2.930697638999999910e+00, 1.648399901062499895e+00, 2.371812704999999855e-01, 1.975165092562499947e+00, 2.730365198999999965e+00, 2.705208340499999586e+00, 3.362617405124999959e+00, 3.108435274124999648e+00, 3.984733004624999797e+00
2.058000000000000000e+03, 3.506236537499999445e-02, 3.186648988874999588e+00, 9.367808219999999020e-01, 1.474978016812499959e+00, 2.920090456124999623e+00, 2.821843250999999775e+00, 2.883246060374999864e+00, 2.609472189374999918e+00, 3.116100000374999901e+00, -1.259912474999999921e+00, 2.845613264624999861e+00, 1.945476165937499946e+00, -1.291148390249999833e+00, 2.603688536249999963e+00, 2.571602380874999927e+00, 4.328480085749999873e+00
2.059000000000000000e+03, 4.839471752343749711e-01, 1.576537241062499817e+00, -9.315547770937498973e-01, 1.089435634312500012e+00, -2.479294537874999982e+00, 1.483365114562499976e+00, 5.132342026406249147e-01, 2.499826937624999967e+00, 2.743193945249999821e+00, 1.091113817624999927e+00, 3.341792804624999835e+00, 1.531180342687499918e+00, 2.594357391093750076e-01, 3.538644704999999835e+00, 3.892158337499999732e+00, 3.047180782499999907e+00
2.060000000000000000e+03, 6.272074932187499119e-01, -7.020642869999998981e-01, 2.168807342624999634e+00, 1.371188729249999794e+00, 4.127264884124999256e+00, 1.930208799937499942e+00, 3.262175245124999901e+00, 3.644002785374999664e+00, 2.252175961499999879e+00, 2.002712897249999902e+00, 1.884493302749999932e+00, 2.120627233125000011e+00, 1.542861843749999906e+00, 2.586575821499999872e+00, 2.623357145249999967e+00, -3.569137614843749806e-01
2.061000000000000000e+03, -2.288320405874999963e+00, 5.765322824999999374e-02, 3.303091234124999609e+00, 1.127453267812499993e+00, 3.643930351124999856e+00, 3.355283314124999805e+00, 3.075787630124999783e+00, 2.962480013999999606e+00, 2.917449808874999828e+00, -4.313592629999999928e-01, 1.514709434812499866e+00, 2.797571617874999639e+00, 3.339867383999999717e+00, 2.232781567875000039e+00, 2.583224135999999671e+00, -7.525125247499999670e-01
2.062000000000000000e+03, -3.222086090624999566e-02, 3.845159596124999801e+00, 1.453085873437499842e+00, 2.487234218624999826e+00, 3.531784885874999613e+00, 3.387136152374999654e+00, 1.450679159249999906e+00, 1.966655792812499914e+00, 1.505899557562499824e+00, -3.233075339531249481e-01, 2.635879647374999912e+00, 2.677583297249999994e+00, 2.494319470874999833e+00, 2.784862609874999784e+00, 2.276668839374999642e+00, 2.472058996874999970e+00
2.063000000000000000e+03, 1.197267196499999908e+00, 4.137432533999999329e+00, 2.559263890078125048e-01, 2.879327034843749966e-01, 4.547977482656249681e-01, 1.800452603671874874e-01, 1.175552812687499893e+00, 2.296271666250000010e+00, 3.798133999874999667e+00, 7.028687629687498939e-01, 5.270284617187499521e-01, 9.394029911249999198e-01, -3.637538090156249848e-01, 1.997534217937499745e+00, 1.877727475687499759e+00, 2.789573299874999801e+00
2.064000000000000000e+03, -2.870172910124999976e+00, 2.401546225499999743e+00, 1.058136893437499948e+00, -2.285970727499999633e+00, -9.003659194687498868e-01, -5.053311085781249101e-01, 2.343057046874999827e+00, 2.927290026374999687e+00, 3.773882815874999519e+00, 1.821045088124999822e-01, 1.766920565812499788e+00, 2.502340455374999717e+00, -4.422379511249999728e-01, 1.545655859437499835e+00, 2.410702505999999801e+00, 3.657090964499999597e+00
