year, INM-CM5-0, NorESM2-MM, TaiESM1, GFDL-ESM4, IPSL-CM6A-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, UKESM1-0-LL, MPI-ESM1-2-LR, NorESM2-LM, CanESM5, CESM2-WACCM, INM-CM4-8, CNRM-ESM2-1, MIROC-ES2L, EC-Earth3-Veg
2.047000000000000000e+03, 3.101597540080547333e+00, 2.907149540260434151e+00, 3.194345918018370867e+00, 2.988384012132883072e+00, 3.065061767119914293e+00, 3.185822151135653257e+00, 3.279939398635178804e+00, 3.208882652688771486e+00, 2.884369727689772844e+00, 2.873416885267943144e+00, 2.998469327576458454e+00, 3.002442664001137018e+00, 3.084357327315956354e+00, 2.985571778845041990e+00, 3.266825596801936626e+00, 2.992829459253698587e+00
2.048000000000000000e+03, 3.088183875661343336e+00, 2.896864630747586489e+00, 3.218221769202500582e+00, 2.982493001036345959e+00, 3.089296887628734112e+00, 3.200685151387006044e+00, 3.278887365013360977e+00, 3.198610630352050066e+00, 2.875471604056656361e+00, 2.896315511316061020e+00, 2.984767430461943150e+00, 3.012089815456420183e+00, 3.071259555872529745e+00, 3.008759894873946905e+00, 3.236499871127307415e+00, 2.971129969228059053e+00
2.049000000000000000e+03, 3.080649592448025942e+00, 2.900097426027059555e+00, 3.214546723756939173e+00, 3.004584764130413532e+00, 3.075610706582665443e+00, 3.203181491699069738e+00, 3.296906466130167246e+00, 3.195297997444868088e+00, 2.881901361979544163e+00, 2.926200872752815485e+00, 2.994602860417217016e+00, 3.012837271671742201e+00, 3.088097122963517904e+00, 3.002875170204788446e+00, 3.231821197550743818e+00, 2.973601792473345995e+00
2.050000000000000000e+03, 3.095290367491543293e+00, 2.895524993073195219e+00, 3.203029360156506300e+00, 2.995860145892947912e+00, 3.077737404964864254e+00, 3.198565053753554821e+00, 3.312896937131881714e+00, 3.213312069419771433e+00, 2.868360083084553480e+00, 2.884578751400113106e+00, 2.988329005893319845e+00, 3.016880073118954897e+00, 3.089545830152928829e+00, 3.017156675923615694e+00, 3.259446902666240931e+00, 3.027126321103423834e+00
2.051000000000000000e+03, 3.097470814827829599e+00, 2.912756090518087149e+00, 3.203011443838477135e+00, 3.009119478520005941e+00, 3.105745953507721424e+00, 3.202535875607281923e+00, 3.300397319253534079e+00, 3.214423509780317545e+00, 2.891926013398915529e+00, 2.870712149888277054e+00, 3.005909628700464964e+00, 2.999159262981265783e+00, 3.088412072975188494e+00, 2.974006638396531343e+00, 3.271241497714072466e+00, 2.977326815016567707e+00
2.052000000000000000e+03, 3.095489961560815573e+00, 2.899197523947805166e+00, 3.224314888939261436e+00, 3.003475209698081017e+00, 3.066386946011334658e+00, 3.210612991824746132e+00, 3.288990596774965525e+00, 3.219039633404463530e+00, 2.895788394380360842e+00, 2.865582110825926065e+00, 2.993150067050009966e+00, 3.024685301352292299e+00, 3.076465660706162453e+00, 3.009557642508298159e+00, 3.240349993575364351e+00, 2.979917137417942286e+00
2.053000000000000000e+03, 3.071781957987695932e+00, 2.872152999043464661e+00, 3.199311881326138973e+00, 2.980005776043981314e+00, 3.073548444081097841e+00, 3.205709264148026705e+00, 3.289403615053743124e+00, 3.219929791521281004e+00, 2.876564185135066509e+00, 2.901173662394285202e+00, 2.987669873982667923e+00, 3.003725723829120398e+00, 3.086397901643067598e+00, 2.977102075237780809e+00, 3.224453190341591835e+00, 2.991937100887298584e+00
2.054000000000000000e+03, 3.078692313283681870e+00, 2.883717510849237442e+00, 3.222346608527004719e+00, 2.977564756292849779e+00, 3.078067128080874681e+00, 3.202923433855175972e+00, 3.311231976840645075e+00, 3.201453667134046555e+00, 2.874804299790412188e+00, 2.930423151701688766e+00, 2.992892637848854065e+00, 3.009739948902279139e+00, 3.100710839498788118e+00, 3.015925793442875147e+00, 3.225310973357409239e+00, 2.991636923979967833e+00
2.055000000000000000e+03, 3.086212766356766224e+00, 2.899826166685670614e+00, 3.210849675815552473e+00, 2.995028137229382992e+00, 3.079944255296140909e+00, 3.208304930012673140e+00, 3.285497857723385096e+00, 3.214979229960590601e+00, 2.879565639887005091e+00, 2.888545172754675150e+00, 2.992462960537523031e+00, 3.042767895385622978e+00, 3.092816343996673822e+00, 3.002034360542893410e+00, 3.261522052343934774e+00, 2.974114764947444201e+00
2.056000000000000000e+03, 3.089453419670462608e+00, 2.878643735311925411e+00, 3.212609875481575727e+00, 3.016223770100623369e+00, 3.083854413125663996e+00, 3.209430829156190157e+00, 3.284282062668353319e+00, 3.231021563988178968e+00, 2.887032658327370882e+00, 2.902111283037811518e+00, 3.012830042280256748e+00, 3.002204722724854946e+00, 3.084038605447858572e+00, 2.991593861952424049e+00, 3.275516582652926445e+00, 2.999849512707442045e+00
