year, CMCC-CM2-SR5, MPI-ESM1-2-LR, CanESM5, IPSL-CM6A-LR, MIROC-ES2L, CESM2-WACCM, GFDL-ESM4, EC-Earth3-Veg, ACCESS-ESM1-5, INM-CM4-8, CNRM-ESM2-1, TaiESM1, UKESM1-0-LL, NorESM2-LM, NorESM2-MM, INM-CM5-0
2.048000000000000000e+03, 1.396006513515015035e+00, 2.610524024880827909e+00, 5.642140473025470726e+00, 2.290714544739545833e+00, 4.894487075988295466e+00, 2.045329866320878764e+00, 4.971091062377212211e+00, 4.936964973551916103e+00, 5.365040257682695213e+00, 8.405755391184110081e+00, 5.765378446898994369e+00, 1.651239386287869149e+00, 5.969619349802519181e+00, 1.760122058331027528e+00, 1.923060333406118261e+00, 1.039854669532465437e+01
2.049000000000000000e+03, 1.352878333187751414e+00, 2.601681265503476226e+00, 5.696143771052775584e+00, 2.295924627077789104e+00, 4.910388695492232891e+00, 2.047882228046410180e+00, 5.055508089530818872e+00, 4.814426519429405360e+00, 5.357008926845850283e+00, 8.442154453035646711e+00, 5.793091045485804003e+00, 1.675270718057668251e+00, 5.896624575623488518e+00, 1.806643705708092185e+00, 1.914282938492286590e+00, 1.033119558828720663e+01
2.050000000000000000e+03, 1.340289384269789608e+00, 2.510293461141102522e+00, 5.709443756975001172e+00, 2.355200654329338228e+00, 4.996746390606861432e+00, 2.147023845205983772e+00, 5.122774183003103055e+00, 5.085672985124088719e+00, 5.433206632206486475e+00, 8.469298990522975856e+00, 5.851032085913533187e+00, 1.692118655422061746e+00, 5.896853983422556844e+00, 1.725612862039759277e+00, 1.898651072601909240e+00, 1.034674749960722551e+01
2.051000000000000000e+03, 1.358428913311940267e+00, 2.610334939789288988e+00, 5.705550819998351564e+00, 2.391405421284018562e+00, 5.192480756389302066e+00, 2.107607746754282640e+00, 5.117464511278030592e+00, 5.152566383672366079e+00, 5.478368513511089333e+00, 8.515732989012196441e+00, 5.877512356409408945e+00, 1.701497230142465567e+00, 5.972096144197460710e+00, 1.672174844112850556e+00, 1.943631421906214518e+00, 1.047938902519151760e+01
2.052000000000000000e+03, 1.366918553722602514e+00, 2.598516995334094304e+00, 5.727825674880010709e+00, 2.360078032705768880e+00, 5.283747171068458925e+00, 2.132098257723806789e+00, 5.171268980768611634e+00, 4.951628291185262043e+00, 5.480367905804453876e+00, 8.489879481302036623e+00, 5.913302370182522694e+00, 1.771088353941834503e+00, 5.988065023204037551e+00, 1.692385144978320266e+00, 1.855419215609421801e+00, 1.040723116182999597e+01
2.053000000000000000e+03, 1.390030461926824223e+00, 2.587196122330361892e+00, 5.756478431522221939e+00, 2.360686409216338433e+00, 5.180613442732304286e+00, 2.124878637940283976e+00, 5.132848984330853348e+00, 4.802965049725144375e+00, 5.453216182540069568e+00, 8.497942631683448766e+00, 5.874931365028913888e+00, 1.721129750865774799e+00, 5.991454287454700989e+00, 1.775240566719774815e+00, 1.691423658268332408e+00, 1.034491202783642549e+01
2.054000000000000000e+03, 1.397018205403267599e+00, 2.578404746290656302e+00, 5.793631844317014945e+00, 2.388497802358480637e+00, 5.128162803431830064e+00, 2.085369441330289231e+00, 5.037704822325689058e+00, 5.088854685659767618e+00, 5.506765967431828557e+00, 8.536894264895831697e+00, 6.029612738810893546e+00, 1.689946916843055869e+00, 5.959914776929421620e+00, 1.769342194373899169e+00, 1.699347199248677276e+00, 1.032863915545232381e+01
2.055000000000000000e+03, 1.444666770665523403e+00, 2.629069044309571890e+00, 5.841623287288124189e+00, 2.425838269780340894e+00, 5.162507073856249740e+00, 2.158739993988407768e+00, 5.036948216183001925e+00, 5.367704679552290692e+00, 5.563483122248536361e+00, 8.609353148509139686e+00, 6.014979557630702800e+00, 1.791633847925412804e+00, 5.978118022866451220e+00, 1.700595158694648390e+00, 1.741124607783550715e+00, 1.035188082358421191e+01
2.056000000000000000e+03, 1.293867395402800824e+00, 2.663802403808915642e+00, 5.893901655835432685e+00, 2.440149879970592295e+00, 5.311384150447982400e+00, 2.094213422305890138e+00, 5.086047576853771623e+00, 5.455287703882119921e+00, 5.551630817268581097e+00, 8.617511562410992809e+00, 6.004060710682976421e+00, 1.798894325194183130e+00, 6.045377531850930630e+00, 1.724734188707325755e+00, 1.736975099585698068e+00, 1.042595240943158430e+01
2.057000000000000000e+03, 1.304903303977825280e+00, 2.622440741318821544e+00, 5.954227995197770795e+00, 2.485507847723680275e+00, 5.386888696567111445e+00, 2.099051711723291191e+00, 5.075155444893002077e+00, 5.513924430554296485e+00, 5.485280410770426940e+00, 8.557696571663354845e+00, 6.056587674020287970e+00, 1.671116388478761872e+00, 6.023760546885664979e+00, 1.867840990152513481e+00, 1.758904209259475104e+00, 1.048765186529680271e+01
