year, CNRM-ESM2-1, MPI-ESM1-2-LR, NorESM2-LM, GFDL-ESM4, INM-CM5-0, CanESM5, CESM2-WACCM, ACCESS-ESM1-5, CMCC-ESM2, INM-CM4-8, EC-Earth3-Veg, MIROC-ES2L, NorESM2-MM, TaiESM1, UKESM1-0-LL, IPSL-CM6A-LR
2.061000000000000000e+03, 4.816799063621091115e-01, 6.419612962699485781e-01, 3.882199567626545278e-01, 4.658027402252518656e-01, 6.107686516555949074e-01, 2.248357787174002365e-01, 3.809586417639810874e-01, 3.380064260826549649e-01, 2.399787398137731287e-01, 5.091897399194351692e-01, 8.014002844155753147e-01, 2.354072194732635126e-01, 3.678774689303901946e-01, 2.840872886041933554e-01, 9.857641085794678348e-01, 2.753389542510070176e-01
2.062000000000000000e+03, 4.900883180501205416e-01, 5.760393858512192766e-01, 3.631816358520553734e-01, 4.353996842749505158e-01, 6.060361703291315960e-01, 2.296585382855282076e-01, 3.149513930394471362e-01, 3.422751175023169834e-01, 2.147994072284240274e-01, 5.324670445843516786e-01, 6.768406230956752756e-01, 2.359116296312930294e-01, 3.449518436592576842e-01, 2.706995436401137267e-01, 9.885251500672469493e-01, 2.712337595115241751e-01
2.063000000000000000e+03, 5.068247421980304201e-01, 5.426573780854569984e-01, 3.459855384746402529e-01, 4.411557928034925413e-01, 6.021422079612136491e-01, 2.249076704541414229e-01, 4.011858617580855157e-01, 3.601589956300443873e-01, 2.476314396939881257e-01, 5.767272261055044202e-01, 7.100493349071800298e-01, 2.197102789605752116e-01, 3.912044991295354768e-01, 2.661391650124343422e-01, 1.059406658560969383e+00, 2.756275645611759861e-01
2.064000000000000000e+03, 4.461977995606374314e-01, 6.184143166471299802e-01, 3.606621266809695303e-01, 4.259136042441350467e-01, 5.380141809385184937e-01, 2.388143407844967314e-01, 4.340196664163480378e-01, 3.642660562773633037e-01, 2.427129933378910920e-01, 5.515059832571335141e-01, 9.269167088949127331e-01, 2.184571832497242405e-01, 3.780134357676551149e-01, 2.759603899898989132e-01, 1.061707291953340127e+00, 2.771275038528180912e-01
2.065000000000000000e+03, 4.942093588293766104e-01, 5.658374395447777205e-01, 3.793519503754699818e-01, 4.198234144305946769e-01, 6.083345521541094758e-01, 2.254925834195105061e-01, 4.722314996448718216e-01, 3.383294620875818004e-01, 2.762773681977984674e-01, 5.151138782003490402e-01, 9.966398623150155567e-01, 2.430748708156109661e-01, 3.719347156553123868e-01, 3.034532090195187215e-01, 1.020444989354762022e+00, 2.675376356707420689e-01
2.066000000000000000e+03, 5.139768718195466546e-01, 5.970923527451538204e-01, 3.657314766152013341e-01, 4.578271785556756179e-01, 6.580108503317965152e-01, 2.217785058008604204e-01, 3.209221390564180321e-01, 3.563293872906180271e-01, 2.941956038823881348e-01, 4.940931076451174908e-01, 8.199635729383780713e-01, 2.245554040516061500e-01, 2.804979631977274068e-01, 2.839224458174823273e-01, 9.634715462343482750e-01, 2.692656216035588246e-01
2.067000000000000000e+03, 4.110509152945088784e-01, 5.888129316401014002e-01, 3.627791220370760183e-01, 4.605166595045824818e-01, 6.412583019851209043e-01, 2.202743444348754798e-01, 3.838171368668361061e-01, 3.916621828846220121e-01, 3.032241284086923394e-01, 5.296585556195660960e-01, 7.831696200739669544e-01, 2.381193080957095809e-01, 3.420939820937294318e-01, 2.337504008970264224e-01, 1.074274301519561048e+00, 2.694235533989996489e-01
2.068000000000000000e+03, 4.382415862857030886e-01, 6.115425435088315265e-01, 2.864611955192341575e-01, 4.644514847384315637e-01, 6.642594448807139784e-01, 2.101338079577933782e-01, 4.277027133094728484e-01, 3.833638237579217178e-01, 3.331450248014281579e-01, 5.295800555722044445e-01, 9.654419498338976391e-01, 2.130630183866283056e-01, 3.245747801147675915e-01, 2.665106751852123201e-01, 1.069462733294195056e+00, 2.802798874678709140e-01
2.069000000000000000e+03, 4.689558691937284474e-01, 5.787078777921554895e-01, 3.012226900124346796e-01, 4.666085546798223738e-01, 6.189118428427895502e-01, 2.151329143856288428e-01, 4.301943842427914388e-01, 3.876788420558906489e-01, 3.057501947890725602e-01, 5.030891657463087974e-01, 9.951873108279051250e-01, 2.419440457043091908e-01, 3.472036378834454928e-01, 2.938672796396304410e-01, 1.054418851082168374e+00, 2.780788289252469903e-01
2.070000000000000000e+03, 4.594048683615209461e-01, 6.033354750308491665e-01, 3.616343666404356894e-01, 4.649805634611930971e-01, 5.987852724976715502e-01, 2.140426146465370660e-01, 3.502658587165069504e-01, 3.877521889732597482e-01, 2.594430253366014072e-01, 4.816700555495120883e-01, 8.698704685247196089e-01, 2.359192342852549917e-01, 3.590283410049427415e-01, 2.872494905117526920e-01, 1.127081424355417250e+00, 2.864361216294424306e-01
