year, UKESM1-0-LL, INM-CM4-8, CMCC-CM2-SR5, CanESM5, IPSL-CM6A-LR, NorESM2-MM, CESM2-WACCM, ACCESS-ESM1-5, GFDL-ESM4, EC-Earth3-Veg, TaiESM1, MIROC-ES2L, CNRM-ESM2-1, INM-CM5-0, NorESM2-LM, MPI-ESM1-2-LR
2.060000000000000000e+03, 2.910362008883740259e+02, 2.900698400100739605e+02, 2.925474034152612717e+02, 2.906960795292424109e+02, 2.889071355721850978e+02, 2.903842041047385010e+02, 2.924576002135454473e+02, 2.910209757223661882e+02, 2.894123940313128287e+02, 2.895172406013369368e+02, 2.935819859829066445e+02, 2.936526278174114282e+02, 2.899461380801673727e+02, 2.898677427941016163e+02, 2.916573105090485001e+02, 2.912529210084006195e+02
2.061000000000000000e+03, 2.910969047033125889e+02, 2.903704657907958335e+02, 2.928549239091452705e+02, 2.911936201009191905e+02, 2.889863889410422075e+02, 2.906731019334791881e+02, 2.922400015574535814e+02, 2.907025817058885195e+02, 2.901597808696453171e+02, 2.903503359795955134e+02, 2.929058790508186689e+02, 2.936950549252681526e+02, 2.899978109336921079e+02, 2.900607349026442421e+02, 2.916312051747049168e+02, 2.913721286392187722e+02
2.062000000000000000e+03, 2.909997457220040360e+02, 2.907686782675048107e+02, 2.924971674512825643e+02, 2.910237898523000695e+02, 2.888484125450157194e+02, 2.908625925166475668e+02, 2.922039292534771562e+02, 2.893902985047889160e+02, 2.901318089347327032e+02, 2.906196389565189406e+02, 2.931279511275924961e+02, 2.937115198263560387e+02, 2.901862516101483038e+02, 2.903481890051374990e+02, 2.914248804966978810e+02, 2.906063819195656492e+02
2.063000000000000000e+03, 2.914033708049530560e+02, 2.902906328159343730e+02, 2.922416282934473770e+02, 2.908844383432833638e+02, 2.886414849209305657e+02, 2.914797596287883721e+02, 2.918703598763113405e+02, 2.902315218912451087e+02, 2.896148073124793427e+02, 2.898415641453121907e+02, 2.935097433578138748e+02, 2.941615322176801328e+02, 2.904750696045264249e+02, 2.909409179284944571e+02, 2.913377801934633453e+02, 2.914837030633504469e+02
2.064000000000000000e+03, 2.912971385459360363e+02, 2.902863145721934188e+02, 2.918498518113860882e+02, 2.909603582136253976e+02, 2.893771192969906565e+02, 2.909195076716441690e+02, 2.925869090549820157e+02, 2.911391949835167452e+02, 2.899383421505349361e+02, 2.898893308606646428e+02, 2.935026410675953912e+02, 2.939173520243958819e+02, 2.904325641591015028e+02, 2.901481754046171204e+02, 2.911437286512006608e+02, 2.908035057492965620e+02
2.065000000000000000e+03, 2.898940346544744671e+02, 2.905634109804494187e+02, 2.927361125739842009e+02, 2.910032318306841148e+02, 2.892764857251624449e+02, 2.908810107414471418e+02, 2.914519713815780051e+02, 2.903658314731934524e+02, 2.899163541974977534e+02, 2.905200075472191656e+02, 2.929400992565342108e+02, 2.936107244076204097e+02, 2.902248212013887496e+02, 2.900466828508030517e+02, 2.920059327130935571e+02, 2.904554424183075980e+02
2.066000000000000000e+03, 2.909123843406073320e+02, 2.900111003453767466e+02, 2.929187306664999824e+02, 2.904582076282290473e+02, 2.893444551945549961e+02, 2.910005011591226776e+02, 2.918965984956252555e+02, 2.907128764133095729e+02, 2.895024330699799862e+02, 2.899917749904909101e+02, 2.924982922903394069e+02, 2.932527988785977868e+02, 2.909998339742201665e+02, 2.902335624641033291e+02, 2.917962129627243826e+02, 2.911406657164770309e+02
2.067000000000000000e+03, 2.912696612175404880e+02, 2.900459132154601321e+02, 2.924467183905922525e+02, 2.907352605584208050e+02, 2.890853739049695150e+02, 2.911659016710746073e+02, 2.920775824146591049e+02, 2.899064206570906208e+02, 2.894191883456027767e+02, 2.907994732138362224e+02, 2.924976806340912958e+02, 2.937373187694206536e+02, 2.902717435669847532e+02, 2.902451599094742960e+02, 2.917498612201929404e+02, 2.907577736257998708e+02
2.068000000000000000e+03, 2.917597446156430010e+02, 2.900103029964081998e+02, 2.928923596542006180e+02, 2.901499555271790882e+02, 2.900380451607795180e+02, 2.915162980661543770e+02, 2.918225128016272265e+02, 2.904469285690504989e+02, 2.895956218830520470e+02, 2.909213962498466230e+02, 2.933544426385972201e+02, 2.939242060256075320e+02, 2.898264379386256451e+02, 2.901001625962794606e+02, 2.923637536596473296e+02, 2.908594834736913413e+02
2.069000000000000000e+03, 2.910968053909249988e+02, 2.901877851894178093e+02, 2.923959695369725864e+02, 2.907179787376593936e+02, 2.889316937787219217e+02, 2.912939615309418286e+02, 2.920396549655685590e+02, 2.909960658779061760e+02, 2.896774515033080775e+02, 2.903933779296090165e+02, 2.931826278995465600e+02, 2.941381916093832842e+02, 2.896310126044635354e+02, 2.902678012230095987e+02, 2.919007604027988805e+02, 2.907283699571992202e+02
