year, TaiESM1, NorESM2-MM, MIROC-ES2L, NorESM2-LM, CMCC-CM2-SR5, CanESM5, INM-CM5-0, ACCESS-ESM1-5, CESM2-WACCM, IPSL-CM6A-LR, INM-CM4-8, MPI-ESM1-2-LR, CNRM-ESM2-1, UKESM1-0-LL, GFDL-ESM4, EC-Earth3-Veg
1.943000000000000000e+03, 1.871634060988198200e+02, 1.533113295565186718e+02, 1.210883394547122265e+02, 1.556343535590754072e+02, 1.201285732824738091e+02, 1.011954275111709620e+02, 1.287645920908103392e+02, 1.834971317481209212e+02, 1.516580734241850337e+02, 1.276510991995930482e+02, 1.260975629612953242e+02, 1.495504407928955004e+02, 1.289579008942033909e+02, 2.019046070349839397e+02, 7.467161221773866941e+01, 1.320303593654891756e+02
1.944000000000000000e+03, 1.870050868021649251e+02, 1.532522035532910820e+02, 1.214545327461812434e+02, 1.555912993642083393e+02, 1.210147534923228392e+02, 9.988409485847789426e+01, 1.291975062182497993e+02, 1.835645204280834832e+02, 1.515604703484493143e+02, 1.276334318878280243e+02, 1.263821990370502419e+02, 1.494778951882578042e+02, 1.281825370002166267e+02, 2.019468996616366780e+02, 7.428865763113344656e+01, 1.311798225032295306e+02
1.945000000000000000e+03, 1.862443937615514926e+02, 1.531340895524526218e+02, 1.216763331022886518e+02, 1.556657242732601105e+02, 1.203261340397079664e+02, 9.993534112483676779e+01, 1.296029528203767995e+02, 1.833878336652947496e+02, 1.517361151802306267e+02, 1.277881679888449469e+02, 1.264160141777226158e+02, 1.487452059820848831e+02, 1.281501560858045536e+02, 2.020205641171151285e+02, 7.440932766792295183e+01, 1.318978310746568070e+02
1.946000000000000000e+03, 1.859276261289624017e+02, 1.531299526027613922e+02, 1.213449058760840700e+02, 1.557737708567617858e+02, 1.198201429058243690e+02, 9.921458295508193714e+01, 1.298967141282568605e+02, 1.832188748270457381e+02, 1.518357169772306747e+02, 1.278605921658316475e+02, 1.260858473650383189e+02, 1.482937508661896970e+02, 1.282552299653831938e+02, 2.021102077892496141e+02, 7.480611114269842687e+01, 1.322267813917108299e+02
1.947000000000000000e+03, 1.855453836192108099e+02, 1.535624631563306082e+02, 1.215069381768527847e+02, 1.557614351604728427e+02, 1.203267493946976288e+02, 9.929338111502812581e+01, 1.302450153167428937e+02, 1.832412571481862074e+02, 1.513443806249563579e+02, 1.279930869849806498e+02, 1.253427988743315638e+02, 1.482112624030951906e+02, 1.275451678625551892e+02, 2.019653115711785460e+02, 7.495430116994739933e+01, 1.324713239707107562e+02
1.948000000000000000e+03, 1.846555907217103822e+02, 1.540337549479425832e+02, 1.216365091099919766e+02, 1.556579773948901391e+02, 1.205858016031790640e+02, 9.884450228735332189e+01, 1.296909892382734029e+02, 1.831290673131712481e+02, 1.516221740641121301e+02, 1.281253462753546160e+02, 1.244125499545281599e+02, 1.487238116084884894e+02, 1.268958839364495645e+02, 2.012950189326240604e+02, 7.462036150328491146e+01, 1.321200967429179798e+02
1.949000000000000000e+03, 1.846247843440765450e+02, 1.541500721323097878e+02, 1.217635733802741100e+02, 1.554759916666821198e+02, 1.204459774798391578e+02, 9.765728502486179252e+01, 1.295174562292885412e+02, 1.823290434196264584e+02, 1.520508361780241557e+02, 1.277929653719835557e+02, 1.243121616844998840e+02, 1.490313542530091127e+02, 1.275656166069877315e+02, 2.011003257044551162e+02, 7.521112311432190722e+01, 1.310060936600170578e+02
1.950000000000000000e+03, 1.841757292218302666e+02, 1.538448819106599785e+02, 1.216025909590667169e+02, 1.553229832584650580e+02, 1.205515390625065777e+02, 9.757293987564717952e+01, 1.298087268799969252e+02, 1.828097627572063573e+02, 1.519899174647480606e+02, 1.273951202726780281e+02, 1.245579169006834661e+02, 1.496046119584334235e+02, 1.281117192765938171e+02, 2.013096967404623285e+02, 7.469156989679559899e+01, 1.301455065248370033e+02
1.951000000000000000e+03, 1.848457132218241554e+02, 1.534408406062647998e+02, 1.214248462428244864e+02, 1.545821774025246498e+02, 1.206250102699674329e+02, 9.769185588702197265e+01, 1.300548270943404248e+02, 1.828663007817767152e+02, 1.519259409795396607e+02, 1.275798003816085924e+02, 1.248646283858716686e+02, 1.490315654788884956e+02, 1.280176155108686942e+02, 2.014976440770684860e+02, 7.514315812768639091e+01, 1.294694294713694944e+02
1.952000000000000000e+03, 1.847761665026098683e+02, 1.533815874954560456e+02, 1.217464918147702662e+02, 1.543611990000188143e+02, 1.205743625054331432e+02, 9.671756999819400846e+01, 1.302462564129726275e+02, 1.823754824261976921e+02, 1.515039590983098208e+02, 1.272560318628406293e+02, 1.247064040455203155e+02, 1.482350068239443317e+02, 1.279193855366458763e+02, 2.017208437432058474e+02, 7.528239981468618680e+01, 1.290657004894739543e+02
