year, CESM2-WACCM, IPSL-CM6A-LR, CNRM-ESM2-1, UKESM1-0-LL
1.944000000000000000e+03, 2.849108285486428842e-10, -5.660361272748634689e-10, 2.159989246575359015e-10, 3.674368537195823922e-10
1.945000000000000000e+03, 2.868002955747903884e-10, -5.686756971301370027e-10, 2.181868358961771563e-10, 3.572728281263098092e-10
1.946000000000000000e+03, 2.892432198483683832e-10, -5.869491655349473463e-10, 2.185487651409130239e-10, 3.517529159196817481e-10
1.947000000000000000e+03, 2.877177719675718277e-10, -5.814866159386614408e-10, 2.192229535404705956e-10, 3.670240806102131728e-10
1.948000000000000000e+03, 2.865113409961386108e-10, -5.951119731329630235e-10, 2.318993958362100013e-10, 3.641150403746565803e-10
1.949000000000000000e+03, 2.907565143723771988e-10, -6.160171459392190299e-10, 2.417252839151331238e-10, 3.611580056701539460e-10
1.950000000000000000e+03, 2.930070770855350158e-10, -5.699104271971438882e-10, 2.538219645513509092e-10, 3.417777179492874912e-10
1.951000000000000000e+03, 3.705818016509399867e-10, -6.942770121385521447e-10, 3.147108690002212665e-10, 3.452187872978799158e-10
1.952000000000000000e+03, 3.747948112369441520e-10, -7.002470497171981433e-10, 3.278092701309789144e-10, 3.900839756132586126e-10
1.953000000000000000e+03, 3.825230058780377807e-10, -6.934037965898191697e-10, 3.351292811130029551e-10, 3.776299354736202899e-10
1.954000000000000000e+03, 3.876486983357270827e-10, -7.214707304117549337e-10, 3.483534473327548794e-10, 4.126448818117922125e-10
1.955000000000000000e+03, 3.915374755556225899e-10, -7.549842809148059766e-10, 3.682079877641119379e-10, 4.121276618222092214e-10
1.956000000000000000e+03, 3.968451963856373635e-10, -7.714742867907481971e-10, 3.912129587636876767e-10, 4.000918835744343804e-10
1.957000000000000000e+03, 4.018593060321582965e-10, -7.892611570586829707e-10, 4.129841040541520467e-10, 4.043380010631009036e-10
1.958000000000000000e+03, 4.074449642606794432e-10, -7.879928843743001272e-10, 4.315561070093228058e-10, 4.378982191634219320e-10
1.959000000000000000e+03, 3.973708850867711498e-10, -7.688390118726784242e-10, 4.483719672489356399e-10, 4.230486329964079503e-10
