year, NorESM2-LM, CMCC-CM2-SR5, CNRM-ESM2-1, MPI-ESM1-2-LR, NorESM2-MM, GFDL-ESM4, MIROC-ES2L, IPSL-CM6A-LR, CanESM5, TaiESM1, CESM2-WACCM, EC-Earth3-Veg, ACCESS-ESM1-5
1.890000000000000000e+03, 4.726090329960390690e+00, 6.180498858581620958e+00, 2.995517838922112830e+01, 5.386940634369742043e+01, 4.702965936364893018e+00, 3.298426821444985535e+01, 3.468152880848909092e+01, 1.906940023963386466e+01, 1.150850221409397811e+01, 1.957608321049794986e+00, 4.789364175437238913e+00, 6.559000455089517345e+00, 6.410977853575313468e+00
1.891000000000000000e+03, 4.670832721779793140e+00, 6.214560575776148177e+00, 2.983548935504974153e+01, 5.367325170951020397e+01, 4.692194262177304509e+00, 3.294479152013160927e+01, 3.473788243567165779e+01, 1.907603403940013109e+01, 1.184341116372096891e+01, 2.201892222743575989e+00, 4.807774885815448762e+00, 6.560981469921791209e+00, 6.364138819392609392e+00
1.892000000000000000e+03, 4.816320457558841639e+00, 5.905328260014847785e+00, 2.993684530337934291e+01, 5.374818535673664144e+01, 4.743575829673222444e+00, 3.321267911667575845e+01, 3.465775587442733752e+01, 1.903789435182988754e+01, 1.173354636844112342e+01, 2.206569718359453702e+00, 4.802468995604905366e+00, 6.578194756103499685e+00, 6.445977689711771319e+00
1.893000000000000000e+03, 4.738753696914219660e+00, 5.839366168396017187e+00, 2.969381336874975830e+01, 5.379582888895384229e+01, 4.663571906068807671e+00, 3.310811805947070496e+01, 3.447377280859511472e+01, 1.909009176283058196e+01, 1.171322604758872288e+01, 2.108497467132838032e+00, 4.798113158991785809e+00, 6.570261657512193487e+00, 6.477539137042979789e+00
1.894000000000000000e+03, 4.644450620777007543e+00, 6.102642311220918714e+00, 2.977360824584883403e+01, 5.378647857824697809e+01, 4.657347137117696434e+00, 3.289425059951330610e+01, 3.447753625488390128e+01, 1.904818902139362891e+01, 1.169924226039764648e+01, 1.942603332774731628e+00, 4.772740789940218775e+00, 6.643781303259228999e+00, 6.604791535839585670e+00
1.895000000000000000e+03, 4.651509050794365052e+00, 6.294817975273437227e+00, 2.981092702586510867e+01, 5.381268876074885554e+01, 4.689012578199906578e+00, 3.275550126121756023e+01, 3.460041556497142778e+01, 1.902587234971196750e+01, 1.166932894583284330e+01, 2.021631856146101303e+00, 4.745294262305531419e+00, 6.706763222405030866e+00, 6.625114552559216108e+00
1.896000000000000000e+03, 4.776173578787744844e+00, 5.920184904621202726e+00, 2.974080976533748455e+01, 5.420504720002729471e+01, 4.705584286808761618e+00, 3.291893058340761513e+01, 3.459402675139828176e+01, 1.897336778778330668e+01, 1.141812420500382075e+01, 2.048403899341367573e+00, 4.751148762169230544e+00, 6.421307019727366949e+00, 6.720387753826512878e+00
1.897000000000000000e+03, 4.662282953360092463e+00, 6.017063091586073220e+00, 2.995016669170251333e+01, 5.419876520628551475e+01, 4.848512945573834720e+00, 3.281654383501268768e+01, 3.462520978378893233e+01, 1.908330099898921972e+01, 1.157903540715256163e+01, 2.121779767482162349e+00, 5.021588554301149365e+00, 6.125940336690208099e+00, 6.669233599415355762e+00
1.898000000000000000e+03, 4.695252016146842067e+00, 5.904673340046052488e+00, 2.990035669538149321e+01, 5.401670294143353601e+01, 4.747831732179740527e+00, 3.274279724441273487e+01, 3.448687685110311207e+01, 1.913652113091329099e+01, 1.165572109531227341e+01, 2.292885692080969484e+00, 4.841943772012087699e+00, 5.997271763387927557e+00, 6.650044823482109457e+00
1.899000000000000000e+03, 4.700177587197490681e+00, 6.068410588075734857e+00, 2.995550485671945395e+01, 5.422708015460687392e+01, 4.704906027124453161e+00, 3.267182062424611644e+01, 3.442546963843751229e+01, 1.913426695439009606e+01, 1.171968199251838882e+01, 2.039057866372361971e+00, 4.717221040807098476e+00, 6.069559873797719440e+00, 6.668932075083269240e+00
