year, GFDL-ESM4, NorESM2-LM, EC-Earth3-Veg, NorESM2-MM, TaiESM1, MPI-ESM1-2-LR, CNRM-ESM2-1, GFDL-ESM4, TaiESM1, CNRM-ESM2-1, CESM2-WACCM, NorESM2-MM
2.058000000000000000e+03, 3.836640568998915370e-09, 1.163025533577843395e-09, 2.856723709311826075e-09, 1.889449600839004540e-09, 2.871577730085198925e-09, 9.542259285973942831e-10, 5.295416927917186384e-10, 3.856712725518950010e-09, 2.871577730085198925e-09, 5.295416927917186384e-10, 9.623215594728969008e-10, 1.889449600839004540e-09
2.059000000000000000e+03, 4.312224916530702169e-09, 1.586601901338786721e-09, 2.381056520836771620e-09, 1.725027572333039879e-09, 3.235031043380255195e-09, 1.010493291000343912e-09, 7.973576836829923432e-10, 4.332303866214836504e-09, 3.235031043380255195e-09, 7.973576836829923432e-10, 1.050312154268094102e-09, 1.725027572333039879e-09
2.060000000000000000e+03, 5.039658184317927161e-09, 1.437636028718142303e-09, 2.975999820175604328e-09, 1.711664864353240426e-09, 2.235418935216177896e-09, 9.808297180971309786e-10, 5.853644108556991455e-10, 5.059945067906004528e-09, 2.235418935216177896e-09, 5.853644108556991455e-10, 1.305756817169948924e-09, 1.711664864353240426e-09
2.061000000000000000e+03, 7.085922582126286155e-09, 1.364870130867407256e-09, 2.178054607300320297e-09, 1.990706965711616521e-09, 2.730022588062815598e-09, 1.108376190991296801e-09, 7.435295676114850273e-10, 7.106071021737435846e-09, 2.730022588062815598e-09, 7.435295676114850273e-10, 1.678592346129362402e-09, 1.990706965711616521e-09
2.062000000000000000e+03, 5.596972299874916092e-09, 1.289588609610877801e-09, 1.364891897836227881e-09, 2.037165239829960410e-09, 3.413406579629479508e-09, 8.699233136390420260e-10, 4.549272091826042925e-10, 5.617180673249650299e-09, 3.413406579629479508e-09, 4.549272091826042925e-10, 1.370148476212628372e-09, 2.037165239829960410e-09
2.063000000000000000e+03, 3.124015759695623452e-09, 1.674850659644236965e-09, 1.770799714835361484e-09, 1.080165095469214450e-09, 3.261799565435728216e-09, 1.003153430422531686e-09, 5.769743174478772559e-10, 3.143848587088013411e-09, 3.261799565435728216e-09, 5.769743174478772559e-10, 1.321968154830123662e-09, 1.080165095469214450e-09
2.064000000000000000e+03, 4.831050664300527539e-09, 1.342932764460104846e-09, 2.340710565275689175e-09, 9.997677172940040774e-10, 2.415535595623137114e-09, 9.562828169344002830e-10, 6.506026895377135674e-10, 4.850762589706614408e-09, 2.415535595623137114e-09, 6.506026895377135674e-10, 1.265546528808585799e-09, 9.997677172940040774e-10
2.065000000000000000e+03, 3.974560996281269641e-09, 1.025459835559656426e-09, 2.657666965167726182e-09, 9.678561523968238797e-10, 1.750042306955900940e-09, 1.041341479688020995e-09, 5.501490968508293474e-10, 3.994338341324154581e-09, 1.750042306955900940e-09, 5.501490968508293474e-10, 1.677791836205109776e-09, 9.678561523968238797e-10
2.066000000000000000e+03, 2.897555724036956164e-09, 2.068607943077524517e-09, 2.337485957920131438e-09, 2.140832604955395384e-09, 1.715784139014301266e-09, 1.050433762989979423e-09, 7.028394535882903223e-10, 2.917261550100552068e-09, 1.715784139014301266e-09, 7.028394535882903223e-10, 1.559820976907298991e-09, 2.140832604955395384e-09
2.067000000000000000e+03, 3.698694903470777973e-09, 1.968616003236587894e-09, 2.816681633620225702e-09, 2.293666514688308715e-09, 2.125553952265394977e-09, 1.177901593345804012e-09, 5.083111156053138969e-10, 3.718302836257291562e-09, 2.125553952265394977e-09, 5.083111156053138969e-10, 1.239749394525860154e-09, 2.293666514688308715e-09
