year, IPSL-CM6A-LR, NorESM2-LM, CanESM5, CMCC-CM2-SR5, CESM2-WACCM, TaiESM1, GFDL-ESM4, EC-Earth3-Veg, CNRM-ESM2-1, MPI-ESM1-2-LR, MIROC-ES2L, INM-CM5-0, UKESM1-0-LL, NorESM2-MM, INM-CM4-8, ACCESS-ESM1-5
2.064000000000000000e+03, 1.430694198307090517e+02, 1.731209061867599246e+02, 1.062731729391970958e+02, 1.289156170224134428e+02, 1.887495753595581505e+02, 1.393780376155978331e+02, 6.318973836744304862e+01, 1.340118613505825067e+02, 1.337544651100751878e+02, 1.598456552214508690e+02, 1.437332864132542340e+02, 1.672491000141843926e+02, 1.888690703843476797e+02, 1.746017600251475699e+02, 1.656346096186913996e+02, 1.816595051608172753e+02
2.065000000000000000e+03, 1.435991878566282480e+02, 1.741068675196880520e+02, 1.059991752046268374e+02, 1.301199978841318625e+02, 1.892843632211965712e+02, 1.387539330932751227e+02, 6.160078687833903643e+01, 1.342397318829607684e+02, 1.336089081488910324e+02, 1.599634844187388296e+02, 1.443870298469387023e+02, 1.675972675012351942e+02, 1.881700649680622917e+02, 1.750860452691616160e+02, 1.658923926183110495e+02, 1.825436299629523091e+02
2.066000000000000000e+03, 1.432633448794044853e+02, 1.747478428209788888e+02, 1.070690800249580974e+02, 1.303585645054611177e+02, 1.900083472672497464e+02, 1.397172959583921852e+02, 6.242398742511853982e+01, 1.343127831849313623e+02, 1.340642541602920232e+02, 1.598296145942823898e+02, 1.451983162938325052e+02, 1.681997024932909994e+02, 1.880096506764761273e+02, 1.754352542414457048e+02, 1.663975677677327383e+02, 1.830759390860694964e+02
2.067000000000000000e+03, 1.433781897617909351e+02, 1.750276942504825683e+02, 1.071714466375678683e+02, 1.298822740501677515e+02, 1.904033838357833588e+02, 1.388299823178758743e+02, 6.340964027361871302e+01, 1.344076682812561785e+02, 1.342933267081909889e+02, 1.598462225986467899e+02, 1.454701285842637049e+02, 1.682058026838621743e+02, 1.878906938427703608e+02, 1.755398771670547831e+02, 1.671282475260777858e+02, 1.819470526979648071e+02
2.068000000000000000e+03, 1.436643100351676878e+02, 1.754865783988562100e+02, 1.065511153093688108e+02, 1.298555524324406463e+02, 1.918215933755232356e+02, 1.378040324198959752e+02, 6.340373247456975037e+01, 1.334935925711287723e+02, 1.346820924001329161e+02, 1.598981513484341122e+02, 1.457610634656531090e+02, 1.682134467508968214e+02, 1.879341464477809325e+02, 1.755553749765217901e+02, 1.675202036329594932e+02, 1.817303565971772343e+02
2.069000000000000000e+03, 1.438824756797199313e+02, 1.756575051868447019e+02, 1.079911896485006366e+02, 1.299100736236360376e+02, 1.926269231359465834e+02, 1.377034699243664022e+02, 6.240240939029224876e+01, 1.326909302670519537e+02, 1.351258205222223978e+02, 1.601923969210638177e+02, 1.463438343637624257e+02, 1.688357468744836467e+02, 1.875421919922092400e+02, 1.759747052908188891e+02, 1.678276546875189865e+02, 1.812730397760940662e+02
2.070000000000000000e+03, 1.439688983726124434e+02, 1.759825878334905553e+02, 1.086163266986231832e+02, 1.297272947013208579e+02, 1.933446360186856339e+02, 1.374469262074011624e+02, 6.241410852917109509e+01, 1.340805930705423634e+02, 1.355529760628802762e+02, 1.596992247808119885e+02, 1.468449308741184893e+02, 1.684513390810151350e+02, 1.867540887382393748e+02, 1.768507365244557548e+02, 1.686183603975959784e+02, 1.811556334509484998e+02
2.071000000000000000e+03, 1.441633070853481229e+02, 1.764733994086994926e+02, 1.091978060179991843e+02, 1.295281421584114128e+02, 1.936349523623455298e+02, 1.366022971897016021e+02, 6.323067353570238680e+01, 1.354047061508171339e+02, 1.358158898039340841e+02, 1.594883593876572547e+02, 1.471049469440010000e+02, 1.678669074093560312e+02, 1.867514281079069747e+02, 1.777715395453582516e+02, 1.695198968685512568e+02, 1.806937230490222532e+02
2.072000000000000000e+03, 1.439134702911164254e+02, 1.762933779254616127e+02, 1.104051097875989313e+02, 1.298426515447750091e+02, 1.942022729789518110e+02, 1.357670036708541659e+02, 6.290100434441193045e+01, 1.358795321056402088e+02, 1.354494870166892326e+02, 1.610274471003208134e+02, 1.475529949970015196e+02, 1.684851226955675543e+02, 1.867351732926350962e+02, 1.779306077479425312e+02, 1.696270189455342745e+02, 1.803329488156202842e+02
2.073000000000000000e+03, 1.436276013831936496e+02, 1.763586927836237805e+02, 1.107311749838830082e+02, 1.296184472737980968e+02, 1.949389447186067343e+02, 1.349273656633929477e+02, 6.232287348561630580e+01, 1.356047506157288751e+02, 1.350044382576147655e+02, 1.608182785454126247e+02, 1.484369940976771147e+02, 1.693894228384627354e+02, 1.862436480903868983e+02, 1.784029452318550568e+02, 1.691448539037214402e+02, 1.796719457773020565e+02
