year, IPSL-CM6A-LR, CNRM-ESM2-1, INM-CM5-0, MPI-ESM1-2-LR, CanESM5, UKESM1-0-LL, TaiESM1, MIROC-ES2L, GFDL-ESM4, NorESM2-LM, NorESM2-MM, CESM2-WACCM, INM-CM4-8, ACCESS-ESM1-5, EC-Earth3-Veg, CMCC-CM2-SR5
2.055000000000000000e+03, 3.750407422410683012e+01, 3.179047828900726103e+01, 4.730171325752827016e+01, 4.857421263483529117e+01, 3.785974426704428453e+01, 4.867595113203893220e+01, 3.947079286501540452e+01, 2.947923887412417088e+01, 3.341107153491572745e+01, 3.422502951155804141e+01, 3.338577319228249962e+01, 3.450598288148858472e+01, 4.749644416138158221e+01, 3.670086839040451565e+01, 3.731093740757938804e+01, 2.628747906629645925e+01
2.056000000000000000e+03, 3.682287865677774619e+01, 3.291026607683348715e+01, 4.667562185392917939e+01, 4.651159844937721743e+01, 3.939596636798213325e+01, 4.936143120423622577e+01, 3.969287485523837944e+01, 2.907738346809648178e+01, 3.173036489594429810e+01, 3.403903029652757084e+01, 3.420871951394619970e+01, 3.480833655600625320e+01, 4.879908118077848656e+01, 3.546253793840477186e+01, 3.743906150983088565e+01, 2.612182859812060087e+01
2.057000000000000000e+03, 3.825456608166737738e+01, 3.184843654804836532e+01, 4.816307875213971101e+01, 4.973338965189679328e+01, 3.777923075999108704e+01, 4.723394880780357852e+01, 3.859264580844293846e+01, 2.989975401166213231e+01, 3.115552672887834973e+01, 3.474424849885654965e+01, 3.409195351782339145e+01, 3.371045744375506814e+01, 4.834038240428068889e+01, 3.365188735303087242e+01, 3.831507763072109185e+01, 2.571110049599005976e+01
2.058000000000000000e+03, 3.661669131385638565e+01, 3.215846468913952094e+01, 4.707258566351891460e+01, 5.156018429864802499e+01, 3.800945775668296278e+01, 4.547944145305079644e+01, 3.861572885261038834e+01, 2.979626989974721241e+01, 3.109991123544892488e+01, 3.532910470118928004e+01, 3.433999848099978891e+01, 3.394438744442310707e+01, 4.768739093527820927e+01, 3.272958143449663027e+01, 3.709639838694475600e+01, 2.635925256282780538e+01
2.059000000000000000e+03, 3.600036308289558207e+01, 3.288305024265265075e+01, 4.699723486623410906e+01, 4.840849884220444466e+01, 3.786100062380109676e+01, 4.577357961544003473e+01, 3.796230261040715703e+01, 2.960428644004788268e+01, 3.112978824244896003e+01, 3.581417332813391141e+01, 3.446279606417392216e+01, 3.382705453553202091e+01, 4.753426932409875150e+01, 3.567731017097803203e+01, 3.813724937344382937e+01, 2.738724889221921188e+01
2.060000000000000000e+03, 3.704575498407908896e+01, 3.222601996631313881e+01, 4.766169263028215397e+01, 4.619231145860152310e+01, 3.672352518267480548e+01, 4.791437220620213822e+01, 3.887104179660544645e+01, 2.963168007387841030e+01, 2.882902395433816523e+01, 3.614740582758255272e+01, 3.403135726021388763e+01, 3.460183786857909638e+01, 4.724485790564928323e+01, 3.232530979265210647e+01, 3.762899470311273120e+01, 2.582041855129298114e+01
2.061000000000000000e+03, 3.780594786863427004e+01, 3.232706733099716701e+01, 4.928573365036135101e+01, 4.768815348289049894e+01, 3.780757342383771658e+01, 4.530905865479408590e+01, 3.809400071145263666e+01, 3.006972526758271513e+01, 2.787431314190821041e+01, 3.592113136197670542e+01, 3.380247262366381733e+01, 3.442207101318435036e+01, 4.786278235339261045e+01, 3.428124222052444026e+01, 3.843132468031863880e+01, 2.618264672888756550e+01
2.062000000000000000e+03, 3.719123069670075665e+01, 3.307555221186768080e+01, 4.981788345468841328e+01, 4.966903235820584683e+01, 4.043872290539319181e+01, 4.342053312414610389e+01, 3.818305448031487259e+01, 3.077006451963623590e+01, 2.872458812103736747e+01, 3.592037636957572033e+01, 3.379912535670015217e+01, 3.443024447804009469e+01, 4.802598133903305211e+01, 3.329205891152572860e+01, 3.933493676285650764e+01, 2.760267395839414917e+01
2.063000000000000000e+03, 3.698766590382899011e+01, 3.249628935867659862e+01, 4.918330536202686432e+01, 5.147143605474749961e+01, 3.910749888839568911e+01, 4.374195512425022514e+01, 3.877708815963846689e+01, 2.999029648067722320e+01, 3.155022215145859121e+01, 3.594228086306256387e+01, 3.558297533686059211e+01, 3.501424873226371659e+01, 4.607198998467028161e+01, 3.661702199745240449e+01, 3.858254395222763122e+01, 2.554260522092784669e+01
2.064000000000000000e+03, 3.723553833876802344e+01, 3.251946642703182988e+01, 4.782774426295844705e+01, 5.165859710918407899e+01, 3.902813815854604229e+01, 4.359058885086130175e+01, 3.905648521162363807e+01, 3.046986381342742689e+01, 3.001300690159723672e+01, 3.613518503184739927e+01, 3.507183248507686102e+01, 3.573903690270854128e+01, 4.750022330413310812e+01, 3.894403654100198509e+01, 3.785703717423447046e+01, 2.642621916468395327e+01
2.065000000000000000e+03, 3.794683932868488085e+01, 3.158868509493334287e+01, 4.886051092889171343e+01, 5.026991889360268573e+01, 3.879209925173871909e+01, 4.248851011274445000e+01, 3.925675807206611267e+01, 3.078951758930062965e+01, 2.905070237702075531e+01, 3.659162813002401293e+01, 3.466700790431423229e+01, 3.474163558781430083e+01, 4.776669448315205102e+01, 3.898984144384342443e+01, 3.776505420612637209e+01, 2.768313625200377714e+01
2.066000000000000000e+03, 3.747331445579905562e+01, 3.250688872954714981e+01, 4.847707117534977783e+01, 5.029065624550187152e+01, 3.991551946775398818e+01, 4.422777242330850100e+01, 4.018521045677191239e+01, 3.154198027827687056e+01, 3.307722104099007510e+01, 3.668597231822739246e+01, 3.484254067264782151e+01, 3.428400079806298351e+01, 4.876387910044327612e+01, 3.783758669419979270e+01, 3.783399174831613720e+01, 2.721303873879958957e+01
2.067000000000000000e+03, 3.707586826899867560e+01, 3.273285942518597835e+01, 4.784907444841777391e+01, 5.038466432527030037e+01, 3.928717705924709946e+01, 4.701376199708256820e+01, 3.974231333848003089e+01, 3.070034848524461069e+01, 3.228688147647400797e+01, 3.719858673464106857e+01, 3.503647341552260741e+01, 3.530571519197923180e+01, 4.934100214619039093e+01, 3.449221274151501859e+01, 3.751897070495041930e+01, 2.705963417920285607e+01
