year, TaiESM1, IPSL-CM6A-LR, GFDL-ESM4, MPI-ESM1-2-LR, CESM2-WACCM, UKESM1-0-LL, EC-Earth3-Veg, NorESM2-MM, NorESM2-LM
2.077000000000000000e+03, 2.160998790273428398e-11, 5.951548012342340591e-10, 4.074919529446399968e-10, 1.730245270658952206e-10, 1.563083552038828196e-10, 2.536006405921720248e-10, 1.670973127249893458e-09, 3.789448942226687297e-11, 2.625455060178281957e-11
2.078000000000000000e+03, 2.176114792541230474e-11, 7.804532082291986881e-10, 3.050656872247563053e-10, 2.548974308409125825e-10, 1.894602846089743414e-10, 2.481562448695985659e-10, 1.358428284517393200e-09, 3.767758441993459475e-11, 2.609842156004887510e-11
2.079000000000000000e+03, 2.185546828208881000e-11, 6.730191372717752363e-10, 3.584854807372865488e-10, 2.604403168884226700e-10, 2.486329068397107016e-10, 1.906569849062055527e-10, 1.419186157993136784e-09, 3.735598070556309711e-11, 2.596115957781116178e-11
2.080000000000000000e+03, 2.201975907721378022e-11, 7.934110354384529900e-10, 3.547484652108382331e-10, 2.114656853171797738e-10, 3.128119662546785072e-10, 2.581199356281232211e-10, 1.184459385771179361e-09, 3.718694975544763203e-11, 2.597533336833699118e-11
2.081000000000000000e+03, 2.214674939658393791e-11, 9.112184930138274718e-10, 3.298216301396038169e-10, 1.641987151850042177e-10, 2.396430237482719823e-10, 1.756120746074591823e-10, 1.525512420149229239e-09, 3.702436971520099221e-11, 2.595835841989774477e-11
2.082000000000000000e+03, 2.222611533473462611e-11, 8.124225485078845226e-10, 2.511267858336872557e-10, 1.298414155490635271e-10, 2.469207245325883443e-10, 2.166109926448357483e-10, 1.340528255504832158e-09, 3.676879002114585664e-11, 2.592692811683899185e-11
2.083000000000000000e+03, 2.232414181110700328e-11, 7.198042905001227234e-10, 2.662960123572926514e-10, 1.422976195898877928e-10, 2.033794429953187213e-10, 1.929266634727574683e-10, 1.447093559078149964e-09, 3.650756452132015838e-11, 2.577833531298375557e-11
2.084000000000000000e+03, 2.254883311816927492e-11, 6.857029044441024051e-10, 3.854445697095545568e-10, 1.583279126476679641e-10, 2.115533421701389667e-10, 1.723816539207960235e-10, 1.154237155947593894e-09, 3.625319555974771173e-11, 2.578080127384884095e-11
2.085000000000000000e+03, 2.276019959889723866e-11, 6.188014602740607190e-10, 2.679758855686371027e-10, 2.121619229965332078e-10, 2.068164979574026517e-10, 1.549813986663700937e-10, 1.437242796194480686e-09, 3.592881833408904868e-11, 2.574529611556959450e-11
2.086000000000000000e+03, 2.164879144608474041e-11, 5.379358242864041257e-10, 2.615977678636730976e-10, 1.943031178562890208e-10, 1.975957239835483421e-10, 2.842983234848245007e-10, 1.457894459460575291e-09, 3.570296670337522022e-11, 2.565281365544748245e-11
2.087000000000000000e+03, 2.198159616893463936e-11, 7.749844894971103664e-10, 2.190118447871075955e-10, 1.684653400110233828e-10, 1.867821333396928956e-10, 2.370294609992871515e-10, 1.512674632772603593e-09, 3.474198445696274868e-11, 2.433443917652913322e-11
2.088000000000000000e+03, 2.231987871019249494e-11, 8.616917470618761660e-10, 2.451422797268544836e-10, 1.503327529407899130e-10, 1.716096346556976168e-10, 1.750236953933075798e-10, 1.328998588981595896e-09, 3.452033571117012163e-11, 2.430798524194710895e-11
2.089000000000000000e+03, 2.256706172682972872e-11, 7.250278763140516480e-10, 2.859024066657939227e-10, 1.863007339029955629e-10, 1.835707112770188282e-10, 1.838386761356608194e-10, 1.257140003939788531e-09, 3.436077957546892082e-11, 2.430079290208653558e-11
2.090000000000000000e+03, 2.281628607006923217e-11, 6.028959017586693129e-10, 2.892477852666075659e-10, 1.985045146537002048e-10, 2.573810881307511489e-10, 1.481397193373073396e-10, 1.646500889812069203e-09, 3.418514671276199463e-11, 2.430486636365379774e-11
2.091000000000000000e+03, 2.283893922381665308e-11, 6.760306973812919785e-10, 2.470436730094289298e-10, 1.711614441374765002e-10, 2.105142469022111033e-10, 2.220895145214009394e-10, 1.441442413800177047e-09, 3.404152909358701102e-11, 2.419249673346413722e-11
2.092000000000000000e+03, 2.276392940012997154e-11, 8.519191035575735474e-10, 3.131463519030378498e-10, 1.960861482773119297e-10, 2.945844933267231147e-10, 2.761922189134119998e-10, 1.410248824641585332e-09, 3.376872147660978028e-11, 2.417306271269582284e-11
2.093000000000000000e+03, 2.285567574480370529e-11, 6.346545404992014680e-10, 3.848475219921516315e-10, 1.946831582036422192e-10, 2.587652956803990220e-10, 2.583177650981831481e-10, 1.269781557029057016e-09, 3.347056922052182832e-11, 2.406668121698405774e-11
2.094000000000000000e+03, 2.289479554077454066e-11, 5.271667139165819923e-10, 3.261336164308273116e-10, 2.513739527229545504e-10, 2.129458504409179697e-10, 2.486205894337156243e-10, 1.401553244923919923e-09, 3.323485691608652412e-11, 2.403915841469052797e-11
2.095000000000000000e+03, 2.306964404812545419e-11, 7.682494081771030695e-10, 4.104366153033986276e-10, 2.149810610239772281e-10, 1.792446773064163382e-10, 3.198539604779994460e-10, 1.295186853247088789e-09, 3.289710687539448960e-11, 2.385700714089182533e-11
2.096000000000000000e+03, 2.319926447261562361e-11, 8.708207318605052245e-10, 3.648732349416478256e-10, 2.099613692974959724e-10, 2.274311359127390821e-10, 2.800483339721251115e-10, 1.551003436271323682e-09, 3.267841543248463007e-11, 2.376110681035555778e-11
2.097000000000000000e+03, 2.337498906968651589e-11, 7.589624916926783620e-10, 2.614805806426535333e-10, 2.275077089571051668e-10, 2.403664037840509411e-10, 2.772827664274990946e-10, 1.287151359800019477e-09, 3.235915177929122977e-11, 2.370031518836829668e-11
2.098000000000000000e+03, 2.350201752701089893e-11, 6.147506869815346525e-10, 3.915173056896063087e-10, 2.493583897248251021e-10, 1.752959215612355533e-10, 1.947153919689182522e-10, 1.569644535505530612e-09, 3.205541235836053414e-11, 2.370858103590779378e-11
2.099000000000000000e+03, 1.743530472015283120e-11, 7.189017670739392573e-10, 2.725812082323003658e-10, 2.352451370886689207e-10, 2.812439952904508902e-10, 1.922555303224200182e-10, 1.472797992999706655e-09, 3.181380968710947255e-11, 2.355679087278362805e-11
2.100000000000000000e+03, 0.000000000000000000e+00, 6.039291146649986650e-10, 2.912673522754326253e-10, 2.010156038855852983e-10, 2.897997845110817115e-10, 2.775494640396372426e-10, 1.546325291840800583e-09, 3.410127171961657967e-11, 2.200360629068684383e-11
