year, CMCC-ESM2, TaiESM1, CESM2-WACCM, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR, EC-Earth3-Veg, NorESM2-LM, MPI-ESM1-2-LR, NorESM2-MM
2.049000000000000000e+03, 3.777787472525179689e-11, 3.843839621425642888e-11, 7.499732796605365305e-11, 6.381596888857705713e-13, 1.177645558744308768e-11, 1.681998776312986777e-11, 2.604684268078922753e-11, 2.448024371309344727e-10, 2.114254984520165868e-11, 2.944770364310445107e-10
2.050000000000000000e+03, 4.286932255550968971e-11, 4.844483452225325738e-11, 7.197171728969006352e-11, 6.854918335271722737e-13, 1.477303480419789481e-11, 1.680422609054795855e-11, 2.651272157901891097e-11, 1.759453282887356533e-10, 2.333163726375549837e-11, 2.722989471641076435e-10
2.051000000000000000e+03, 4.343037520599465770e-11, 4.959155088049912050e-11, 6.307258348381762357e-11, 8.624551787648018742e-13, 2.088109999535191861e-11, 1.827307755767211929e-11, 3.701784447771176530e-11, 1.833178633410320722e-10, 2.478107138981199641e-11, 2.908298079560503023e-10
2.052000000000000000e+03, 4.384956320735354097e-11, 5.047517611166272357e-11, 5.975847106667157011e-11, 1.272590500865494280e-12, 3.015447181391861625e-11, 1.815456595665294656e-11, 3.775960227950868816e-11, 2.259450644762248613e-10, 2.522263318391117165e-11, 3.020306751646042873e-10
2.053000000000000000e+03, 4.394079153596702823e-11, 5.124338407654201171e-11, 5.752833372809166592e-11, 1.434729902117383277e-12, 3.072018592504156083e-11, 1.817883258398536034e-11, 3.701765836137736432e-11, 2.146968490543403922e-10, 2.560561044352701145e-11, 2.612322667285231833e-10
2.054000000000000000e+03, 4.383311570565755761e-11, 5.178128335413538646e-11, 5.844745548561747189e-11, 1.773157958769517345e-12, 3.236567074419008107e-11, 1.827845022587963233e-11, 3.877324318482518781e-11, 1.963079849821404842e-10, 2.589280528787553668e-11, 2.636979766887550383e-10
2.055000000000000000e+03, 4.692945747834987226e-11, 6.171040281359180457e-11, 5.877021020382490210e-11, 2.318214998069970872e-12, 3.262640311768888518e-11, 1.835971824195268198e-11, 3.936156737999525119e-11, 1.602958476343047815e-10, 2.475051161405795373e-11, 3.024920969813833400e-10
2.056000000000000000e+03, 4.818541869646797002e-11, 6.245655430487438282e-11, 5.219026773568049934e-11, 4.587934861419784717e-12, 6.098322359954608988e-11, 1.697820787934833600e-11, 4.483946017988938681e-11, 2.206012353778868274e-10, 2.392929021328312379e-11, 3.023566996909488941e-10
2.057000000000000000e+03, 4.911393128909024711e-11, 6.377506745982064299e-11, 5.122902873987800123e-11, 6.820790368716083647e-12, 6.345099104211555979e-11, 1.692009840397140404e-11, 4.588241659471671983e-11, 1.967900486352812261e-10, 2.392417749534377864e-11, 3.241856112756027509e-10
2.058000000000000000e+03, 4.950084706150431787e-11, 6.383939917546640295e-11, 5.132720032370686854e-11, 7.467789728673637411e-12, 6.441099565597347026e-11, 1.681962155503868292e-11, 4.161210767709786085e-11, 1.948222459303442805e-10, 2.372883100305771731e-11, 3.331685123004786489e-10
2.059000000000000000e+03, 4.854133952833429211e-11, 6.376347210792100957e-11, 5.016728006874475753e-11, 8.682269635262613478e-12, 6.625344534799168698e-11, 1.665984031010042659e-11, 4.551792241366419427e-11, 1.820850756046538237e-10, 2.374160249818219100e-11, 3.836042159221143823e-10
2.060000000000000000e+03, 4.938821696787440047e-11, 5.931350910371428617e-11, 4.868945674285129205e-11, 1.022458180643847326e-11, 6.711345570888491762e-11, 1.667511431680677976e-11, 4.248495945991074499e-11, 2.380148960488298380e-10, 2.599226312514724375e-11, 3.617374029668047408e-10
2.061000000000000000e+03, 5.011216053111083020e-11, 5.976983608291993191e-11, 4.588182758338475506e-11, 8.389433620388614902e-12, 6.067402097419581338e-11, 1.742373432388150256e-11, 4.057987238759019157e-11, 2.652575104570925044e-10, 2.736155151788177109e-11, 3.234679636219328193e-10
2.062000000000000000e+03, 5.136960584109400129e-11, 5.908854667709970265e-11, 4.414738824330345632e-11, 7.477208860386240468e-12, 6.194489029930006665e-11, 1.739538932610110611e-11, 4.289919900634937844e-11, 2.662966782179262729e-10, 2.768723117874619641e-11, 3.162909432400126414e-10
2.063000000000000000e+03, 5.033079852940241388e-11, 5.805558868900973655e-11, 4.465062962133258463e-11, 7.178232767630327013e-12, 6.255471985198389149e-11, 1.725284185642178365e-11, 4.352862496643070209e-11, 2.666190614516607770e-10, 2.812075458661620632e-11, 3.832472213462376546e-10
2.064000000000000000e+03, 5.009831547148934001e-11, 5.783869690882326876e-11, 4.544580603392495602e-11, 7.253573191637931414e-12, 6.324442726296893283e-11, 1.722033226759080925e-11, 4.183710552417725567e-11, 2.825999297702584789e-10, 2.863147472550517438e-11, 4.256881258927145417e-10
2.065000000000000000e+03, 5.574499892140267779e-11, 6.114094253018451164e-11, 4.571871172229261540e-11, 9.040537311390957423e-12, 6.390919500703132873e-11, 1.711597614134952947e-11, 4.187835765573766920e-11, 3.114649441255562852e-10, 3.097075626640013464e-11, 3.315395220621964810e-10
