year, IPSL-CM6A-LR, NorESM2-LM, CMCC-CM2-SR5, CNRM-ESM2-1, CanESM5, EC-Earth3-Veg, MPI-ESM1-2-LR, ACCESS-ESM1-5, MIROC-ES2L, INM-CM5-0, GFDL-ESM4, NorESM2-MM, INM-CM4-8, UKESM1-0-LL, CESM2-WACCM, TaiESM1
2.057000000000000000e+03, 7.512191772371859422e+00, 5.219555530309561320e+00, 4.713849390105599113e+00, 3.766381723306666540e+00, 8.024353356492792244e+00, 6.873495031417173884e+00, 5.471821749300705306e+00, 2.838379880125251553e+00, 3.429892512575870800e+00, 7.628949385819017159e+00, 2.906096654550280878e+00, 6.594140841709102752e+00, 8.924494157194756028e+00, 2.311598542994308669e+00, 6.432560423062263055e+00, 4.087799756711842925e+00
2.058000000000000000e+03, 5.947777490294468450e+00, 4.414033029857297841e+00, 5.100361181852695935e+00, 4.339953737985877247e+00, 8.217413032117500293e+00, 7.571698953486724726e+00, 5.577205843407209152e+00, 3.000695029482231657e+00, 3.264370508374028201e+00, 6.939274532336287216e+00, 3.883014254567886958e+00, 7.259512376360220287e+00, 9.335578562672331771e+00, 1.390081166116581723e+00, 5.629650302143220486e+00, 4.307696289748360385e+00
2.059000000000000000e+03, 7.201281166208790552e+00, 6.011931603656543999e+00, 4.831803729554001947e+00, 3.754743382563747289e+00, 8.006577130790736518e+00, 7.210305820704297375e+00, 4.991970378838280986e+00, 3.056080088872632938e+00, 3.153186147348283619e+00, 7.937038488368622247e+00, 4.312818246133298672e+00, 7.551440936671785842e+00, 8.095994080532895154e+00, 2.911006825479475868e+00, 5.397981988073174975e+00, 4.207209386143066610e+00
2.060000000000000000e+03, 6.569893713353048170e+00, 6.182508436220439663e+00, 3.561125311000114202e+00, 3.476313300353783386e+00, 7.862792032565176115e+00, 9.184563533442643646e+00, 6.415272769050251789e+00, 2.813361898123459159e+00, 3.463193169201398192e+00, 7.819957155887010458e+00, 2.590608717712700404e+00, 6.598396269764250199e+00, 8.919896088338905571e+00, 4.912113356797715547e+00, 5.967797933176305136e+00, 5.602699104048055823e+00
2.061000000000000000e+03, 7.062898834586255781e+00, 6.095436161427177701e+00, 3.844846450595025722e+00, 4.620047007529418437e+00, 7.175546290443724828e+00, 8.146074275406872900e+00, 5.548656195533714808e+00, 3.099502741025539798e+00, 3.595902341219275211e+00, 8.224960644197306436e+00, 2.872369861173824646e+00, 6.511216004580373529e+00, 9.106278589690871783e+00, 3.525230432127667957e+00, 4.956780335365975176e+00, 5.968366217480013169e+00
2.062000000000000000e+03, 7.186682613971319356e+00, 5.886867164365421345e+00, 3.855137945965697366e+00, 4.041207011264342341e+00, 7.452312759877009363e+00, 9.242999891043744753e+00, 4.452484736140567279e+00, 2.533006670408838090e+00, 3.360946885243864646e+00, 8.341051901557392512e+00, 3.445198027434588361e+00, 7.472368155554413249e+00, 8.168453529244832367e+00, 3.529323048900070869e+00, 4.658749540898062591e+00, 5.865494296402069985e+00
2.063000000000000000e+03, 6.767799366085669455e+00, 6.339843885033165094e+00, 5.419411826784216402e+00, 3.334780015849075685e+00, 7.189613172797908902e+00, 7.080379119678985589e+00, 4.874826122364548375e+00, 2.829348052100515876e+00, 3.002454879627091344e+00, 7.846754008296382032e+00, 4.111572016110330630e+00, 8.016733468434580345e+00, 8.689925895546570800e+00, 3.380580430097375633e+00, 6.205427274966530682e+00, 5.084573768683034345e+00
2.064000000000000000e+03, 7.319832337255252064e+00, 6.571694430196336256e+00, 5.566170971071995766e+00, 3.511402707892659958e+00, 6.716729854797129917e+00, 8.611036844363741949e+00, 5.173759414806958112e+00, 3.634660527357831850e+00, 3.540315898805529216e+00, 8.618968015988402342e+00, 3.468980610413049614e+00, 7.274686711457118982e+00, 8.183684930298852578e+00, 2.123322302554406793e+00, 6.973497938013457187e+00, 6.344168782720088551e+00
2.065000000000000000e+03, 6.886232755584326348e+00, 6.241332249977540769e+00, 5.646384723999300803e+00, 3.549289045174028878e+00, 7.213718617795127130e+00, 7.685540351487428090e+00, 4.500089187794481305e+00, 3.405325402567542348e+00, 3.834993343256176246e+00, 8.098312309102931650e+00, 3.005413938300966148e+00, 6.589515890995893521e+00, 8.967524763907107399e+00, 2.191938699524610623e+00, 6.705329097255997794e+00, 6.827095615480491375e+00
2.066000000000000000e+03, 6.286465326189618175e+00, 5.599389644773397734e+00, 4.525609327020683637e+00, 4.000083924890395437e+00, 7.439250968895114724e+00, 8.942992125102961154e+00, 5.511689345364615633e+00, 3.037593502577665028e+00, 3.486914593700138010e+00, 7.807992615671316194e+00, 5.115789024721823175e+00, 6.273745540652105213e+00, 9.483082702136606201e+00, 3.238666579609183582e+00, 6.044695496953282898e+00, 6.047295543701626030e+00
