year, UKESM1-0-LL, IPSL-CM6A-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, MPI-ESM1-2-LR, CNRM-ESM2-1, EC-Earth3-Veg, MIROC-ES2L, CESM2-WACCM
2.090000000000000000e+03, 5.507458216782374835e-03, 3.208627508909768500e-02, 1.114726812323089122e-01, 2.100673503733025138e-01, 1.665747375479092462e-01, 1.286368209963123510e-02, 7.578911936593465785e-03, 1.703324067971629385e-01, 1.725227605202991343e-01
2.091000000000000000e+03, 5.067070362888906332e-03, 3.159307911542239694e-02, 1.109429906135835364e-01, 2.084827624795467516e-01, 1.591352301442487960e-01, 1.318809408629091802e-02, 7.718376261874317253e-03, 1.702742625767743323e-01, 1.662377421455179527e-01
2.092000000000000000e+03, 4.688620511661674949e-03, 3.114804717741273890e-02, 1.103936594672529914e-01, 2.069241041551243276e-01, 1.642602124635181293e-01, 1.348046815575696701e-02, 7.858928248612227427e-03, 1.709088367230887084e-01, 1.748508587111509693e-01
2.093000000000000000e+03, 4.556926453613468174e-03, 3.066051100067808052e-02, 1.098221013885483238e-01, 2.054020883183198809e-01, 1.631354114954646495e-01, 1.372510530326653128e-02, 7.963563068863241390e-03, 1.719859375122402556e-01, 1.701022138591303801e-01
2.094000000000000000e+03, 4.602201101837124879e-03, 3.021877945234912113e-02, 1.092492767081268412e-01, 2.039225035233679373e-01, 1.758782351820883938e-01, 1.391124209072707417e-02, 8.034964258038438181e-03, 1.741769355183285517e-01, 1.643755137009406675e-01
2.095000000000000000e+03, 4.494565549155768447e-03, 2.972391125546045010e-02, 1.083897558467584038e-01, 2.024805296360669415e-01, 1.661454185152177743e-01, 1.397918360209247576e-02, 8.115509797803161993e-03, 1.756177662303118059e-01, 1.603713402998854232e-01
2.096000000000000000e+03, 4.085469503030859581e-03, 2.916342835536704647e-02, 1.072983433501655537e-01, 2.002523718243787720e-01, 1.638598002716669111e-01, 1.406427105479449158e-02, 8.247754094977714431e-03, 1.769530841943027510e-01, 1.645550099360019447e-01
2.097000000000000000e+03, 3.764015630867048601e-03, 2.847223872242032883e-02, 1.062596624812043172e-01, 1.981853269440326248e-01, 1.671034889529679768e-01, 1.411568235791533892e-02, 8.386536471477161123e-03, 1.762121646445993506e-01, 1.648890029361141374e-01
2.098000000000000000e+03, 3.508494808817690363e-03, 2.776107949656926241e-02, 1.052656022296527411e-01, 1.961340010690064695e-01, 1.714856817081630291e-01, 1.408201558763766403e-02, 8.518162954473575826e-03, 1.757840712773587610e-01, 1.565958519094581280e-01
2.099000000000000000e+03, 3.278274001087960743e-03, 2.711806186551809009e-02, 1.043268448652349967e-01, 1.941526764071674349e-01, 1.669442141908379362e-01, 1.397383422510717170e-02, 8.718792291632415647e-03, 1.772976260433128115e-01, 1.680717299672657428e-01
2.100000000000000000e+03, 3.079696959772284907e-03, 2.634100590306286127e-02, 1.007153593266808811e-01, 1.922326618858385960e-01, 1.575232541129147901e-01, 1.389215495649818652e-02, 8.971860636697600797e-03, 1.807951451126795228e-01, 1.692440018004196245e-01
