year, UKESM1-0-LL, IPSL-CM6A-LR, MIROC-ES2L, CNRM-ESM2-1, ACCESS-ESM1-5, MPI-ESM1-2-LR, CMCC-ESM2, CESM2-WACCM
1.939000000000000000e+03, 5.966825687506927654e-14, 3.987984662913191970e-10, 2.078921524514071884e-10, 4.005543218781466180e-11, 1.483520315392500981e-11, 1.488469268141376588e-10, 2.294324104576560316e-12, 3.565282820072242456e-11
1.940000000000000000e+03, 9.250463067452333909e-14, 3.378246507261440280e-10, 1.912668713199066079e-10, 4.319644488094289895e-11, 1.531692945959204932e-11, 1.638420010057700611e-10, 2.205421224599597335e-12, 3.906061326177962926e-11
1.941000000000000000e+03, 1.619743399195730096e-13, 3.644807474884238009e-10, 1.913483242974053500e-10, 4.417741741512796847e-11, 9.682177129015502850e-12, 1.595697123235195527e-10, 2.033765619804752036e-12, 3.606917548439798124e-11
1.942000000000000000e+03, 1.704814851490350107e-13, 3.714093548160259160e-10, 1.899084518823338986e-10, 4.213872082306732165e-11, 7.321906884202691339e-12, 1.556162858145435892e-10, 1.890147722412693224e-12, 4.456433494354302393e-11
1.943000000000000000e+03, 1.590587484248866723e-13, 3.668836390916275374e-10, 1.848991898239049447e-10, 4.018510067128144397e-11, 6.192767766722322027e-12, 1.603218565248505776e-10, 1.774013765597934355e-12, 3.614123281776012178e-11
1.944000000000000000e+03, 2.079566981600252240e-13, 3.724371732617793463e-10, 1.827652108056016871e-10, 3.827981531463594884e-11, 5.540414828026950903e-12, 1.550906388279299066e-10, 1.678069999676327758e-12, 3.915349297288248822e-11
1.945000000000000000e+03, 2.369574011368047522e-13, 3.914607746479048332e-10, 1.831374189489100587e-10, 3.643970314124960902e-11, 5.085202177771839242e-12, 1.521811726173406749e-10, 1.597557365124588147e-12, 3.423235747449914124e-11
1.946000000000000000e+03, 1.495939484201250460e-13, 3.496506122304152376e-10, 1.834226104975814430e-10, 3.444188770838578929e-11, 4.722209603460792922e-12, 1.515206431878721819e-10, 1.531923441786341654e-12, 3.228132072934675943e-11
1.947000000000000000e+03, 1.004896211192477311e-13, 3.789415467882321279e-10, 1.832944641629256677e-10, 3.267208782958886961e-11, 4.411026636132955714e-12, 1.560332523566551219e-10, 1.475679768368353382e-12, 3.226199410387966234e-11
1.948000000000000000e+03, 8.212269125984806486e-14, 3.621669713191964269e-10, 1.803431706238107389e-10, 3.076472558916710679e-11, 4.134829041311778229e-12, 1.505379076110885873e-10, 1.418357609155713693e-12, 3.404474036693487917e-11
1.949000000000000000e+03, 7.951671324438190470e-14, 3.619763577296970258e-10, 1.789370486739057318e-10, 2.843516176478213556e-11, 3.886185691308275278e-12, 1.561700479607749053e-10, 1.358042583146248559e-12, 3.863226795758673151e-11
1.950000000000000000e+03, 1.100175299272284374e-13, 3.211781013920649780e-10, 2.092667383054807558e-10, 2.567083121138094083e-11, 3.660899147464948902e-12, 1.558208650328721185e-10, 1.383907889158197941e-12, 4.042039834711259679e-11
1.951000000000000000e+03, 1.532146840787079218e-13, 3.591873234768397041e-10, 2.181326916817111919e-10, 2.575949838569033251e-11, 4.352739845552149482e-12, 1.674790002364078482e-10, 1.477850608665759123e-12, 3.844211620953467707e-11
1.952000000000000000e+03, 2.049133106103051849e-13, 3.573686099489905002e-10, 2.243198120441344562e-10, 3.232592416698905631e-11, 4.581251456107354486e-12, 1.919310479615553470e-10, 1.550952361363698722e-12, 5.196558946977642250e-11
1.953000000000000000e+03, 2.792188462784460023e-13, 3.731660650481002544e-10, 2.307582631614948383e-10, 3.918472545982757108e-11, 4.631306416780533990e-12, 1.804140878283051010e-10, 1.609008270052260607e-12, 4.532963985209505847e-11
1.954000000000000000e+03, 4.110596576965179304e-13, 3.799570264122360836e-10, 2.364802201328366161e-10, 4.639938523419754960e-11, 4.621684381557851398e-12, 1.567733122262919465e-10, 1.651312602692659944e-12, 4.857854483613877321e-11
1.955000000000000000e+03, 4.826807983392222449e-13, 3.892916474201708203e-10, 2.396057998473794052e-10, 5.370521082802165685e-11, 4.603212778770558751e-12, 1.465501427532286416e-10, 1.680285986887988945e-12, 4.181030490499094334e-11
1.956000000000000000e+03, 7.741426481640611054e-13, 3.971768730839627256e-10, 2.456219185590972790e-10, 6.127046055429449691e-11, 4.622275608128337399e-12, 1.448761854663147303e-10, 1.697235613999122323e-12, 4.045354917648702937e-11
1.957000000000000000e+03, 1.130503911822484871e-12, 4.106185066785172086e-10, 2.525500594407277610e-10, 6.871035042593210874e-11, 4.631468170267243727e-12, 1.533053016070335559e-10, 1.706363738760808590e-12, 3.937239489827588259e-11
1.958000000000000000e+03, 1.358923819869182046e-12, 4.369711865533062209e-10, 2.551574330878713307e-10, 7.577331539033162367e-11, 4.638140787682289438e-12, 1.640297757906403813e-10, 1.708444282414098573e-12, 3.863169436337237368e-11
1.959000000000000000e+03, 1.512901603636255742e-12, 4.143253024228623235e-10, 2.575729240871031817e-10, 8.304536385096791528e-11, 4.644601482720370556e-12, 1.771980311110484804e-10, 1.705436641615143100e-12, 3.648103129405168974e-11
1.960000000000000000e+03, 1.086725352038524921e-12, 4.561242733992400689e-10, 2.245561517432332114e-10, 8.988053877161252326e-11, 4.651946398612617503e-12, 1.935318322879817934e-10, 1.603856747296305577e-12, 3.260158924303550820e-11
1.961000000000000000e+03, 5.628092388223047205e-13, 4.906386542208413359e-10, 2.215111092050175225e-10, 9.043162856767849398e-11, 4.319013340331099660e-12, 1.786768145060175354e-10, 1.432363576026619201e-12, 3.722850636148053906e-11
1.962000000000000000e+03, 3.731677255175297242e-13, 5.188574349849667723e-10, 2.223578772772954764e-10, 8.313548787919693065e-11, 4.173720904252443669e-12, 1.793261431609405437e-10, 1.293668239306338368e-12, 4.542514330562254972e-11
1.963000000000000000e+03, 3.099667873593779876e-13, 4.646205867143343679e-10, 2.234471059970436415e-10, 7.547848165080386592e-11, 4.097446339802137733e-12, 1.728477794473940698e-10, 1.181596337956734399e-12, 5.080318279745478830e-11
1.964000000000000000e+03, 2.484713158869177771e-13, 3.918916153199045395e-10, 2.258853526259114008e-10, 6.771465290802914384e-11, 4.064405386457004218e-12, 1.653844309336328249e-10, 1.091553080244667676e-12, 4.953538013897402635e-11
1.965000000000000000e+03, 2.053942575832894644e-13, 3.946146540377672117e-10, 2.272587472989453799e-10, 5.970353449605523334e-11, 4.017559410532182319e-12, 1.665286980147812558e-10, 1.018972998837575933e-12, 6.241587472129571577e-11
1.966000000000000000e+03, 1.919609739751305461e-13, 3.999161020417439143e-10, 2.293313176372933435e-10, 5.176253345873043692e-11, 3.985853899151842457e-12, 1.615477654571092052e-10, 9.609306280159283653e-13, 5.472854056281471485e-11
1.967000000000000000e+03, 1.729502833533381109e-13, 4.301641062889512705e-10, 2.299174416769345331e-10, 4.424934669727494069e-11, 3.874047665786728150e-12, 1.686202696480938404e-10, 9.142326951534409270e-13, 4.738240427712536442e-11
1.968000000000000000e+03, 1.559659492822708976e-13, 4.835582131800889592e-10, 2.318031521742041342e-10, 3.659715237416758163e-11, 3.951439822071189199e-12, 1.852934217057146371e-10, 8.805580073929958847e-13, 4.783228596636235067e-11
1.969000000000000000e+03, 1.491143401657916364e-13, 4.952694036899293613e-10, 2.348212351335902816e-10, 2.935717252435875211e-11, 3.975204196480669880e-12, 1.915132027943751139e-10, 8.578390473823360251e-13, 4.977162071527360720e-11
1.970000000000000000e+03, 1.352837300293939192e-13, 4.526341371966537852e-10, 2.311752129134288468e-10, 2.238809206084380968e-11, 3.981342699743389046e-12, 1.830381961096500937e-10, 8.326575579517759925e-13, 4.601816231940750095e-11
