year, GFDL-ESM4, MPI-ESM1-2-LR, CNRM-ESM2-1, MIROC-ES2L, TaiESM1, ACCESS-ESM1-5, INM-CM5-0, CanESM5, NorESM2-MM, EC-Earth3-Veg, UKESM1-0-LL, NorESM2-LM, IPSL-CM6A-LR, CMCC-CM2-SR5, INM-CM4-8, CESM2-WACCM
1.891000000000000000e+03, 2.871241890984218799e+02, 2.882705755285592772e+02, 2.882212510455893266e+02, 2.906548945507256008e+02, 2.902182017397811364e+02, 2.875024722767300318e+02, 2.870714041343165377e+02, 2.860926858384835896e+02, 2.880389756208548988e+02, 2.861989757484273014e+02, 2.879478644784792891e+02, 2.893524803158530858e+02, 2.842041008166106053e+02, 2.880794858690260298e+02, 2.874683158892846109e+02, 2.891051707939362245e+02
1.892000000000000000e+03, 2.879126122488273154e+02, 2.883940664277857877e+02, 2.872743122894764269e+02, 2.909091867308846417e+02, 2.891837810441757028e+02, 2.874757016075977276e+02, 2.876490697634883986e+02, 2.864781395563532556e+02, 2.884333387667297757e+02, 2.864519517710160130e+02, 2.880281014090057852e+02, 2.890762574618655663e+02, 2.860672550310237625e+02, 2.883572509030747142e+02, 2.875400963461150354e+02, 2.889632554050145359e+02
1.893000000000000000e+03, 2.872442036229920745e+02, 2.888419489611296171e+02, 2.879412544649164261e+02, 2.911571226021494567e+02, 2.890682394377082005e+02, 2.871478100177819783e+02, 2.882719609890071979e+02, 2.861205450383977791e+02, 2.879498195033588104e+02, 2.864189973039190136e+02, 2.879065939253880515e+02, 2.893103110569628029e+02, 2.854506038730101523e+02, 2.887431312310172871e+02, 2.878965989781881376e+02, 2.892786301670682860e+02
1.894000000000000000e+03, 2.875550733702527850e+02, 2.884441340764471988e+02, 2.882572013500690673e+02, 2.912815466967787756e+02, 2.902061964332911543e+02, 2.874701539487688819e+02, 2.875155309776072841e+02, 2.865691835577972029e+02, 2.888469961620076560e+02, 2.871007435813991719e+02, 2.877329228213698684e+02, 2.891176264223554995e+02, 2.855526523623673256e+02, 2.886657304524516690e+02, 2.878052743459964518e+02, 2.889791677265101839e+02
1.895000000000000000e+03, 2.879946618616472733e+02, 2.892058879788147010e+02, 2.880878819962917419e+02, 2.912960152726859633e+02, 2.897594530400165809e+02, 2.881820688051885782e+02, 2.879913644555495580e+02, 2.869397956163560366e+02, 2.881640284905869294e+02, 2.870054678153921373e+02, 2.876678480545405705e+02, 2.894544560769320469e+02, 2.865248301184369666e+02, 2.879685079521792090e+02, 2.875541085739212122e+02, 2.893715315918028068e+02
1.896000000000000000e+03, 2.874917648118667444e+02, 2.884713328999212081e+02, 2.876044146090887352e+02, 2.908593421675801665e+02, 2.897942583644033903e+02, 2.874668356494924524e+02, 2.875272834048245159e+02, 2.863403475449937901e+02, 2.887914104144166458e+02, 2.869696583917027510e+02, 2.886817425106873429e+02, 2.891976835845804885e+02, 2.856341250017897551e+02, 2.881790324520877107e+02, 2.883102377411661337e+02, 2.890591945483024006e+02
1.897000000000000000e+03, 2.877888972173839761e+02, 2.883325172547621378e+02, 2.876555167723054183e+02, 2.914288676427176483e+02, 2.892686542157547365e+02, 2.874271940585705352e+02, 2.880116800047885590e+02, 2.868677111706843448e+02, 2.885842431776602552e+02, 2.871955375946794220e+02, 2.883130340686626027e+02, 2.893960915863095238e+02, 2.859419767443091018e+02, 2.888880221642064043e+02, 2.879658694984112230e+02, 2.894377678231430195e+02
1.898000000000000000e+03, 2.878976349631218454e+02, 2.887078415241415996e+02, 2.874506648227111327e+02, 2.910302898715724496e+02, 2.895437775929042346e+02, 2.881700295880741010e+02, 2.878318378642336484e+02, 2.861031387750572890e+02, 2.886873671224731197e+02, 2.870417062409954383e+02, 2.879372286198027950e+02, 2.894903340781239081e+02, 2.855241510717833648e+02, 2.885434575717007988e+02, 2.874977662757373196e+02, 2.895103503989917613e+02
1.899000000000000000e+03, 2.879254889402124036e+02, 2.885913679637176870e+02, 2.883681641852205075e+02, 2.916587502633378222e+02, 2.890906397716578340e+02, 2.873395713828488169e+02, 2.878185794700171982e+02, 2.866517547220278743e+02, 2.884368248307462750e+02, 2.870551429630376674e+02, 2.878176392215643773e+02, 2.901678910024724587e+02, 2.863952747327900852e+02, 2.892689670272380909e+02, 2.878463518100451779e+02, 2.886950970437868591e+02
1.900000000000000000e+03, 2.884557797993999202e+02, 2.879892381491718538e+02, 2.873974605358579311e+02, 2.909788472966655490e+02, 2.895224605446073269e+02, 2.873326038445312633e+02, 2.877935250859089251e+02, 2.870628986204823150e+02, 2.882020887863021130e+02, 2.875110998061145438e+02, 2.884527059150205446e+02, 2.898108122024758018e+02, 2.867426701549204608e+02, 2.883208957267187316e+02, 2.874980892714647212e+02, 2.896654036348782597e+02
