year, GFDL-ESM4, CNRM-ESM2-1, NorESM2-LM, NorESM2-MM, TaiESM1
1.976000000000000000e+03, 4.314449123698466726e-11, 9.008130233770460443e-11, 9.141145969980473061e-11, 9.159316040189773901e-11, 1.756101486962453498e-11
1.977000000000000000e+03, 5.858811211125111081e-11, 9.423680394241226007e-11, 8.476542353685961371e-11, 9.922367924571717253e-11, 2.903206652534712376e-11
1.978000000000000000e+03, 3.584482684720965670e-11, 9.303815898785762160e-11, 8.787038603792422056e-11, 5.682153734201620249e-11, 2.990432644563899035e-11
1.979000000000000000e+03, 4.627493200717132890e-11, 9.676124344938629919e-11, 7.587822075831332288e-11, 6.046475800943445754e-11, 2.703169933259469461e-11
1.980000000000000000e+03, 8.254441336864202404e-11, 9.534396385588160574e-11, 7.566642558719829456e-11, 8.868908733608414444e-11, 2.772793939924998341e-11
1.981000000000000000e+03, 5.335512987200561688e-11, 1.106032640522008305e-10, 7.220279760384768827e-11, 1.056172635242415811e-10, 3.327710217346606998e-11
1.982000000000000000e+03, 4.900600453397796026e-11, 8.550845151601773065e-11, 6.584720938300593191e-11, 9.302783921775511590e-11, 3.001411358023856922e-11
1.983000000000000000e+03, 5.215508590830826116e-11, 7.896155307618594787e-11, 5.814010272732053180e-11, 7.729056227533885435e-11, 2.979728446176677768e-11
1.984000000000000000e+03, 5.540453756610439986e-11, 1.023477573654307960e-10, 9.708371761270903847e-11, 8.244023031462948619e-11, 3.869302832095693525e-11
1.985000000000000000e+03, 3.555062159600769633e-11, 1.072641038643284762e-10, 9.458578549521956171e-11, 8.945791382524023844e-11, 4.268125900359972004e-11
1.986000000000000000e+03, 6.167936116722385369e-11, 1.182337661337671293e-10, 9.810968863908568522e-11, 1.084399650854885492e-10, 3.240776694633533100e-11
1.987000000000000000e+03, 5.390599241618380603e-11, 1.068293959708105617e-10, 9.230121321218131664e-11, 7.710666696959865775e-11, 2.990479766192710778e-11
1.988000000000000000e+03, 7.086048549142362393e-11, 1.041945873400076108e-10, 9.906539854424376149e-11, 1.061459296544392304e-10, 2.849482139168457418e-11
1.989000000000000000e+03, 5.570763715607961138e-11, 1.265997163646866891e-10, 9.765592357706878377e-11, 6.909635554441584312e-11, 3.314758074563459070e-11
1.990000000000000000e+03, 4.710976268218168439e-11, 1.252334144224334195e-10, 9.176351523493490204e-11, 7.492728890990592937e-11, 4.367563237492229139e-11
1.991000000000000000e+03, 4.904234442054084194e-11, 1.004463494116798344e-10, 7.571680361626084684e-11, 8.024870771937337890e-11, 2.647515655270228847e-11
1.992000000000000000e+03, 8.762476281488409399e-11, 1.312618725835357158e-10, 8.420531856686059012e-11, 9.572379331574671005e-11, 3.141528179224556630e-11
1.993000000000000000e+03, 4.882463345681697325e-11, 1.273998560218825090e-10, 1.137383869418493377e-10, 7.353605775433127228e-11, 3.745131967621820825e-11
1.994000000000000000e+03, 5.067594922234416531e-11, 1.086063819317909766e-10, 8.534938838302483573e-11, 1.087848816815603042e-10, 2.845874293046580435e-11
1.995000000000000000e+03, 4.189709295007811287e-11, 1.283500630238550025e-10, 6.212648239371702831e-11, 9.977945216057948386e-11, 3.370682466628878227e-11
1.996000000000000000e+03, 6.767421735534563257e-11, 9.183910166640515609e-11, 8.397156753579826896e-11, 1.043567924933272587e-10, 3.078087722700215919e-11
1.997000000000000000e+03, 5.179803482806179967e-11, 1.148125805003416407e-10, 1.017195197160981910e-10, 8.875520442116882800e-11, 2.588410617329880762e-11
1.998000000000000000e+03, 4.917650432678357831e-11, 1.175050039104318765e-10, 9.642746548309694941e-11, 1.273406385637589395e-10, 2.325834168523626212e-11
1.999000000000000000e+03, 4.065779242965747877e-11, 1.274784965675833865e-10, 1.042996113795871403e-10, 1.240208981218768335e-10, 2.721819704768836178e-11
2.000000000000000000e+03, 5.390103052790238501e-11, 1.571479938614064960e-10, 7.658409842870303425e-11, 1.045353556144667452e-10, 3.806146536783416580e-11
2.001000000000000000e+03, 5.731208535946696957e-11, 1.423078735092019202e-10, 8.346159698867579362e-11, 7.161940904498255538e-11, 3.290413106726130378e-11
2.002000000000000000e+03, 6.069767665564595601e-11, 1.130513806120156276e-10, 9.710328183899999597e-11, 9.941745499095643627e-11, 3.264587873353734070e-11
2.003000000000000000e+03, 7.062265978610699895e-11, 1.068125697783526133e-10, 1.034719178678812534e-10, 9.565706885976847494e-11, 3.909646839580792257e-11
2.004000000000000000e+03, 5.361081397702359894e-11, 1.517403824432276045e-10, 8.594659788319408277e-11, 7.978443097557114651e-11, 2.354178702940277574e-11
2.005000000000000000e+03, 5.187922273814356622e-11, 1.472290318510212839e-10, 9.002779923612107186e-11, 7.624530285790052107e-11, 3.154159914401785155e-11
2.006000000000000000e+03, 9.220664006889884245e-11, 1.454669836492367044e-10, 9.059822035920304777e-11, 1.021797023364440808e-10, 3.433367492805017062e-11
2.007000000000000000e+03, 6.818191936150953520e-11, 1.397734805575800313e-10, 8.854983423233743227e-11, 1.410927998654847822e-10, 2.964026176838043603e-11
2.008000000000000000e+03, 7.489907264009036391e-11, 1.599264723533883755e-10, 8.618859992177922412e-11, 1.128469330546186294e-10, 2.458707104996974002e-11
2.009000000000000000e+03, 7.012283386493853794e-11, 1.875436406379950881e-10, 8.285323912973564614e-11, 1.156839072306062012e-10, 3.161381041560665289e-11
2.010000000000000000e+03, 5.776660284592967027e-11, 1.586626284472186520e-10, 9.698904101704109823e-11, 9.519128819121511911e-11, 2.925849869412175108e-11
2.011000000000000000e+03, 5.967760270735106043e-11, 1.403341847656812656e-10, 7.703017881061805643e-11, 9.518400177290106327e-11, 2.327480688914730644e-11
2.012000000000000000e+03, 3.785464108456494969e-11, 1.469333782381826267e-10, 8.790408139305111294e-11, 1.224652312664979072e-10, 3.456250297884052476e-11
2.013000000000000000e+03, 6.898480384893820670e-11, 1.631835372617531545e-10, 6.503211511882632395e-11, 1.119808944009474029e-10, 4.025231210178925969e-11
2.014000000000000000e+03, 8.719560094262598403e-11, 1.318455490533820475e-10, 9.301339602912817611e-11, 1.170378331351448978e-10, 2.778246260323302879e-11
