year, NorESM2-LM, IPSL-CM6A-LR, MPI-ESM1-2-LR, CESM2-WACCM, GFDL-ESM4, ACCESS-ESM1-5, EC-Earth3-Veg, NorESM2-MM, TaiESM1, CanESM5, CNRM-ESM2-1, MIROC-ES2L, CMCC-CM2-SR5
1.890000000000000000e+03, 5.264075227137871016e-01, 1.539353095000640215e+00, 7.001529318504041477e+00, 6.260325806990472142e-01, 1.004307503923863809e+00, 1.236589652175452914e+00, 1.524359216663127903e+00, 5.719857018840054375e-01, 1.642762136412923568e-01, 4.131776977576937071e+00, 6.801152680094140202e+00, 3.727793971067112633e+00, 7.576487345384282923e-01
1.891000000000000000e+03, 4.963727761013063677e-01, 1.533965076679908002e+00, 7.025955965355961119e+00, 5.961969996256015758e-01, 1.020052421921294750e+00, 1.238129039554590749e+00, 1.442790363891448990e+00, 5.325439184643289137e-01, 1.625404838041630273e-01, 4.168408446195805972e+00, 6.829226514151113925e+00, 3.725962766946397942e+00, 8.248389260365158737e-01
1.892000000000000000e+03, 4.967277800969680523e-01, 1.552703571448743602e+00, 7.020188487214095829e+00, 6.028751657613874437e-01, 1.033928156565327550e+00, 1.240098662388109396e+00, 1.524845743806340970e+00, 5.120832863310719185e-01, 2.070493931754180950e-01, 4.230356832592140570e+00, 6.859199603903844533e+00, 3.703296132899161819e+00, 8.460520445112214016e-01
1.893000000000000000e+03, 5.355437363623064551e-01, 1.560563411834686054e+00, 7.005663476873533746e+00, 6.056624341641527742e-01, 1.026351741026844566e+00, 1.234677541426678848e+00, 1.537663905925499952e+00, 5.317888908863883657e-01, 2.048458346593003410e-01, 4.237822328864620403e+00, 6.852141089508200444e+00, 3.679107983730724563e+00, 7.957529722084855095e-01
1.894000000000000000e+03, 5.434336478701451423e-01, 1.574106292736018764e+00, 6.973842554126465032e+00, 5.876053833822486583e-01, 1.027826644223893915e+00, 1.216076259179786678e+00, 1.489784294465755554e+00, 5.534168385544105950e-01, 1.512112025025482975e-01, 4.300511177970558485e+00, 6.866204201295484921e+00, 3.643547785995056465e+00, 7.051040238498933466e-01
1.895000000000000000e+03, 5.276109391519111513e-01, 1.559322232593142621e+00, 6.987828187488196896e+00, 5.825430563298592546e-01, 1.049634546858506878e+00, 1.180416827601144414e+00, 1.560451067180546492e+00, 5.571311496651174533e-01, 1.470618236047273597e-01, 4.230698081167617808e+00, 6.878667341824394654e+00, 3.653059119446005365e+00, 6.739024638774111509e-01
1.896000000000000000e+03, 5.357339094439569349e-01, 1.571155905234357775e+00, 6.998776320226345327e+00, 5.723071570647965123e-01, 1.056238497924766317e+00, 1.159877946838580476e+00, 1.449931978222208429e+00, 5.365582166773411599e-01, 1.797739820070732297e-01, 4.201931719185968639e+00, 6.883494075615659291e+00, 3.667091671295700017e+00, 8.222035132206442221e-01
1.897000000000000000e+03, 5.412622402937030675e-01, 1.545317587841405826e+00, 6.979131647801821714e+00, 5.842946573239770069e-01, 1.048125322444538599e+00, 1.159143950218567198e+00, 1.496964539998415944e+00, 5.261996592359338143e-01, 1.882648500505999245e-01, 4.184842157266512430e+00, 6.907882262052431166e+00, 3.672129959370268537e+00, 8.788452428385128412e-01
1.898000000000000000e+03, 5.458924753274397856e-01, 1.531473984954234036e+00, 7.046542498416941136e+00, 5.784377848541001343e-01, 1.053836502777881101e+00, 1.169592139616382864e+00, 1.660746696576743453e+00, 5.184592274577294324e-01, 1.611511861990201910e-01, 4.236791198044086215e+00, 6.927496930586783286e+00, 3.647655507225633809e+00, 7.832904801340524470e-01
1.899000000000000000e+03, 5.880736751383901506e-01, 1.538194425157919820e+00, 7.060523473605712752e+00, 6.292266241755111178e-01, 1.057316131577147544e+00, 1.188333267229295886e+00, 1.639801279333314987e+00, 5.392558422402935481e-01, 1.505283606140991048e-01, 4.275315506097998153e+00, 6.978374772882019350e+00, 3.630621061562281149e+00, 7.093607218220771005e-01
1.900000000000000000e+03, 6.084360949870704083e-01, 1.525367359677054058e+00, 7.080764219712197161e+00, 6.931071742692581639e-01, 1.052041846558741778e+00, 1.237017798869735286e+00, 1.463579047939014721e+00, 5.276296258200703360e-01, 2.006942898623480798e-01, 4.302329568299838591e+00, 6.971467348882042891e+00, 3.629486673207828140e+00, 7.968114578686928962e-01
