year, NorESM2-LM, CanESM5, MIROC-ES2L, MPI-ESM1-2-LR, ACCESS-ESM1-5, EC-Earth3-Veg, GFDL-ESM4, CESM2-WACCM, CNRM-ESM2-1, CMCC-CM2-SR5, IPSL-CM6A-LR, UKESM1-0-LL, TaiESM1, NorESM2-MM
2.062000000000000000e+03, 4.588169228484081152e+00, 5.328610554426244761e+00, 7.501857384813312102e+00, 7.108932267671531413e+00, 3.645763022209694171e+00, 4.469274019958966448e+00, 7.345150370151251273e+00, 5.770261494938353053e+00, 7.344135558095958416e+00, 6.495974358019601880e+00, 4.376942152525882257e+00, 7.333442705804833928e+00, 2.349619408614523675e+00, 5.142088826293042203e+00
2.063000000000000000e+03, 4.428674436135350945e+00, 5.468456978080887154e+00, 7.350287721929789519e+00, 6.914568863677462929e+00, 3.666908960080840885e+00, 4.010659569735858909e+00, 7.246192134502857485e+00, 5.827282738981848453e+00, 7.444656171774461484e+00, 6.017845222615402889e+00, 4.447475231094207615e+00, 7.568135317284584218e+00, 2.337955282153779013e+00, 5.019077088132359421e+00
2.064000000000000000e+03, 4.417674891365498624e+00, 5.467801238068311420e+00, 7.264848856811583211e+00, 7.109505863556959682e+00, 3.626628263590378598e+00, 4.957088408322832151e+00, 7.353522923822692903e+00, 5.994216814196514420e+00, 7.263655774761765826e+00, 6.155261227448310279e+00, 4.375868580753879300e+00, 7.558233963195973182e+00, 2.350226311521937728e+00, 4.973383227433338050e+00
2.065000000000000000e+03, 4.317357495432237791e+00, 5.586036517888000930e+00, 7.369361555784882611e+00, 6.865267050896301626e+00, 3.696139257036199499e+00, 4.475635511314981940e+00, 7.469706278911247388e+00, 5.853108297353759149e+00, 7.411195709474919013e+00, 6.329821134324324916e+00, 4.442701945731715618e+00, 7.628726904751222726e+00, 2.418920144339652190e+00, 5.198103874623327236e+00
2.066000000000000000e+03, 4.538420119689655863e+00, 5.646587633651587446e+00, 7.636516548310198438e+00, 7.035973528012545941e+00, 3.705909075009430342e+00, 4.692949170837218631e+00, 7.468239866897584456e+00, 5.927142290652006373e+00, 7.405534167117179045e+00, 6.356029076367938124e+00, 4.421939429914259811e+00, 7.769977587730268809e+00, 2.370786811722655152e+00, 4.997325546915344141e+00
2.067000000000000000e+03, 4.471013158724360892e+00, 5.792784484876866813e+00, 7.514564057971173661e+00, 6.962363760530433154e+00, 3.732308026523256661e+00, 5.160966875259363817e+00, 7.672079487052933189e+00, 5.893846153118460052e+00, 7.192035613875386701e+00, 6.376790486402491354e+00, 4.483546424422236498e+00, 7.642850433787028663e+00, 2.437788655296689644e+00, 5.054568568258266836e+00
2.068000000000000000e+03, 4.441511755352099300e+00, 5.487379094832573578e+00, 7.672606950997151287e+00, 7.092069879268515287e+00, 3.728881367628254395e+00, 4.424615197639996111e+00, 7.633656610069462722e+00, 5.890084058113924215e+00, 7.988861165455105606e+00, 6.812749805056089514e+00, 4.451827630276796732e+00, 7.778531555752565829e+00, 2.466486099600855297e+00, 5.066057444369334917e+00
2.069000000000000000e+03, 4.767122123718008808e+00, 5.788643088187492403e+00, 7.767103717171558230e+00, 7.142634560160225909e+00, 3.725511046719023778e+00, 4.568672011089274676e+00, 8.075562506270953733e+00, 6.044709125261391591e+00, 7.935649634474537528e+00, 6.354806714864114525e+00, 4.524197715792566576e+00, 7.642895338368233205e+00, 2.430893124076525691e+00, 5.253879286687987538e+00
2.070000000000000000e+03, 4.701626088640945333e+00, 5.667887370410844561e+00, 7.719016261271032242e+00, 7.390914601085257551e+00, 3.734365482736992092e+00, 4.992369101152982935e+00, 7.599458497178098959e+00, 6.161732283610634298e+00, 7.620182463710428067e+00, 6.245397749436421897e+00, 4.461414631627791394e+00, 7.897594420376523594e+00, 2.395264153357672399e+00, 5.359187205587682357e+00
2.071000000000000000e+03, 4.588938196028385264e+00, 5.576715468107819262e+00, 7.881637662163142544e+00, 7.365951057147666958e+00, 3.739249605865722970e+00, 4.617765019801026050e+00, 7.653052280019653431e+00, 5.956902775137340456e+00, 7.982621292755609943e+00, 6.567626476289527560e+00, 4.694483245129247528e+00, 7.916424733629495947e+00, 2.442620330358624248e+00, 5.523441820470092800e+00
2.072000000000000000e+03, 4.839300342672312460e+00, 5.722476353361328982e+00, 7.652556580679574338e+00, 7.268156663066785761e+00, 3.828277953976967574e+00, 4.682646037488589208e+00, 7.771490296504539153e+00, 6.169837980050623116e+00, 7.906865253174163222e+00, 6.267254721723772626e+00, 4.769920598835160064e+00, 7.867144427559644271e+00, 2.454527691648302312e+00, 5.521960063421497367e+00
2.073000000000000000e+03, 4.896886402836978291e+00, 5.790761169361294591e+00, 7.878642970951873714e+00, 7.296346987437131837e+00, 3.793239454450328729e+00, 4.959197003862197306e+00, 7.895085410226730716e+00, 6.339070451569532416e+00, 7.938302066538251545e+00, 6.473849744088877145e+00, 4.579874864349219088e+00, 7.908317675853663076e+00, 2.502813577177832816e+00, 5.415971093352433208e+00
2.074000000000000000e+03, 5.034314441245639316e+00, 5.744680884089999218e+00, 7.846558302850257682e+00, 7.343547760204422126e+00, 3.838658179855165553e+00, 4.481179863333737856e+00, 8.052618115386067643e+00, 6.175212107023624775e+00, 8.239819036244291794e+00, 6.352685289576250227e+00, 4.640352031894908968e+00, 8.066749181138458624e+00, 2.607574447192343214e+00, 5.441096926804345202e+00
2.075000000000000000e+03, 5.011688138164460682e+00, 6.106511716603412410e+00, 8.135162031661524296e+00, 7.485545997402097917e+00, 3.774174204239795216e+00, 4.699488018825956459e+00, 8.105242025733042865e+00, 6.337958238765526886e+00, 8.200227650691541470e+00, 6.495384306467885338e+00, 4.746383691045089392e+00, 8.196345681690347718e+00, 2.452064821041367804e+00, 5.300423386326170494e+00
2.076000000000000000e+03, 4.691974549875904898e+00, 5.976098034429313088e+00, 8.160005662092549628e+00, 7.570231743863769402e+00, 3.771616692933107640e+00, 5.293156266420186995e+00, 7.701622780259954837e+00, 6.135670861791082231e+00, 8.158084763886481738e+00, 6.536858087555806662e+00, 4.699027249307096810e+00, 8.130474050991587376e+00, 2.538570822502499436e+00, 5.426897881384068256e+00
2.077000000000000000e+03, 4.734829058035735727e+00, 6.245224121157970210e+00, 8.030434716883599222e+00, 7.155621706310635766e+00, 3.769975585492930215e+00, 5.340752603690263278e+00, 7.863906768313719375e+00, 6.086410080216348994e+00, 8.576961049605968057e+00, 6.700788510176036716e+00, 4.693672767806085666e+00, 8.034748531026714602e+00, 2.567700718344449573e+00, 5.506954549668087395e+00
2.078000000000000000e+03, 4.616590206250019257e+00, 6.209630155241358196e+00, 7.977977303837563205e+00, 7.884336152740934800e+00, 3.791589389631851770e+00, 4.689060795005261184e+00, 8.109622853562491684e+00, 6.102494075757592285e+00, 8.235750536708636105e+00, 6.686753059785618625e+00, 4.742234011843525998e+00, 8.231388514130907552e+00, 2.521836654228445607e+00, 5.592686100220354284e+00
2.079000000000000000e+03, 5.002164766182985112e+00, 6.288347944331186490e+00, 8.060514525646786055e+00, 7.459363433432911528e+00, 3.951913157048356773e+00, 5.053884074815590211e+00, 8.111489176887946684e+00, 5.992965066279897002e+00, 8.302015386290939603e+00, 6.564423781323936780e+00, 4.846040107542058273e+00, 8.032669682985154935e+00, 2.486530362294785412e+00, 5.597055642075020820e+00
2.080000000000000000e+03, 5.057692038903445209e+00, 6.184678562167980509e+00, 8.187590495920668232e+00, 7.588193300789496831e+00, 3.881189804877554828e+00, 4.570663358120828690e+00, 8.002591426717312828e+00, 6.449867499378366453e+00, 8.624835888946245532e+00, 6.757084634488553121e+00, 4.719442650192787525e+00, 8.262349689534028485e+00, 2.544416092033450649e+00, 5.445062428998270754e+00
2.081000000000000000e+03, 4.872457267178450735e+00, 6.183375144908298537e+00, 8.260076165275609839e+00, 7.770404280417433363e+00, 3.879728987903768633e+00, 5.245195708076399121e+00, 8.397204027340189114e+00, 6.409315844066633794e+00, 8.508358062355739548e+00, 6.875278756846066486e+00, 4.807709007613135022e+00, 8.472347210660219119e+00, 2.591490163842803618e+00, 5.619090744463735021e+00
2.082000000000000000e+03, 5.101429442966950667e+00, 6.373348989171431889e+00, 8.256976999077833668e+00, 7.715169069365873433e+00, 3.882245849008089333e+00, 5.372378972115215312e+00, 8.454537461992705616e+00, 6.317101493282422098e+00, 8.650182464500609569e+00, 6.769853137365823947e+00, 4.947643985683527923e+00, 8.158603236310502993e+00, 2.479738391571981726e+00, 5.695966497102599391e+00
2.083000000000000000e+03, 5.108637059318279050e+00, 6.481566749995973709e+00, 8.315738153083314543e+00, 8.023549028452244158e+00, 3.871436975680630166e+00, 5.091622998278060308e+00, 8.577452656067146464e+00, 6.295462492204870308e+00, 8.587990459864769832e+00, 7.032567062987350681e+00, 4.928221088482339418e+00, 8.339524592767569189e+00, 2.496022235175658022e+00, 5.755640684456910350e+00
