year, CNRM-ESM2-1, CMCC-CM2-SR5, TaiESM1, CESM2-WACCM, ACCESS-ESM1-5, MPI-ESM1-2-LR, UKESM1-0-LL, EC-Earth3-Veg, NorESM2-LM, GFDL-ESM4, IPSL-CM6A-LR, INM-CM5-0, MIROC-ES2L, CanESM5, NorESM2-MM, INM-CM4-8
2.061000000000000000e+03, 1.867008432335467427e+00, 1.844025431635532453e+00, 1.655100803123342956e+00, 1.757317634372519644e+00, 2.119923405856031451e+00, 1.919784672001312309e+00, 1.912936853022035644e+00, 1.789865059320512097e+00, 1.632935624077369141e+00, 1.900286046409609853e+00, 1.925493087132208681e+00, 1.917612271273449354e+00, 2.000982841700479575e+00, 1.930908258385505061e+00, 1.575087225154949255e+00, 1.869632026463401431e+00
2.062000000000000000e+03, 1.886074026697483363e+00, 1.965638160770144083e+00, 1.732527251526623013e+00, 1.747973850869606993e+00, 2.100065439006580714e+00, 2.003560160897039477e+00, 1.870589413631800424e+00, 1.819634957646738105e+00, 1.689143872045003381e+00, 1.894406958526830609e+00, 2.041839534161891567e+00, 1.941696232065089456e+00, 2.012368031292260717e+00, 1.909190041665194126e+00, 1.588803956861584155e+00, 1.861001907578961445e+00
2.063000000000000000e+03, 1.867150667653770801e+00, 1.844091929638712379e+00, 1.589109724434752069e+00, 1.739854158342507784e+00, 2.125655969804084222e+00, 1.950643857975589146e+00, 1.931026116052773078e+00, 1.773921985094264020e+00, 1.657191673966027068e+00, 1.867179301221423504e+00, 1.942834121321925789e+00, 1.906623088941107991e+00, 1.898442102639340989e+00, 1.993410031166595209e+00, 1.618708238618153716e+00, 1.790603378052353145e+00
2.064000000000000000e+03, 1.867998891991215160e+00, 1.782226054824667338e+00, 1.634322784993658351e+00, 1.804794778633265873e+00, 2.164379520061451512e+00, 1.978421264963849735e+00, 1.891469222665386862e+00, 1.835030576495307209e+00, 1.822429377144296758e+00, 1.884307353583131173e+00, 2.016397511264936604e+00, 1.915220877197818083e+00, 1.910815073900924421e+00, 1.923788253794572300e+00, 1.587928880818456845e+00, 1.906934071028220767e+00
2.065000000000000000e+03, 1.887214943812132839e+00, 1.820427646935158128e+00, 1.655708520830040831e+00, 1.754583639030981468e+00, 2.163298607381835215e+00, 1.921009899593264958e+00, 1.920387742386418184e+00, 1.860501435162959849e+00, 1.604942500932246663e+00, 1.915321957351907578e+00, 2.054736893424704114e+00, 1.918750118800615745e+00, 1.949766731655444563e+00, 1.977164223423020895e+00, 1.648453567186700219e+00, 1.859513801936018229e+00
2.066000000000000000e+03, 1.863129902921222492e+00, 1.902568520927404139e+00, 1.693805489105287831e+00, 1.761837820862075965e+00, 2.182688875547516005e+00, 1.938472402860997867e+00, 1.917903940864684520e+00, 1.830544699826815558e+00, 1.695856358023242416e+00, 1.951494920144910106e+00, 2.147776286274140745e+00, 1.875211900040859581e+00, 1.906153424093205206e+00, 2.021546422186130343e+00, 1.647748518873482837e+00, 1.925540157280941633e+00
2.067000000000000000e+03, 1.869002688221245156e+00, 1.846060730388127569e+00, 1.710960375537832867e+00, 1.778462388262877836e+00, 2.141341238909550970e+00, 2.020562051159719985e+00, 1.919844418127317764e+00, 1.849124403758598323e+00, 1.732504056456225516e+00, 1.991870997630693196e+00, 2.016516825353575015e+00, 1.898597515801738300e+00, 1.952843816111311970e+00, 1.986344499572016975e+00, 1.660867595107593297e+00, 1.894563703659757348e+00
2.068000000000000000e+03, 1.951075104116851922e+00, 1.914582581284732132e+00, 1.748362590108955672e+00, 1.820769630198240563e+00, 2.234484455535664882e+00, 1.935797936858784762e+00, 1.949908247587608834e+00, 1.843762179090767672e+00, 1.688648921440565331e+00, 1.942383437061521612e+00, 2.015562727873614790e+00, 1.923399049665611482e+00, 2.066829656738951915e+00, 2.020938220163412513e+00, 1.604802228395763475e+00, 1.962588032813687766e+00
2.069000000000000000e+03, 2.002332945922890683e+00, 1.865370629846138106e+00, 1.698337867300319326e+00, 1.730136682473124354e+00, 2.181562525367374494e+00, 1.980563935145403631e+00, 1.901268189380773244e+00, 1.886941287982907722e+00, 1.734662992459261588e+00, 1.920260967891298964e+00, 2.029155245188577705e+00, 1.940479897129281817e+00, 1.986213325257664142e+00, 2.120231265649192398e+00, 1.653940249131917062e+00, 1.896918034383194840e+00
2.070000000000000000e+03, 1.839685132076886553e+00, 1.804348264563893744e+00, 1.585129828943455887e+00, 1.900152438665550836e+00, 2.206392793820179055e+00, 1.897822604099260291e+00, 1.937918324887328403e+00, 1.806855374122375846e+00, 1.671883121908316783e+00, 1.925523953112245445e+00, 2.030183513036432075e+00, 1.911224402701706238e+00, 1.976430560029721617e+00, 1.967778254594278131e+00, 1.711237812513323853e+00, 1.915174512188579259e+00
2.071000000000000000e+03, 2.015446724475801421e+00, 1.866165109613950879e+00, 1.646608368577902048e+00, 1.756488535430427600e+00, 2.193487279070700069e+00, 2.034785906815638423e+00, 1.986042162585071935e+00, 1.883180549893305633e+00, 1.672069278689862770e+00, 1.993088115955681028e+00, 1.999913673277606607e+00, 1.861901723716135271e+00, 1.951556225879799822e+00, 1.926326523106191457e+00, 1.684352893535543183e+00, 1.940832601057239426e+00
