year, IPSL-CM6A-LR, ACCESS-ESM1-5, MPI-ESM1-2-LR, UKESM1-0-LL, CNRM-ESM2-1, MIROC-ES2L, CESM2-WACCM, CMCC-ESM2
1.912000000000000000e+03, 7.674178601946182307e-10, 4.605376947593504131e-11, 4.650625356016995180e-10, 6.196064019632959821e-13, 4.490822812765556694e-11, 5.071560786932041923e-10, 2.799585642094262661e-10, 9.125541793016148478e-11
1.913000000000000000e+03, 7.077315459270999481e-10, 4.839013944630348668e-11, 4.713554956817614387e-10, 6.211120151843841706e-13, 4.651915727234881859e-11, 5.127875141893695533e-10, 2.759365325244747145e-10, 9.289490656009120812e-11
1.914000000000000000e+03, 7.593981253770349262e-10, 5.003566395483431041e-11, 4.748563835179311675e-10, 5.917200677337347713e-13, 4.816449177558529238e-11, 5.166042045410071675e-10, 2.877099499283457035e-10, 9.439741963921211085e-11
1.915000000000000000e+03, 7.441066296712481383e-10, 5.144159379083955117e-11, 4.697926382868504924e-10, 5.178091232921477872e-13, 4.990177265769573061e-11, 5.190532014319777169e-10, 2.961844621498328683e-10, 9.579881098838739231e-11
1.916000000000000000e+03, 7.244273816199687735e-10, 5.271422665718177608e-11, 4.672956395553951203e-10, 4.917303703759908857e-13, 5.168528115096713845e-11, 5.228035245042775666e-10, 2.844050759898458711e-10, 9.711715283530540709e-11
1.917000000000000000e+03, 7.298839664673035824e-10, 5.457105511906603199e-11, 4.737568211440007396e-10, 5.298268499589249839e-13, 5.364903382050741795e-11, 5.295696034294728688e-10, 3.087629201114740720e-10, 9.836668197990518768e-11
1.918000000000000000e+03, 7.753935201624897182e-10, 5.541290430277732873e-11, 4.759859994863581600e-10, 5.175792404328684889e-13, 5.576691034546964176e-11, 5.358908177191168038e-10, 3.125727139439524025e-10, 9.954815478692519793e-11
1.919000000000000000e+03, 8.407915662574757191e-10, 5.629535411478176801e-11, 4.813637834578768311e-10, 5.046166492051870793e-13, 5.810328653207336492e-11, 5.436882679534572035e-10, 3.332495269406237392e-10, 1.006618232297988556e-10
1.920000000000000000e+03, 8.172963999031830077e-10, 5.744860944349931317e-11, 4.795020320618160168e-10, 5.003997869705591179e-13, 6.045123472845148521e-11, 5.248904582835295214e-10, 3.253936557478484053e-10, 1.009926688409587861e-10
1.921000000000000000e+03, 7.885586416855905555e-10, 4.868910989485080903e-11, 4.747942778809662513e-10, 4.202147779362653595e-13, 6.106132669032302121e-11, 5.217293842666225653e-10, 3.138759219820354636e-10, 1.006390807952596737e-10
1.922000000000000000e+03, 7.444605310469092671e-10, 4.515284838473236240e-11, 4.766625242560852124e-10, 4.103115247035578024e-13, 6.017810672775070922e-11, 5.211097352037012194e-10, 3.227323305934294212e-10, 1.005596498867660096e-10
1.923000000000000000e+03, 8.254202077514223467e-10, 4.356372899207203932e-11, 4.873874589127120986e-10, 3.905059686793463502e-13, 5.936244964535933537e-11, 5.190436660821600584e-10, 3.365516636422282240e-10, 1.009160944768855006e-10
1.924000000000000000e+03, 8.031135529343647261e-10, 4.298804288457107453e-11, 4.931081411399009505e-10, 3.466938314166703809e-13, 5.854399574239490803e-11, 5.180616073567161293e-10, 3.361667876217898319e-10, 1.016203728103417633e-10
