year, NorESM2-LM, INM-CM4-8, CESM2-WACCM, UKESM1-0-LL, NorESM2-MM, CanESM5, INM-CM5-0, IPSL-CM6A-LR, GFDL-ESM4, ACCESS-ESM1-5, MPI-ESM1-2-LR, MIROC-ES2L, TaiESM1, CMCC-ESM2, EC-Earth3-Veg, CNRM-ESM2-1
1.897000000000000000e+03, 1.690998953336433352e+00, 1.125631098441433720e+00, 1.788332512556529030e+00, 2.189718572153870113e+00, 1.458176592720722642e+00, 8.181035380831130910e-01, 1.090719517550685191e+00, 7.638449127907582792e-01, 1.966714691595728981e+00, 1.132442685506497737e+00, 1.237892559330024289e+00, 7.848082736498034340e-01, 2.643340594135424659e+00, 2.287762546721614942e+00, 1.204271474432295985e+00, 8.984849699747649021e-01
1.898000000000000000e+03, 1.684814383609223531e+00, 1.115989344987537102e+00, 1.820593162955479460e+00, 2.191438885396104208e+00, 1.512082331742568009e+00, 8.326890554669296174e-01, 1.072985695401347472e+00, 7.637832065807304005e-01, 1.937137666475840403e+00, 1.116879868424474509e+00, 1.224068920521616199e+00, 8.117915025316015942e-01, 2.598184167111159404e+00, 2.135112273512508096e+00, 1.232724044872993474e+00, 9.411776772818755132e-01
1.899000000000000000e+03, 1.663953937203875633e+00, 1.089340445228347720e+00, 1.854779864169342707e+00, 2.181039393495817436e+00, 1.531429225094124824e+00, 7.806729773941719630e-01, 1.072038144253843583e+00, 7.400024513368362866e-01, 1.859472614560341963e+00, 1.093313227442398006e+00, 1.239979490266638784e+00, 7.884187592458343774e-01, 2.468333600168639119e+00, 2.185722298632081451e+00, 1.216784646897458799e+00, 9.255584548506027298e-01
1.900000000000000000e+03, 1.705565664585768193e+00, 1.101372048686815042e+00, 1.896210204921480846e+00, 2.195897381139849447e+00, 1.549944786963457277e+00, 8.108925118364656015e-01, 1.067174401491072677e+00, 7.275588709825352440e-01, 1.919969523892920193e+00, 1.095501703101858570e+00, 1.227273826800279188e+00, 7.648979012368524177e-01, 2.451722605294452517e+00, 2.298334574165634692e+00, 1.219200731366673729e+00, 8.828069968552779700e-01
1.901000000000000000e+03, 1.735195082836798575e+00, 1.093413594931501365e+00, 1.769740885235391525e+00, 2.178420508281377010e+00, 1.545015186416241804e+00, 8.482546565594610843e-01, 1.060000703022247803e+00, 7.348487812734225688e-01, 1.871007798077866546e+00, 1.097428176863258331e+00, 1.221054156001301516e+00, 7.761717168818073054e-01, 2.474019474108112515e+00, 2.251087259864603674e+00, 1.232784598764000705e+00, 9.286671445066754238e-01
1.902000000000000000e+03, 1.703478184657145400e+00, 1.078861026301283887e+00, 1.757672999333769637e+00, 2.173648245326528006e+00, 1.465913146926562272e+00, 8.293937446916505030e-01, 1.052325617110064115e+00, 7.454423775078901082e-01, 1.978742102252136537e+00, 1.111217056895453803e+00, 1.212460594124169955e+00, 8.035586858265314492e-01, 2.457850342821927381e+00, 2.185430213320878501e+00, 1.249740325074804925e+00, 8.892153625049059595e-01
1.903000000000000000e+03, 1.702984339069990360e+00, 1.078923350724423802e+00, 1.822546763263150904e+00, 2.146820808088937493e+00, 1.447783367725789638e+00, 7.912220932880300595e-01, 1.006879118528865247e+00, 7.409781400725434786e-01, 1.880054507961275378e+00, 1.108298328459241144e+00, 1.186449407342722751e+00, 7.709471449902910445e-01, 2.440197395078830489e+00, 2.159799248122577175e+00, 1.228870016639821428e+00, 8.708782791383090638e-01
1.904000000000000000e+03, 1.583520721430086153e+00, 1.043633286230527757e+00, 1.777025037756172710e+00, 2.176009039087320573e+00, 1.435511890561738335e+00, 7.868347507873808544e-01, 1.018786526311668439e+00, 7.107793737331848938e-01, 1.794432753035750228e+00, 1.115236840732396928e+00, 1.208117473794059649e+00, 7.453650651724502696e-01, 2.526459371957212596e+00, 2.218618480514807256e+00, 1.258303817112638168e+00, 9.339105960475250212e-01
1.905000000000000000e+03, 1.583069857862415830e+00, 1.082981657055168911e+00, 1.789875315023727431e+00, 2.185630503669226066e+00, 1.495182746812262709e+00, 8.051028729032566611e-01, 1.033891647355071886e+00, 7.440703311001484188e-01, 1.937124531109364334e+00, 1.101593657607540910e+00, 1.240185679474490321e+00, 7.465514823575291059e-01, 2.487368038897415534e+00, 2.277370901442906881e+00, 1.230235821073612623e+00, 8.796675615481722721e-01
1.906000000000000000e+03, 1.664111977940809561e+00, 1.114925611276688322e+00, 1.854592837901467561e+00, 2.166458869873960857e+00, 1.517924904332880853e+00, 8.302056847577719001e-01, 1.041783485039414314e+00, 7.480731466933221441e-01, 1.858760517507769716e+00, 1.128593757579222645e+00, 1.243455383146339521e+00, 7.706299297009542304e-01, 2.565268657277411268e+00, 2.228813610366558784e+00, 1.207023341055105226e+00, 9.275357008266785774e-01
