year, NorESM2-MM, TaiESM1, MPI-ESM1-2-LR, CESM2-WACCM, NorESM2-MM, GFDL-ESM4, CNRM-ESM2-1, CNRM-ESM2-1, NorESM2-LM, TaiESM1, EC-Earth3-Veg, GFDL-ESM4
1.930000000000000000e+03, 3.209087718261618118e-10, 1.532161513985489023e-10, 2.003819399756731020e-10, 3.492627944365513811e-10, 3.209087718261618118e-10, 4.398010270919511813e-10, 2.320778541265319864e-10, 2.320778541265319864e-10, 1.937726084278588874e-10, 1.532161513985489023e-10, 2.385888263975642322e-10, 4.375009309021522779e-10
1.931000000000000000e+03, 2.104031336762800802e-10, 1.702153348060106205e-10, 1.228455966326245902e-10, 3.903194777686473780e-10, 2.104031336762800802e-10, 2.347831895135342374e-10, 2.237073923914049240e-10, 2.237073923914049240e-10, 2.355803481166869533e-10, 1.702153348060106205e-10, 3.112249864615907264e-10, 2.325399978640909340e-10
1.932000000000000000e+03, 4.930016535791562911e-10, 2.229913567785288261e-10, 1.246005543901706111e-10, 2.184400809516093256e-10, 4.930016535791562911e-10, 7.458651987007646277e-10, 2.489350785283124354e-10, 2.489350785283124354e-10, 1.732124711531284767e-10, 2.229913567785288261e-10, 2.004700563772870426e-10, 7.438077323754685996e-10
1.933000000000000000e+03, 3.244805354200708582e-10, 1.904545787598765888e-10, 1.571869355372827303e-10, 1.713953833630334162e-10, 3.244805354200708582e-10, 2.910027691786627072e-10, 2.371121003036890930e-10, 2.371121003036890930e-10, 1.188639518848237824e-10, 1.904545787598765888e-10, 3.636439582623033871e-10, 2.890898022840624648e-10
1.934000000000000000e+03, 2.693919405693713651e-10, 1.652936250469462195e-10, 1.913771750529653764e-10, 2.243844901630398825e-10, 2.693919405693713651e-10, 3.009923608793156139e-10, 2.451337972511352899e-10, 2.451337972511352899e-10, 2.270961689286119365e-10, 1.652936250469462195e-10, 4.041980394448467438e-10, 2.990314933149577063e-10
1.935000000000000000e+03, 2.417573611482930845e-10, 8.925138439023871284e-11, 1.575383744752170564e-10, 4.868734367542592011e-10, 2.417573611482930845e-10, 3.849565707325888439e-10, 2.417474446114285054e-10, 2.417474446114285054e-10, 3.737233820523528591e-10, 8.925138439023871284e-11, 5.008763315942788783e-10, 3.830533572630007612e-10
1.936000000000000000e+03, 3.878495749689022779e-10, 1.921844400951686349e-10, 2.228368337798115754e-10, 2.412785889972494685e-10, 3.878495749689022779e-10, 3.505600190150680452e-10, 3.402689178959559952e-10, 3.402689178959559952e-10, 4.260819143528764354e-10, 1.921844400951686349e-10, 5.168769483075561420e-10, 3.486310072978496782e-10
1.937000000000000000e+03, 2.519798071695267798e-10, 2.735559023569022323e-10, 2.015785220108873286e-10, 1.577216812590354671e-10, 2.519798071695267798e-10, 5.217167907302715482e-10, 2.597385736858478058e-10, 2.597385736858478058e-10, 2.299211545861931732e-10, 2.735559023569022323e-10, 1.921393829516811049e-10, 5.199282034720340913e-10
1.938000000000000000e+03, 2.303335164666328833e-10, 1.301120374359205478e-10, 2.689980801351823842e-10, 2.318110764170522376e-10, 2.303335164666328833e-10, 7.144833076290297298e-10, 1.978926458921730944e-10, 1.978926458921730944e-10, 2.682589458398221728e-10, 1.301120374359205478e-10, 2.184396744416765033e-10, 7.127069429161760626e-10
1.939000000000000000e+03, 3.424127785068621560e-10, 2.404030117694098837e-10, 1.615857105421847863e-10, 1.288475147551645616e-10, 3.424127785068621560e-10, 5.115595126766370674e-10, 2.407385058085932408e-10, 2.407385058085932408e-10, 1.259895336373998969e-10, 2.404030117694098837e-10, 9.370406696303658534e-10, 5.098124731316852870e-10
1.940000000000000000e+03, 2.444993202030219727e-10, 1.480763652393415657e-10, 1.212429128360941690e-10, 4.070662801498295969e-10, 2.444993202030219727e-10, 3.465255122686185660e-10, 3.395325194258626449e-10, 3.395325194258626449e-10, 2.777922059470341503e-10, 1.480763652393415657e-10, 5.270407447929906913e-10, 3.447593837307325612e-10
1.941000000000000000e+03, 1.935134007422513010e-10, 1.911793774026045737e-10, 1.988135562321242190e-10, 3.763806799679279604e-10, 1.935134007422513010e-10, 2.222886837699127383e-10, 2.816295647677495157e-10, 2.816295647677495157e-10, 1.820003998234510839e-10, 1.911793774026045737e-10, 4.211961266917779219e-10, 2.204856954618782240e-10
