year, IPSL-CM6A-LR, CanESM5, NorESM2-MM, UKESM1-0-LL, CNRM-ESM2-1, NorESM2-LM, EC-Earth3-Veg, TaiESM1, MPI-ESM1-2-LR, MIROC-ES2L, GFDL-ESM4, ACCESS-ESM1-5, CESM2-WACCM, CMCC-CM2-SR5
1.939000000000000000e+03, 3.639473498762983183e+01, 1.232148591381624669e+02, 9.700097441674762422e+01, 2.000169499702748510e+02, 1.357299238466422935e+02, 9.728480119125774195e+01, 1.338845564539662973e+02, 6.658160686033046716e+01, 5.645918146328688181e+01, 9.130756684543887047e+01, 4.003214592447101694e+01, 9.169515876060995652e+01, 1.091489368264787458e+02, 2.699023425175225839e+02
1.940000000000000000e+03, 3.641566330157359488e+01, 1.232088568172075895e+02, 9.701353607789157252e+01, 1.999162726504216607e+02, 1.358048204603354918e+02, 9.725360776569029042e+01, 1.338563004017738933e+02, 6.666146874986166893e+01, 5.641399589714948348e+01, 9.130302611285117109e+01, 3.999960102803406414e+01, 9.173459251169410322e+01, 1.091607970613785596e+02, 2.699298639300323543e+02
1.941000000000000000e+03, 3.643646842850617418e+01, 1.232234546878170534e+02, 9.702647248518201195e+01, 1.999042256377773015e+02, 1.358539037201101394e+02, 9.724170906653287716e+01, 1.338101513725410427e+02, 6.664977748383542178e+01, 5.637728431186846478e+01, 9.129628787853127392e+01, 3.998628032492081985e+01, 9.177613198666834649e+01, 1.092099979728145485e+02, 2.700241537000401877e+02
1.942000000000000000e+03, 3.644785074747504439e+01, 1.232309630126562325e+02, 9.703398964567506368e+01, 1.998541708368881302e+02, 1.359248226913493909e+02, 9.724357715667699154e+01, 1.337940199577226110e+02, 6.664456309989776628e+01, 5.648699397729062355e+01, 9.130473488347841737e+01, 4.000928757028555083e+01, 9.180487377244290315e+01, 1.092124074319512204e+02, 2.701081482245997449e+02
1.943000000000000000e+03, 3.645908033523374314e+01, 1.232247784009339711e+02, 9.705199742368847637e+01, 1.999091453109374470e+02, 1.359914883961217811e+02, 9.725348692665562567e+01, 1.337780762858254775e+02, 6.672884032129056209e+01, 5.649486500763281072e+01, 9.131235972010163948e+01, 3.999377716223436607e+01, 9.181176910278477976e+01, 1.091561880064213454e+02, 2.701222956521287983e+02
1.944000000000000000e+03, 3.647584586790038941e+01, 1.232127419575307528e+02, 9.706161507880230488e+01, 1.999199784848918569e+02, 1.360477716112775397e+02, 9.727435339467618292e+01, 1.337452171512172185e+02, 6.668774412761167980e+01, 5.651056491892065736e+01, 9.129684605882502524e+01, 3.995420971854697711e+01, 9.180948890202012080e+01, 1.091411517552588748e+02, 2.701454270176919294e+02
1.945000000000000000e+03, 3.649444167224820745e+01, 1.232207450093930277e+02, 9.709567242230046702e+01, 1.998000189364989581e+02, 1.360891490655089342e+02, 9.728136002091618195e+01, 1.337301565345784979e+02, 6.661722066308581702e+01, 5.654479892074098046e+01, 9.128637489800463811e+01, 3.995167845117533290e+01, 9.182282017044369127e+01, 1.091443999969467455e+02, 2.702136266878391098e+02
1.946000000000000000e+03, 3.651381854864533238e+01, 1.232121247640709925e+02, 9.712161827358551136e+01, 1.999107395833659666e+02, 1.361447271133762058e+02, 9.729654047012839158e+01, 1.337157717360861113e+02, 6.662593890472098224e+01, 5.656125834188407708e+01, 9.127210554072561877e+01, 3.993854354497687353e+01, 9.183716469529905169e+01, 1.091413213752432227e+02, 2.701856078652802466e+02
1.947000000000000000e+03, 3.653271501954106526e+01, 1.232020088069612456e+02, 9.713847084723130365e+01, 1.999630618653409044e+02, 1.362056389043640365e+02, 9.733022949324843864e+01, 1.337380644154767708e+02, 6.669233236689986200e+01, 5.652905737024474320e+01, 9.125668115576306150e+01, 3.995140908915381317e+01, 9.185143684531990971e+01, 1.091392523714526561e+02, 2.701216362752588225e+02
1.948000000000000000e+03, 3.654682715805728321e+01, 1.231936007969654696e+02, 9.715241189185978499e+01, 1.999179136739329863e+02, 1.362756155312930275e+02, 9.738927011844042170e+01, 1.337418186242224749e+02, 6.675605891537738046e+01, 5.650877035695938844e+01, 9.124171415700493526e+01, 3.993550583465167136e+01, 9.186391899863609467e+01, 1.091541256871125256e+02, 2.702160847575541993e+02
1.949000000000000000e+03, 3.656253833486238847e+01, 1.231956116734215101e+02, 9.717195617444939160e+01, 1.998183968796100487e+02, 1.363316886920608226e+02, 9.743940062198389285e+01, 1.337393173724836117e+02, 6.674735083252480194e+01, 5.649440554543223669e+01, 9.120074519977731597e+01, 3.989728874527723690e+01, 9.187314765560056173e+01, 1.091787649690519260e+02, 2.703776720316212732e+02
1.950000000000000000e+03, 3.658029190104457484e+01, 1.231806789874552095e+02, 9.720242065782193208e+01, 1.996437034481925537e+02, 1.364011287518662243e+02, 9.747053681689027371e+01, 1.337216145012402535e+02, 6.667887000734201308e+01, 5.654971312658759075e+01, 9.115692732851168500e+01, 3.990657890559553067e+01, 9.189047711073507685e+01, 1.092186940446054138e+02, 2.702987408209836531e+02
1.951000000000000000e+03, 3.659994594413178959e+01, 1.231573225691597457e+02, 9.723324877975488789e+01, 1.998234466854263758e+02, 1.364372661651274541e+02, 9.747217188879344008e+01, 1.336948968569340366e+02, 6.672404582222813474e+01, 5.664221805300303458e+01, 9.112124805261251481e+01, 3.989565408691674975e+01, 9.191793227670555666e+01, 1.092521585782865543e+02, 2.702821901272945979e+02
