year, ACCESS-ESM1-5, NorESM2-MM, CESM2-WACCM, MPI-ESM1-2-LR, UKESM1-0-LL, MIROC-ES2L, TaiESM1, GFDL-ESM4, CMCC-CM2-SR5, IPSL-CM6A-LR, EC-Earth3-Veg, NorESM2-LM, CNRM-ESM2-1, CanESM5
1.944000000000000000e+03, 3.556173227694139349e+00, 3.268673202934861521e+00, 3.777174575007184121e+00, 4.541901593327705378e+00, 5.457964325161942298e+00, 3.139910352773127133e+00, 3.953339837910127219e+00, 3.064546197307190134e+00, 3.457569956391419730e+00, 1.965074850594680234e+00, 2.264797831428183805e+00, 3.546616072860095947e+00, 2.716167167718705588e+00, 3.822459792220736841e+00
1.945000000000000000e+03, 3.620218434935694063e+00, 3.392544463494048035e+00, 3.788452622764061140e+00, 4.687764793893107296e+00, 5.155299710971566363e+00, 3.364456539686578651e+00, 4.015978095327005448e+00, 3.093947560605021518e+00, 3.590608414246259095e+00, 1.953798315284116516e+00, 2.404979475933509026e+00, 3.466231288635861940e+00, 2.683431314875294404e+00, 3.829711316110779862e+00
1.946000000000000000e+03, 3.616495367660143234e+00, 3.308604184700779882e+00, 3.880663946585563906e+00, 4.576421899380429537e+00, 5.123069790039166627e+00, 3.270837441630509268e+00, 4.122726123169962342e+00, 3.168413842434751437e+00, 3.586048977123243997e+00, 1.978214031867351563e+00, 2.093438107781054214e+00, 3.443448891409831347e+00, 2.769696100229059432e+00, 3.842915862786302483e+00
1.947000000000000000e+03, 3.573393635294885406e+00, 3.352588135283326221e+00, 3.673809232970779437e+00, 4.689631043090585649e+00, 5.577556333108535824e+00, 3.170608803793605102e+00, 4.056739970193243394e+00, 3.125382578583735249e+00, 3.353463488745116017e+00, 1.951394120728722426e+00, 2.284437705510727668e+00, 3.363521592024115492e+00, 2.797002992093879037e+00, 3.763712807334981036e+00
1.948000000000000000e+03, 3.599654733407821716e+00, 3.394495483589496487e+00, 3.748299225899140552e+00, 4.718445702765404093e+00, 5.501367416559205026e+00, 3.162416011050763753e+00, 4.018123318487650586e+00, 3.214164478229779132e+00, 3.711615047429794423e+00, 1.979432116260531282e+00, 2.378369675945756878e+00, 3.510008938160974257e+00, 2.790168039561770286e+00, 3.792278801490755580e+00
1.949000000000000000e+03, 3.509760662066327530e+00, 3.301510179687745961e+00, 3.690486458263792624e+00, 4.746286370669508869e+00, 5.713720316523616560e+00, 3.229824629407195946e+00, 4.005932961655687130e+00, 3.132335521698219161e+00, 3.755321750705944872e+00, 2.000798241867054017e+00, 2.336639955544835168e+00, 3.283998303539396257e+00, 2.670914719368300716e+00, 3.869274573352393887e+00
1.950000000000000000e+03, 3.546374476157843514e+00, 3.232573083835822647e+00, 3.615491926199116079e+00, 4.731446429803876086e+00, 5.853812001609830951e+00, 3.266372372077412933e+00, 3.898513499706012020e+00, 3.076461751897440422e+00, 3.441086752365784207e+00, 2.054106793468340353e+00, 2.274622033232940321e+00, 3.584170687229581098e+00, 2.811889803261858667e+00, 3.749357395813977867e+00
1.951000000000000000e+03, 3.556522868280244776e+00, 3.343676211597401693e+00, 3.686058820566221250e+00, 4.665867555745459860e+00, 5.116839276945841952e+00, 3.154472542566608251e+00, 4.087039558021047014e+00, 3.078037655687481777e+00, 3.503871198542561682e+00, 2.003392513340126246e+00, 2.369105949268637712e+00, 3.564147699592923324e+00, 2.683457520052489276e+00, 3.955506608196301510e+00
1.952000000000000000e+03, 3.571261302712227081e+00, 3.282636228413332358e+00, 3.754323977029041526e+00, 4.617280586706109524e+00, 5.031907011870326407e+00, 3.231243932753795622e+00, 3.987294426655204393e+00, 3.112055699222174621e+00, 3.733307947132757931e+00, 1.977229463763719775e+00, 2.302005144964597072e+00, 3.416400329217124110e+00, 2.643627476617993466e+00, 3.963404210484626322e+00
1.953000000000000000e+03, 3.581718883205308845e+00, 3.254296063609869449e+00, 3.865429207098248998e+00, 4.706960404792060793e+00, 5.234419376921978895e+00, 3.229089040490553231e+00, 4.135554878332074580e+00, 3.071474450633499664e+00, 3.673786466851468369e+00, 1.983937553823040600e+00, 2.261563917267405799e+00, 3.442736800597827607e+00, 2.607636571860234564e+00, 3.856477166917430033e+00
1.954000000000000000e+03, 3.535069286832583479e+00, 3.281498027659527139e+00, 3.694894168091062969e+00, 4.615650187429276130e+00, 5.230781069466699407e+00, 3.200734362277630307e+00, 4.013878179093502752e+00, 3.139640665781850970e+00, 3.615305770885603565e+00, 1.992691033512864474e+00, 2.338149749480890716e+00, 3.549863212287207581e+00, 2.720696110570400172e+00, 3.884101108857699547e+00
1.955000000000000000e+03, 3.615349529990427691e+00, 3.238704295514065912e+00, 3.730246460322140134e+00, 4.532232121114102341e+00, 4.919126281136598777e+00, 3.299379593826517798e+00, 4.181051429051499291e+00, 3.176093515078631579e+00, 3.573189240455111992e+00, 2.034729420725284843e+00, 2.345802204945580449e+00, 3.418238040067492989e+00, 2.724794722210772679e+00, 3.703493894171400846e+00
1.956000000000000000e+03, 3.604994103431940378e+00, 3.248748816440112375e+00, 3.543919461888579647e+00, 4.963138877882274258e+00, 5.352479402099336703e+00, 3.369688523819017956e+00, 4.061613375310775709e+00, 3.224171652922671161e+00, 3.698358144739685383e+00, 2.049181747972607770e+00, 2.211731957650162617e+00, 3.568900128342541667e+00, 2.747754721200931449e+00, 3.728577419308178431e+00
1.957000000000000000e+03, 3.506873968770020333e+00, 3.163850403340745299e+00, 3.674807645538097134e+00, 4.619754309309707097e+00, 5.138164632074754934e+00, 3.212871758505610575e+00, 4.091258025257352493e+00, 3.140771873777286505e+00, 3.647020622140332513e+00, 1.979451805750370053e+00, 2.146288014319674087e+00, 3.547427299911655840e+00, 2.705342144946426775e+00, 3.725157883991718322e+00
