year, CESM2-WACCM, MPI-ESM1-2-LR, IPSL-CM6A-LR, NorESM2-LM, EC-Earth3-Veg, UKESM1-0-LL, CNRM-ESM2-1, CMCC-ESM2, NorESM2-MM, TaiESM1
2.078000000000000000e+03, 4.684639675027988655e-10, 2.359075394728586682e-09, 1.007048356992520171e-10, 1.967129399242629527e-09, 9.891095327433212213e-10, 2.915903434225266363e-12, 7.934976512962896276e-11, 4.680292125415732116e-10, 2.546623201925716406e-09, 6.553461507441547671e-10
2.079000000000000000e+03, 4.725239489598163014e-10, 2.353835400518363063e-09, 1.009848734151540768e-10, 1.735202685680405098e-09, 1.012261097582712018e-09, 2.833321256217620409e-12, 8.050898810251487055e-11, 4.715008776281959404e-10, 2.307782351792096300e-09, 6.554837353532004206e-10
2.080000000000000000e+03, 4.773726905829731825e-10, 2.365540374715996012e-09, 1.010926692132432775e-10, 1.529385894197185899e-09, 9.750869173892998249e-10, 2.808995266361452712e-12, 8.187289091087217342e-11, 5.071231048445444109e-10, 1.890094828921461371e-09, 6.531090712658574716e-10
2.081000000000000000e+03, 5.064467053894772136e-10, 2.381832637513519903e-09, 1.264398803233146708e-10, 1.436712201458914548e-09, 9.884672735291448229e-10, 2.904764089749423337e-12, 9.505491001095986011e-11, 5.124990313795338366e-10, 2.177295361689126311e-09, 6.546993057312109413e-10
2.082000000000000000e+03, 4.896564889847666173e-10, 2.376073460676848965e-09, 1.272488656210538576e-10, 1.529262751560139768e-09, 9.993355219649866564e-10, 3.333062248444524040e-12, 9.773575403655535504e-11, 5.149606360694547663e-10, 2.241849340070184232e-09, 6.544490452599309970e-10
2.083000000000000000e+03, 4.863479462966763622e-10, 2.368059227506219893e-09, 1.269059833914368510e-10, 1.589633707372080285e-09, 1.004384021857614927e-09, 1.204655132688158725e-11, 9.876683166011954350e-11, 5.156948948524276636e-10, 2.079505382769186537e-09, 6.547719598385791657e-10
2.084000000000000000e+03, 4.759963130835508725e-10, 2.366469381196083444e-09, 1.271381909597304786e-10, 1.556855734000383522e-09, 9.843459527004497779e-10, 2.139573172665060896e-11, 9.865870299887095599e-11, 5.170947501743534236e-10, 2.373549514329275170e-09, 6.567816566628329099e-10
2.085000000000000000e+03, 4.662785953239315933e-10, 2.352773996855283856e-09, 1.298304891002211484e-10, 1.503997451411413513e-09, 9.841055006236216371e-10, 2.408287926574737219e-11, 9.879655536220992354e-11, 5.326879104315819433e-10, 2.316180648894775817e-09, 7.000123867555437365e-10
2.086000000000000000e+03, 3.873980940383555115e-10, 2.331563429848099384e-09, 1.193769921064251361e-10, 1.941303023583187716e-09, 9.974583920159574917e-10, 1.340104804803731792e-11, 7.435958700054463673e-11, 5.346341016484597128e-10, 2.181075470816515321e-09, 7.055758607273657839e-10
2.087000000000000000e+03, 3.788352768809432623e-10, 2.320675625339650022e-09, 1.201460692272697787e-10, 1.762524550492839826e-09, 1.004541045075083525e-09, 7.998361514736483446e-12, 7.461629357625573142e-11, 5.360923500947241547e-10, 2.269432753649361772e-09, 7.099449354167755642e-10
