year, IPSL-CM6A-LR, NorESM2-MM, GFDL-ESM4, MPI-ESM1-2-LR, TaiESM1, EC-Earth3-Veg, CNRM-ESM2-1, CESM2-WACCM, CMCC-CM2-SR5, ACCESS-ESM1-5, NorESM2-LM, CanESM5, MIROC-ES2L
2.048000000000000000e+03, 4.203383154814301470e+00, 1.431136936165315010e+00, 1.111776643472403059e+01, 8.912844115977833326e+00, 5.328555179330000113e-01, 1.569286075065806196e+00, 7.601058397231181374e+00, 1.336197619432559103e+00, 3.067183485229775464e+00, 1.221948061273438801e+00, 1.264313900746537156e+00, 3.484400563373300397e+00, 7.240287778530907659e+00
2.049000000000000000e+03, 4.227547414910802104e+00, 1.475280487243644467e+00, 1.104377562502828702e+01, 8.971369447526138075e+00, 4.688694820417401710e-01, 1.606490472040624562e+00, 7.619219119612673730e+00, 1.326195620419708732e+00, 2.845099234249251818e+00, 1.215692080737360348e+00, 1.285762301199427471e+00, 3.662272377647159516e+00, 7.339876733834779010e+00
2.050000000000000000e+03, 4.207104996234785510e+00, 1.501048395218450127e+00, 1.114155224288288970e+01, 8.993200909713907620e+00, 5.188810214166731383e-01, 1.550935287795969009e+00, 7.614937279559142347e+00, 1.333678485131863711e+00, 2.287111215326746105e+00, 1.225406573452646475e+00, 1.255859420504894519e+00, 3.787911999608216451e+00, 7.291176238499123663e+00
2.051000000000000000e+03, 4.238001317462099848e+00, 1.519664310350505643e+00, 1.124564735426588413e+01, 8.985524502563885463e+00, 6.615449657327104882e-01, 1.628093896048783185e+00, 7.573174764982418594e+00, 1.348707131172593554e+00, 2.464457330823447201e+00, 1.245873710850724736e+00, 1.262222851380138122e+00, 3.854290993948439326e+00, 7.321156324132094717e+00
2.052000000000000000e+03, 4.216578462980468345e+00, 1.491940812755530477e+00, 1.133091655908103057e+01, 8.953278160745167469e+00, 7.553703735962473687e-01, 1.627046965930927014e+00, 7.552220080256292434e+00, 1.337385868469252337e+00, 2.815676387278220005e+00, 1.235843223574871752e+00, 1.300404168982168818e+00, 3.575595084982737148e+00, 7.436862932335607468e+00
2.053000000000000000e+03, 4.165983855214693499e+00, 1.464485770696891231e+00, 1.155058861153060334e+01, 9.023917129872307541e+00, 5.126774848616064695e-01, 1.513922722372007756e+00, 7.523994768662966237e+00, 1.295534789838615142e+00, 2.994321644532444981e+00, 1.195427164584261126e+00, 1.329188092768140983e+00, 3.597209932604187088e+00, 7.497393827773826125e+00
2.054000000000000000e+03, 4.195692761042939090e+00, 1.481626078179744121e+00, 1.155108505136492347e+01, 9.060941576390163732e+00, 5.117433399535458172e-01, 1.627397002952067018e+00, 7.580322860560087861e+00, 1.339421507160740932e+00, 2.531155560872663468e+00, 1.174840330223934082e+00, 1.304541276132786143e+00, 3.446168753422490294e+00, 7.476081862641398068e+00
2.055000000000000000e+03, 4.247622857234474303e+00, 1.500311886244206860e+00, 1.162339518682315642e+01, 9.210393555497415008e+00, 5.314075209850396275e-01, 1.698843140609321178e+00, 7.579544748319230862e+00, 1.438141310264615447e+00, 2.118300169355800122e+00, 1.167181194083652063e+00, 1.259159831169212040e+00, 3.483399714434984418e+00, 7.424718138966164283e+00
2.056000000000000000e+03, 4.227574630841748338e+00, 1.559142708357723395e+00, 1.191463664256011690e+01, 9.243295190496734648e+00, 6.667933924457694062e-01, 1.660752215655094455e+00, 7.563547811968541090e+00, 1.348098841611829357e+00, 2.453747715824502240e+00, 1.164900952285974345e+00, 1.316773117764520551e+00, 3.680131932504887349e+00, 7.443507861880889642e+00
2.057000000000000000e+03, 4.228093283935094426e+00, 1.488833894718934125e+00, 1.208698674292276287e+01, 9.229110334554716744e+00, 7.522533186323937526e-01, 1.615898016744111709e+00, 7.642451816932743114e+00, 1.335316313471478500e+00, 2.939357773660077999e+00, 1.155249668474605862e+00, 1.288605204590156150e+00, 3.779497306755083219e+00, 7.554375207263192671e+00
