year, CMCC-ESM2, MPI-ESM1-2-LR, CESM2-WACCM, UKESM1-0-LL, ACCESS-ESM1-5, CNRM-ESM2-1, IPSL-CM6A-LR, MIROC-ES2L
2.084000000000000000e+03, 4.133665217748462310e-10, 4.395303481346047957e-09, 1.514857297593939889e-09, 2.139573165964147333e-11, 1.650775011456639067e-10, 3.307130445673695674e-11, 4.077023869943709246e-09, 3.954215415138755377e-09
2.085000000000000000e+03, 4.158097754059065376e-10, 4.409399798164784039e-09, 1.445625025268749706e-09, 2.408287926564101809e-11, 1.655070271912838899e-10, 3.326590822891470107e-11, 3.991838349550998951e-09, 3.954767213509176192e-09
2.086000000000000000e+03, 4.185735087678562701e-10, 4.406237580912959087e-09, 1.756770353361907715e-09, 1.340104802732154883e-11, 1.618518082408576741e-10, 3.519920869828390787e-11, 3.941720151849087770e-09, 3.967162217820230341e-09
2.087000000000000000e+03, 4.208625688595103631e-10, 4.351627972876322935e-09, 1.611095759596358487e-09, 7.998362102463374015e-12, 1.606683936226628644e-10, 3.549795385301584237e-11, 4.514647819000391237e-09, 3.988009897958891858e-09
2.088000000000000000e+03, 4.226981986215370031e-10, 4.332145362546216801e-09, 1.468545426162782108e-09, 6.016127864061717109e-12, 1.608222964139822873e-10, 3.475427337062646207e-11, 4.170866850187284775e-09, 3.944843088556044271e-09
2.089000000000000000e+03, 4.241795975671078636e-10, 4.317049445387084964e-09, 1.539995055897437665e-09, 5.139050649444541726e-12, 1.604664628853387015e-10, 3.401837596712914988e-11, 4.134423106229833891e-09, 3.916023276074017612e-09
2.090000000000000000e+03, 4.235967439887875642e-10, 4.318972812754869540e-09, 1.723670804547937598e-09, 4.662046209148681531e-12, 1.604494000058784254e-10, 3.326463133537040914e-11, 4.157656278821052421e-09, 3.953650113508540505e-09
2.091000000000000000e+03, 4.215168531910355220e-10, 4.280342039894862982e-09, 1.492748685008629018e-09, 4.335969413484162989e-12, 1.684873124294849732e-10, 3.193087896029356312e-11, 4.354182610517265605e-09, 3.979235838087994844e-09
2.092000000000000000e+03, 4.199740989074626515e-10, 4.264327018975203311e-09, 1.793516829404265318e-09, 4.199569205900658962e-12, 1.716582040835743762e-10, 3.273694082680997672e-11, 4.205057480497221469e-09, 3.962276215123835022e-09
2.093000000000000000e+03, 4.188936049416600571e-10, 4.253755328665168390e-09, 1.553140753874751293e-09, 4.018187664892136589e-12, 1.737330561263022439e-10, 3.361551049329367105e-11, 3.905388798787999999e-09, 3.975108047674644478e-09
2.094000000000000000e+03, 4.181323089735084970e-10, 4.237064917289261970e-09, 1.492003498246506241e-09, 3.877875428117365258e-12, 1.747797558949479371e-10, 3.449996537213977809e-11, 4.063066119029948540e-09, 3.989066959942261823e-09
2.095000000000000000e+03, 4.178266963411393648e-10, 4.257530602805688344e-09, 1.510924368713919040e-09, 3.858620719052730920e-12, 1.753273297988171901e-10, 3.542468712328929612e-11, 4.199506081996605983e-09, 3.984651647357930939e-09
2.096000000000000000e+03, 4.178958052141897870e-10, 4.248150187031605582e-09, 1.457816020736105225e-09, 1.060408202331010489e-11, 1.777252377619368451e-10, 3.760800050060221251e-11, 4.166667104696732295e-09, 3.935283872043823660e-09
2.097000000000000000e+03, 4.181007726248495874e-10, 4.230974852033411174e-09, 1.598067132527554668e-09, 1.675783202864437386e-11, 1.787786544483809675e-10, 4.051663560005312939e-11, 4.307496011378048235e-09, 3.918817247636530616e-09
2.098000000000000000e+03, 4.182380736563151485e-10, 4.229597634544313506e-09, 1.396339224981155915e-09, 1.950125118491998268e-11, 1.791246532139610594e-10, 4.338695582967134858e-11, 4.341779780070209980e-09, 3.923251780968196855e-09
2.099000000000000000e+03, 4.171167227620276906e-10, 4.225577870510362192e-09, 1.660626432954607570e-09, 2.085737996277162433e-11, 1.790320723053546877e-10, 4.632534904744041739e-11, 4.070943394029502832e-09, 3.936047373037169331e-09
2.100000000000000000e+03, 3.734413750646218090e-10, 3.278735082074072042e-09, 1.576548275458311379e-09, 2.234490385235681774e-11, 1.798903300514523484e-10, 4.931079261481262135e-11, 4.474337331064466031e-09, 3.940114587345332082e-09
