year, INM-CM5-0, CMCC-CM2-SR5, NorESM2-MM, IPSL-CM6A-LR, CESM2-WACCM, MPI-ESM1-2-LR, CNRM-ESM2-1, UKESM1-0-LL, NorESM2-LM, ACCESS-ESM1-5, INM-CM4-8, EC-Earth3-Veg, TaiESM1, CanESM5, MIROC-ES2L, GFDL-ESM4
1.880000000000000000e+03, 2.812381935816397949e+00, 3.193838120352443966e+00, 2.394316090942778086e+00, 2.631850851676329928e+00, 3.744941499992517020e+00, 2.125048394807892649e+00, 3.222192771529922783e+00, 2.080065421523690006e+00, 2.122014108890802664e+00, 2.446140691682818336e+00, 3.600711919759608914e+00, 1.788456317614569802e+00, 3.281470319640008348e+00, 1.628719297009327827e+00, 3.062955480715914724e+00, 2.196901147753312245e+00
1.881000000000000000e+03, 3.526487991280123691e+00, 2.844260750304894447e+00, 1.812124861749161653e+00, 2.535377986320508814e+00, 2.706442299980835742e+00, 2.270625638236337007e+00, 2.626151681398161131e+00, 2.083878876047486450e+00, 2.108970395778595464e+00, 2.727007933296379250e+00, 3.480514272987389024e+00, 2.018197506363532234e+00, 3.138188027223255627e+00, 1.371634044146171849e+00, 3.204529349395310422e+00, 2.478640456701054262e+00
1.882000000000000000e+03, 2.563096013160155451e+00, 2.584406484966090822e+00, 2.824047269879071287e+00, 2.718447784936416145e+00, 2.319696565889154627e+00, 2.359502629555669806e+00, 2.654464811471829666e+00, 2.285405578056996401e+00, 1.992644292174177600e+00, 2.195381804714492624e+00, 3.616011513700509106e+00, 2.067277091910853404e+00, 3.266952863804036600e+00, 1.464419129253654361e+00, 3.446598274641058612e+00, 2.356114196400342475e+00
1.883000000000000000e+03, 3.027557672268149425e+00, 3.121769829015388797e+00, 3.003103966723548623e+00, 2.763918063722548446e+00, 2.476842454688681361e+00, 2.006934689767168489e+00, 2.804437097979425975e+00, 2.166072952435699861e+00, 1.690185812478101512e+00, 2.680642278481660146e+00, 3.478525899979792779e+00, 1.944312495391837814e+00, 3.816481037842262669e+00, 1.223356163011180442e+00, 3.311237082187290515e+00, 2.100471383494588284e+00
1.884000000000000000e+03, 2.621287679679020766e+00, 3.137382960361794204e+00, 2.683209537555245827e+00, 2.207481274842058028e+00, 2.641862821087432422e+00, 1.952422486225278808e+00, 2.459464405138197307e+00, 1.913598602233741008e+00, 1.976310854021516628e+00, 2.553521339572097038e+00, 3.020842724096438836e+00, 1.672317611298448359e+00, 3.351198493931564659e+00, 1.157381216428026161e+00, 3.334623785653612948e+00, 2.216177176756332301e+00
1.885000000000000000e+03, 2.539428138456117701e+00, 2.917932922413242203e+00, 2.867136178537909696e+00, 2.225423743326289561e+00, 3.211136769057836737e+00, 2.117941017322522157e+00, 3.019686173422570619e+00, 2.051161890303618840e+00, 1.758906671297024049e+00, 2.269386396738654721e+00, 3.257625906574101560e+00, 2.540776556449917400e+00, 3.678985772109848451e+00, 1.381352938928328333e+00, 3.303788851396976423e+00, 2.127826441098639609e+00
1.886000000000000000e+03, 2.653455268152319135e+00, 2.828006287107782679e+00, 2.470950371246272592e+00, 2.829074972766814078e+00, 2.117575348228292409e+00, 2.276608106138011678e+00, 2.283270587864579149e+00, 2.022426737619103854e+00, 2.053498198353996163e+00, 1.995534664480496101e+00, 3.223479970043533704e+00, 2.033176533890464377e+00, 3.554745392898103429e+00, 1.304129908155517548e+00, 3.411384179250005033e+00, 2.749970330093872484e+00
1.887000000000000000e+03, 3.161570646200079882e+00, 3.278982625055545608e+00, 2.512218203821630080e+00, 2.682640007025207662e+00, 2.569746509319282168e+00, 2.104577717788443270e+00, 2.803664410645418936e+00, 1.777530429201154671e+00, 1.680012805724999891e+00, 2.418454739996672043e+00, 3.646263008497144131e+00, 2.160389198186801085e+00, 3.099791410539662451e+00, 1.291221591846011707e+00, 3.536508424253016702e+00, 2.232839977169693402e+00
1.888000000000000000e+03, 2.840284594448039712e+00, 3.395768339521981982e+00, 2.149643868128979118e+00, 3.022006687923426860e+00, 2.662738226590248392e+00, 1.989485547901642670e+00, 2.896212194200692647e+00, 1.608694264157018106e+00, 1.107227389410237128e+00, 2.445438919149864443e+00, 3.206358941855800726e+00, 2.317952997599763254e+00, 3.704075296665536143e+00, 1.134862941443921081e+00, 3.182847136488184514e+00, 2.162358012042312261e+00
1.889000000000000000e+03, 2.985081717411876667e+00, 2.786637304065186171e+00, 2.857242353365074372e+00, 2.603466406307231473e+00, 2.790102514299575454e+00, 2.203612122442553556e+00, 2.742740791995101013e+00, 2.221400221925807550e+00, 1.920591407704160591e+00, 2.433626094551597951e+00, 3.707882169530921423e+00, 2.239878957092710898e+00, 3.208481963840307927e+00, 1.288964841720424692e+00, 3.241215845730435419e+00, 2.152405594084368268e+00
1.890000000000000000e+03, 2.839423850667204263e+00, 3.063301721162825952e+00, 2.831025537373949685e+00, 2.401611355623659794e+00, 2.594385975192451177e+00, 2.109932656360641978e+00, 2.694989760772691589e+00, 2.245654744369466105e+00, 2.098407791287532742e+00, 2.505986364355241580e+00, 3.370522085025175141e+00, 2.191908759031484966e+00, 3.069584421810510388e+00, 1.289649936726810164e+00, 3.642626967376120017e+00, 2.327623530714708622e+00
1.891000000000000000e+03, 2.512258379834555910e+00, 3.008165815439941326e+00, 2.027721697020612890e+00, 2.535262740552224336e+00, 2.598993196748885293e+00, 1.846367254323935114e+00, 2.685745052605631233e+00, 1.760245222557019762e+00, 1.514943595220539008e+00, 2.460887103232526574e+00, 3.437389996797599601e+00, 2.180185321919142272e+00, 3.547106488736179841e+00, 1.735409393129107913e+00, 3.525117263201029250e+00, 2.392102690060144976e+00
1.892000000000000000e+03, 2.979164071630789223e+00, 2.813986852315579323e+00, 2.474499438712286725e+00, 2.492248538268115876e+00, 2.349795945750851711e+00, 2.119114082041992919e+00, 2.323497083737477542e+00, 2.368201394966054973e+00, 1.891698215964275676e+00, 2.336864031382008378e+00, 4.056088960445257463e+00, 2.528330163776632222e+00, 3.979304123453084152e+00, 1.171607831808700650e+00, 3.032722490716417418e+00, 2.501069816898094267e+00
1.893000000000000000e+03, 2.794682716485130669e+00, 2.458412277918536226e+00, 2.588082127340552319e+00, 2.930850526623345775e+00, 2.547511434042944334e+00, 2.039258268493306492e+00, 2.211875648634884950e+00, 2.359907173648208012e+00, 1.721023113159276807e+00, 2.405580297885790308e+00, 3.810766814569426231e+00, 2.369627340001148497e+00, 3.507859717303633662e+00, 1.424845840972625455e+00, 3.284060755962110445e+00, 2.349959020786700048e+00
1.894000000000000000e+03, 2.937378839999539082e+00, 2.348451577522668199e+00, 2.085207983932247267e+00, 2.713079030145440829e+00, 2.248556668273983483e+00, 2.111826321060389589e+00, 2.542015504930767111e+00, 2.028386917465021533e+00, 2.044218640021764788e+00, 2.611418164254024621e+00, 3.513913823881809506e+00, 2.559847012631258689e+00, 3.219681130672921832e+00, 1.333920181734042032e+00, 3.615577536455170549e+00, 2.286608333035023310e+00
