year, UKESM1-0-LL, NorESM2-LM, CNRM-ESM2-1, CMCC-CM2-SR5, MIROC-ES2L, NorESM2-MM, CanESM5, EC-Earth3-Veg, ACCESS-ESM1-5, GFDL-ESM4, CESM2-WACCM, IPSL-CM6A-LR, TaiESM1, MPI-ESM1-2-LR
1.953000000000000000e+03, 3.199953699164889898e+01, 1.311007352477961518e+01, 3.527355209449113715e+01, 3.979733589525156390e+01, 1.674796339597998696e+01, 1.270016675366772319e+01, 2.228817320074065478e+01, 2.663590311246797171e+01, 1.253869705361838705e+01, 3.943415570729670971e+00, 1.290502951491093420e+01, 1.086737222125196745e+01, 1.237647050049483255e+01, 1.373148687032875515e+01
1.954000000000000000e+03, 3.194404530671282672e+01, 1.310728827663731799e+01, 3.529703671542083754e+01, 3.975343201606651178e+01, 1.669412487545987744e+01, 1.270353964122531032e+01, 2.232208885986974067e+01, 2.662479699629807328e+01, 1.255448071765702878e+01, 3.919830512237450826e+00, 1.288931200470973870e+01, 1.085880892222972705e+01, 1.235224047244518886e+01, 1.375473140614833234e+01
1.955000000000000000e+03, 3.187778789717278727e+01, 1.311490405597126951e+01, 3.531900910871713251e+01, 3.971458346371749570e+01, 1.667008857528443500e+01, 1.270005321380202368e+01, 2.233249708068538908e+01, 2.661133500952662345e+01, 1.255964745568310548e+01, 3.919119218424855777e+00, 1.288606774987752068e+01, 1.086976968767623752e+01, 1.238484653674142244e+01, 1.376081092307562947e+01
1.956000000000000000e+03, 3.191220453417244940e+01, 1.311103397250584734e+01, 3.535289546172555220e+01, 3.975588901508168505e+01, 1.664016353589064678e+01, 1.269621874743427270e+01, 2.233141527918241920e+01, 2.661512098831207851e+01, 1.258242907598591742e+01, 3.950238347683264539e+00, 1.289079597294288959e+01, 1.086478763703128081e+01, 1.247191842066883538e+01, 1.374307330339749633e+01
1.957000000000000000e+03, 3.196068112739776979e+01, 1.310125208308534717e+01, 3.538305741492489176e+01, 3.978854279633711144e+01, 1.659842096280044643e+01, 1.268411769663478417e+01, 2.234032668297631830e+01, 2.662738535826660424e+01, 1.259242726644871624e+01, 3.963713228633447994e+00, 1.289501416692329272e+01, 1.085520207908280454e+01, 1.243657672220430399e+01, 1.376845043721579032e+01
1.958000000000000000e+03, 3.198238367707911678e+01, 1.310883316381969621e+01, 3.540344417086486573e+01, 3.976408874558820372e+01, 1.654108439618150328e+01, 1.269100844645863191e+01, 2.236082157731500786e+01, 2.662794926538097684e+01, 1.259910818574397240e+01, 3.954823327989858139e+00, 1.289377948380578154e+01, 1.085070049519940660e+01, 1.243609075910122286e+01, 1.375767876065434692e+01
1.959000000000000000e+03, 3.195535335784778042e+01, 1.311569030387569157e+01, 3.542231278946722028e+01, 3.970007062507822582e+01, 1.649370451688550077e+01, 1.269630035900375020e+01, 2.236381440195594195e+01, 2.662400313995921053e+01, 1.260754799025747985e+01, 3.910755039703321057e+00, 1.288301106279677555e+01, 1.083693977252056762e+01, 1.240150473088302796e+01, 1.379040483892874924e+01
1.960000000000000000e+03, 3.198691604397284394e+01, 1.311215522310248005e+01, 3.545812108485968395e+01, 3.969993325608199086e+01, 1.644377432645504200e+01, 1.270961570124393525e+01, 2.237051295797892791e+01, 2.662628766325699914e+01, 1.260432153986485204e+01, 3.907052490179178772e+00, 1.286598145752590661e+01, 1.083227465411389900e+01, 1.242355149872962095e+01, 1.374974065640318699e+01
1.961000000000000000e+03, 3.203815782921027733e+01, 1.310111437804838630e+01, 3.549573769573871829e+01, 3.978815756607362175e+01, 1.638342317017195171e+01, 1.271875027378487211e+01, 2.237062207186212603e+01, 2.663453924343189883e+01, 1.260742940327925687e+01, 3.909718612719188524e+00, 1.287362463809227009e+01, 1.082060913028988303e+01, 1.243411711035811074e+01, 1.371959721754032380e+01
1.962000000000000000e+03, 3.195409091967492188e+01, 1.310609237953116768e+01, 3.552458444037326757e+01, 3.979942869635866032e+01, 1.630564000953490122e+01, 1.272950209316973158e+01, 2.236323421575973569e+01, 2.664355651465303865e+01, 1.260977246960762876e+01, 3.918604275471908149e+00, 1.289321204637457363e+01, 1.081530970370156020e+01, 1.246199680853344560e+01, 1.373970629257642173e+01
1.963000000000000000e+03, 3.186486889731064309e+01, 1.310318099504061706e+01, 3.554879501317416413e+01, 3.982680071470672800e+01, 1.628879677772479795e+01, 1.273217502850614302e+01, 2.235587533315456099e+01, 2.664944886116693468e+01, 1.260917167279269968e+01, 3.929482903595213461e+00, 1.290711945586499354e+01, 1.079897390599537133e+01, 1.239844928129469181e+01, 1.372464089763560402e+01
1.964000000000000000e+03, 3.187913686977714534e+01, 1.309605360797166007e+01, 3.556985439167026186e+01, 3.988557381244284272e+01, 1.629399465800858238e+01, 1.273344576148336671e+01, 2.236808885346154696e+01, 2.665379932669542029e+01, 1.260807623657482957e+01, 3.948917028751634195e+00, 1.291719434299252178e+01, 1.080008678747042161e+01, 1.239306259973594848e+01, 1.369965198894385061e+01
1.965000000000000000e+03, 3.192205708387081486e+01, 1.310291157903156645e+01, 3.557473072564945227e+01, 3.991250206269084799e+01, 1.629284231694218121e+01, 1.273426070736000781e+01, 2.238145218412866200e+01, 2.665243411466571999e+01, 1.262570649485748397e+01, 3.923096396542700592e+00, 1.291598905499976624e+01, 1.078708897635922526e+01, 1.244243887446400443e+01, 1.372968719646805980e+01
1.966000000000000000e+03, 3.195083603862114430e+01, 1.311626584678054819e+01, 3.558745210184708441e+01, 3.992110424404970104e+01, 1.625515338425369904e+01, 1.273676589933252856e+01, 2.238075362696644177e+01, 2.664097673992148430e+01, 1.264329531293890163e+01, 3.908594325226126376e+00, 1.292403724100140039e+01, 1.077401627247273730e+01, 1.243028979760213559e+01, 1.373934864118707644e+01
1.967000000000000000e+03, 3.196774915143244300e+01, 1.311107005640888978e+01, 3.559238048126640308e+01, 3.989917251237226736e+01, 1.621963601126526200e+01, 1.272694091130826166e+01, 2.238447522434798032e+01, 2.663640857150327435e+01, 1.265944933483697277e+01, 3.881263841343917331e+00, 1.292964394694230457e+01, 1.076461852379955531e+01, 1.242335438098439404e+01, 1.375450285366718362e+01
1.968000000000000000e+03, 3.202114590232432079e+01, 1.310385438248068191e+01, 3.560087863916911743e+01, 3.990187856988904258e+01, 1.618808257059462008e+01, 1.272228792640831507e+01, 2.239687366504999844e+01, 2.663726218863720518e+01, 1.266696608227145937e+01, 3.858222582931667421e+00, 1.293522147307741044e+01, 1.075990728103550431e+01, 1.249981528927789576e+01, 1.372271898094067133e+01
1.969000000000000000e+03, 3.199908458272992462e+01, 1.310389103184716753e+01, 3.565076707669071965e+01, 3.994425373392675027e+01, 1.615741642006476653e+01, 1.273278869580820682e+01, 2.241248480420324185e+01, 2.662932886494981588e+01, 1.266240079040995603e+01, 3.867066378852314301e+00, 1.293423893333630836e+01, 1.075433286992582183e+01, 1.242004841178330210e+01, 1.368475703570311452e+01
1.970000000000000000e+03, 3.197963799814471741e+01, 1.312351692878663734e+01, 3.569780973150279380e+01, 3.998474418274638253e+01, 1.612023100126887698e+01, 1.275221604622698379e+01, 2.240979703092861541e+01, 2.662102588579905316e+01, 1.265643265603138268e+01, 3.862639650864009955e+00, 1.293362831583090156e+01, 1.073534075462814741e+01, 1.243196900761580359e+01, 1.367260752722907391e+01
1.971000000000000000e+03, 3.193206720541448718e+01, 1.313271360066583604e+01, 3.576057507676187441e+01, 4.005166481516606325e+01, 1.606596271013137311e+01, 1.276664905238527759e+01, 2.240512465358682448e+01, 2.661742085743716046e+01, 1.265648751698123498e+01, 3.888194919560885587e+00, 1.294362593651480786e+01, 1.071341361214915544e+01, 1.248541171214287537e+01, 1.368876343397298356e+01
1.972000000000000000e+03, 3.189234865897954307e+01, 1.313158230193611331e+01, 3.582561150632592728e+01, 4.009168043211584376e+01, 1.602904322624985411e+01, 1.279524271343159292e+01, 2.241785558481520368e+01, 2.660860210643917867e+01, 1.265960040095814954e+01, 3.902759611203428847e+00, 1.295805609618514964e+01, 1.071586608615595715e+01, 1.239231921547941795e+01, 1.367370721217124618e+01
1.973000000000000000e+03, 3.181279012935087280e+01, 1.313664904738233119e+01, 3.584891832535422651e+01, 4.000884276035708353e+01, 1.601880890147616299e+01, 1.281875443481786725e+01, 2.243659470948451684e+01, 2.660508915515022110e+01, 1.266838559681496434e+01, 3.897596889070010562e+00, 1.297834282923060378e+01, 1.069985060065098459e+01, 1.238501411483663972e+01, 1.365634499631073417e+01
1.974000000000000000e+03, 3.173135215910687279e+01, 1.315571598364053862e+01, 3.587576054499536582e+01, 3.995680748254871872e+01, 1.601516763830656487e+01, 1.284244464387618301e+01, 2.241423671169948406e+01, 2.661121405177485144e+01, 1.267452702463540959e+01, 3.899300997830541071e+00, 1.298161656104359807e+01, 1.068623902191054498e+01, 1.243455599182212623e+01, 1.364580852183212123e+01
1.975000000000000000e+03, 3.166479112304256560e+01, 1.316937769552872162e+01, 3.588904769286103402e+01, 3.999376032223496935e+01, 1.597586503347676867e+01, 1.286411913030207721e+01, 2.240646801931387344e+01, 2.661484183212645149e+01, 1.269777564034263051e+01, 3.912756318940238121e+00, 1.299276703309055492e+01, 1.068582847266989866e+01, 1.250903189118368353e+01, 1.363283794797921900e+01
1.976000000000000000e+03, 3.167005175000596751e+01, 1.317974669941574994e+01, 3.594674534137847388e+01, 4.004488559502134137e+01, 1.593779529276542206e+01, 1.287544957169813209e+01, 2.240794290782425335e+01, 2.661766668469696029e+01, 1.271822291902919488e+01, 3.904500617415805674e+00, 1.301195780042397665e+01, 1.069852140176588584e+01, 1.254119395159657024e+01, 1.365344689819718305e+01
1.977000000000000000e+03, 3.162368968435758987e+01, 1.320777073586188877e+01, 3.598800654696697876e+01, 4.011496926642220018e+01, 1.590475320341323062e+01, 1.289276338364553887e+01, 2.238318991731093277e+01, 2.661564172033422082e+01, 1.272351382797789832e+01, 3.897144289737993095e+00, 1.302632958115813722e+01, 1.068302733895932377e+01, 1.239478322604261962e+01, 1.368587548959892963e+01
1.978000000000000000e+03, 3.164145068862788435e+01, 1.321561097262893547e+01, 3.602540349356447535e+01, 4.014826639146919973e+01, 1.588380300091253439e+01, 1.292238766935270178e+01, 2.240207871939281858e+01, 2.661153127870252177e+01, 1.272634799681341455e+01, 3.885776134750927646e+00, 1.304414961582842558e+01, 1.067845238804304309e+01, 1.229311962311231632e+01, 1.364629092545385980e+01
1.979000000000000000e+03, 3.160727920506938204e+01, 1.322518080753713221e+01, 3.605779390439627008e+01, 4.021163112711759879e+01, 1.586723437796599789e+01, 1.294271098244676210e+01, 2.242993988045933307e+01, 2.661659454012514558e+01, 1.273187086132990231e+01, 3.870596838570596443e+00, 1.305299509715855955e+01, 1.067545061760452718e+01, 1.234808320225785572e+01, 1.358691558540613720e+01
1.980000000000000000e+03, 3.164488606807137216e+01, 1.324291659373712093e+01, 3.608561777687278038e+01, 4.028662233960413630e+01, 1.583478366181614838e+01, 1.295676970728160171e+01, 2.243064014897501579e+01, 2.661926165386299203e+01, 1.273495332749179454e+01, 3.883628154052724657e+00, 1.306584318310054194e+01, 1.067023774183394202e+01, 1.245078738966586229e+01, 1.359300145795018722e+01
1.981000000000000000e+03, 3.164173193094497449e+01, 1.325922657339834210e+01, 3.615270877823880369e+01, 4.033098400316742982e+01, 1.580472967834243114e+01, 1.297048306757271519e+01, 2.245264830584786964e+01, 2.661504235544409269e+01, 1.272444910567092435e+01, 3.905308364568634172e+00, 1.310045020475138244e+01, 1.064865946598656876e+01, 1.239890145633037122e+01, 1.363408897345310500e+01
1.982000000000000000e+03, 3.151242800493126595e+01, 1.329368219319940003e+01, 3.618197324902217105e+01, 4.036588684242601488e+01, 1.578565338878203050e+01, 1.298136379847594668e+01, 2.245143254380937492e+01, 2.661834931502622581e+01, 1.271864763943554344e+01, 3.892079360756893536e+00, 1.312206805231577711e+01, 1.062960381534777277e+01, 1.236266195027187820e+01, 1.364649695768597937e+01
1.983000000000000000e+03, 3.144528781723429844e+01, 1.331582202117393265e+01, 3.623965150160927351e+01, 4.042325697214637614e+01, 1.578712487704695988e+01, 1.301119944090167202e+01, 2.244063798887185612e+01, 2.663567180731558892e+01, 1.272719360388470200e+01, 3.877303097422193812e+00, 1.313856767258756264e+01, 1.062736138521086282e+01, 1.249839484074449381e+01, 1.365164796148930471e+01
1.984000000000000000e+03, 3.139226312013297715e+01, 1.333738417724494063e+01, 3.629081175877649912e+01, 4.046479898745059245e+01, 1.579451416804102060e+01, 1.304229020478541301e+01, 2.246459594009022709e+01, 2.663967347617312953e+01, 1.273426310658944516e+01, 3.862670672081330192e+00, 1.316087506640628924e+01, 1.061929326872460777e+01, 1.257879192105242971e+01, 1.365368439806555578e+01
