year, MPI-ESM1-2-LR, CNRM-ESM2-1, UKESM1-0-LL, EC-Earth3-Veg, CESM2-WACCM, CMCC-CM2-SR5, IPSL-CM6A-LR, ACCESS-ESM1-5, MIROC-ES2L
1.924000000000000000e+03, 4.225995412523713135e-01, 3.461526282694771944e-02, 7.491153118177303408e-05, 1.195721763657271210e-02, 1.025981259502225101e-01, 5.916475841802598667e-02, 2.048720938040652154e-02, 8.928299750525452161e-02, 7.448481191208597973e-01
1.925000000000000000e+03, 4.053752722541182352e-01, 3.826238399089555708e-02, 6.809133726299420708e-05, 1.208868525639658631e-02, 1.029073654369481450e-01, 6.001676233769483171e-02, 2.086433690765514964e-02, 9.463174510554467345e-02, 7.521169286431664824e-01
1.926000000000000000e+03, 4.129683826683473447e-01, 4.135584840071731411e-02, 6.505041003237633395e-05, 1.222951258238551102e-02, 1.100957814755085667e-01, 6.102587675997640099e-02, 2.122295220565876064e-02, 9.989128122789536768e-02, 7.594268086629626380e-01
1.927000000000000000e+03, 4.223130751146612627e-01, 4.397833108019871123e-02, 7.045057802155996923e-05, 1.237168250811569205e-02, 1.144506150379165366e-01, 6.218637715364699892e-02, 2.176372798101318395e-02, 1.049300367997446914e-01, 7.637109127225009120e-01
1.928000000000000000e+03, 4.175138270123402995e-01, 4.625960199920437638e-02, 7.624240820498311394e-05, 1.251721466264396274e-02, 1.130269216136973454e-01, 6.341916046513446092e-02, 2.219934271862996841e-02, 1.098127616214724239e-01, 7.674618030231139532e-01
1.929000000000000000e+03, 4.265323030047755148e-01, 4.803438619815163929e-02, 7.796989619279836930e-05, 1.266544074604673310e-02, 1.153661102550170986e-01, 6.471070442009876911e-02, 2.289155552451151501e-02, 1.146783735841128971e-01, 7.714925730551492888e-01
1.930000000000000000e+03, 4.321509775717664037e-01, 4.894482569713583253e-02, 7.251994855781449065e-05, 1.288094252642990427e-02, 1.169209692948381257e-01, 6.614425914063618017e-02, 2.353574426652637816e-02, 1.192587198217067018e-01, 7.762053469094543079e-01
1.931000000000000000e+03, 4.241596872807050222e-01, 4.982502352304797599e-02, 7.206425781746815962e-05, 1.302857416155986034e-02, 1.191032632331917585e-01, 6.769891952824272363e-02, 2.410635488234073517e-02, 1.232965707684505474e-01, 7.804013238825077137e-01
1.932000000000000000e+03, 4.355621866039856016e-01, 5.058329590369657625e-02, 7.785814364328181127e-05, 1.317278862351231421e-02, 1.228624339710037844e-01, 6.919565944306185767e-02, 2.487274086208381141e-02, 1.273000772120219115e-01, 7.858998107337973327e-01
1.933000000000000000e+03, 4.361823019114728917e-01, 5.139974606974877236e-02, 8.313320535121735896e-05, 1.329374829876832538e-02, 1.272735039752813657e-01, 7.070897236229160832e-02, 2.549836984416282287e-02, 1.312030435728882283e-01, 7.927744143827519796e-01
