year, UKESM1-0-LL, MPI-ESM1-2-LR, TaiESM1, NorESM2-MM, EC-Earth3-Veg, CESM2-WACCM, NorESM2-LM, IPSL-CM6A-LR
1.901000000000000000e+03, 1.044724434559283437e-09, 1.032049658709142988e-09, 5.172939601694620263e-11, 6.360095991356667362e-11, 5.224357182886966621e-10, 1.745852972847514013e-10, 4.459939941149584801e-11, 1.739047097306697664e-09
1.902000000000000000e+03, 9.980361463655218427e-10, 1.040028124492299698e-09, 5.171770262511052994e-11, 6.374438176420950450e-11, 3.565884098234184520e-10, 1.709179344314833853e-10, 4.461337423606658464e-11, 1.560814989758796417e-09
1.903000000000000000e+03, 1.079381898877906374e-09, 9.387673917554214075e-10, 5.138216907322012102e-11, 6.321245259167418924e-11, 5.784830713813253229e-10, 1.731246414457959916e-10, 4.441616408623230812e-11, 1.637354802270086366e-09
1.904000000000000000e+03, 8.285025479734132576e-10, 8.025192793990846494e-10, 5.107241489679733688e-11, 6.325589657778554721e-11, 4.703147136007702436e-10, 2.052513922676347956e-10, 4.361148623346634810e-11, 1.247175259916859257e-09
1.905000000000000000e+03, 8.456669943070261230e-10, 7.571932154416071197e-10, 5.085638334217240981e-11, 6.305854317136217905e-11, 6.011093871918700691e-10, 1.715377730893684481e-10, 4.251544175875561574e-11, 1.396242466117427587e-09
1.906000000000000000e+03, 8.233294309025573772e-10, 8.086964981097900712e-10, 5.064722491159353562e-11, 6.177993258426813502e-11, 4.591953492445354738e-10, 1.418850821425087490e-10, 4.234092378236145534e-11, 1.566646029377995189e-09
1.907000000000000000e+03, 8.651879350502771655e-10, 9.302862646077340052e-10, 5.030020277530645271e-11, 6.139789754852932349e-11, 5.524432895237043175e-10, 1.935848022411335255e-10, 4.207963591811819404e-11, 1.472347079039464232e-09
1.908000000000000000e+03, 1.081428799483313715e-09, 9.081571494841542637e-10, 4.981595208679325534e-11, 6.053572440382537973e-11, 3.814276445862461695e-10, 2.120783067314285087e-10, 4.181893283302200831e-11, 1.570443189790710433e-09
1.909000000000000000e+03, 7.657807380637071926e-10, 9.626487818529273000e-10, 4.931604601957753887e-11, 5.972650920768289035e-11, 4.178803162279183059e-10, 2.092311211293176996e-10, 4.152544806767914889e-11, 1.421492505137409705e-09
1.910000000000000000e+03, 8.393413001783410909e-10, 9.708298156628658881e-10, 4.908442127598674298e-11, 5.971104142830916432e-11, 6.690432067492337807e-10, 1.942379794187061818e-10, 4.150823382304630735e-11, 1.263285933989653139e-09
1.911000000000000000e+03, 9.908010013793694138e-10, 8.415002994982099397e-10, 4.944846011326537994e-11, 6.007888122473240431e-11, 4.366186252163479145e-10, 1.918010206898848063e-10, 4.173391088002700674e-11, 1.275781381943079580e-09
1.912000000000000000e+03, 9.855104498622638612e-10, 8.484560337513666281e-10, 4.975400973721366728e-11, 6.053269923693736644e-11, 6.294821557156038390e-10, 2.109795188187094795e-10, 4.215023057754854927e-11, 1.356813476745227080e-09
1.913000000000000000e+03, 6.220735581429452392e-10, 8.354311717270609086e-10, 4.996105524338092785e-11, 6.074991147901538514e-11, 4.024718552076199026e-10, 2.267518594158878902e-10, 4.240214067580371511e-11, 1.425418462335889177e-09
1.914000000000000000e+03, 8.399759318714970602e-10, 7.817514621949230360e-10, 4.990776931951088390e-11, 6.010787353192808923e-11, 5.957420601081057102e-10, 2.005250165538836761e-10, 4.238082523817813154e-11, 1.393833535756096913e-09
1.915000000000000000e+03, 1.001523257815538752e-09, 8.568256683396781863e-10, 4.975623896327531809e-11, 5.992157310037237837e-11, 5.312068496524823972e-10, 2.158734088733375520e-10, 4.232138351907862634e-11, 1.402635378534409790e-09
1.916000000000000000e+03, 9.861079210143472437e-10, 9.777649823857911300e-10, 4.956265039179911137e-11, 5.960588583995582028e-11, 5.759752331777711357e-10, 2.046311125938856598e-10, 4.220936899417495509e-11, 1.381556496488416938e-09
1.917000000000000000e+03, 9.140286742308433031e-10, 9.001978574951422506e-10, 4.949168422427022053e-11, 5.937382914041232357e-11, 4.257542917177459410e-10, 1.968303696068469234e-10, 4.213079761932942973e-11, 1.600860978459088678e-09
1.918000000000000000e+03, 9.191901404539786511e-10, 8.978676418090326825e-10, 4.937296392140029488e-11, 5.914698657709867377e-11, 5.590967468817227138e-10, 1.991533863334649731e-10, 4.118186863536761251e-11, 1.648549565698432727e-09
1.919000000000000000e+03, 9.830132481585486169e-10, 8.127580261518808336e-10, 4.922187524321248625e-11, 5.872344857496179757e-11, 5.576092129671138115e-10, 2.003912029656860363e-10, 4.101444030125375059e-11, 1.571879971562396758e-09
1.920000000000000000e+03, 8.360800210476609084e-10, 8.290117363074098186e-10, 4.944020323128035865e-11, 5.875368110221911833e-11, 5.441003101192269684e-10, 2.419681459009516825e-10, 4.048796651723072751e-11, 1.535699972664000770e-09
1.921000000000000000e+03, 8.734717648310786429e-10, 8.552211887813689804e-10, 4.877947379253346564e-11, 5.776673375284987098e-11, 6.004410836904525506e-10, 2.995280023307088465e-10, 3.943947760588130314e-11, 1.271759368004003304e-09
