year, CNRM-ESM2-1, TaiESM1, NorESM2-MM, GFDL-ESM4, NorESM2-LM
1.916000000000000000e+03, 1.175522999344002931e-10, 5.418167508482431068e-10, 3.718771970658492800e-10, 2.995135843840628883e-10, 3.990032479120166041e-10
1.917000000000000000e+03, 1.207238644737707772e-10, 4.881551120345519739e-10, 3.650313320125248571e-10, 2.858491734206657584e-10, 1.756032281832741646e-10
1.918000000000000000e+03, 1.191093296567077452e-10, 4.053048118068825346e-10, 3.869855042470251489e-10, 3.697657971921892924e-10, 3.022102506012154048e-10
1.919000000000000000e+03, 7.716137889818401494e-11, 4.262346673766896471e-10, 2.931795351750538151e-10, 3.006593893963937399e-10, 3.550651146804557858e-10
1.920000000000000000e+03, 1.177428109712418246e-10, 3.975901693757586915e-10, 5.754026483049374721e-10, 2.564271769590170576e-10, 3.543175490432861268e-10
1.921000000000000000e+03, 1.403357045682060067e-10, 3.784322614051012476e-10, 5.414066630346044165e-10, 3.023258983092530801e-10, 3.142634594640540321e-10
1.922000000000000000e+03, 9.694651432490076613e-11, 4.600515600223816974e-10, 4.812908149802272927e-10, 4.597242315873277643e-10, 4.446682032520398170e-10
1.923000000000000000e+03, 1.387523755662330144e-10, 4.465876626492926949e-10, 5.554847024637377860e-10, 3.941097571377621022e-10, 4.334227806098556731e-10
1.924000000000000000e+03, 1.023651637203122222e-10, 5.452903319324126192e-10, 6.581988904524773899e-10, 2.892158737003633812e-10, 4.336639131511790009e-10
1.925000000000000000e+03, 1.123670928000552636e-10, 2.026602906974472344e-10, 4.677863504238687175e-10, 3.233257383007022458e-10, 3.049117620748288840e-10
1.926000000000000000e+03, 1.110039244822182066e-10, 3.563158757659027049e-10, 4.033576356824139259e-10, 2.722883281779926354e-10, 3.274987654021513140e-10
1.927000000000000000e+03, 9.916222954865837704e-11, 4.942276003236787913e-10, 4.889743439041189032e-10, 2.782607840709948610e-10, 4.540017695039603208e-10
1.928000000000000000e+03, 1.221557608743801875e-10, 5.705411023684966630e-10, 5.811223157769984898e-10, 2.934899896280546122e-10, 3.601179661868059409e-10
1.929000000000000000e+03, 1.268916268244927755e-10, 4.255772827905952544e-10, 7.971548855060925997e-10, 2.728950306837073723e-10, 2.903237423577170870e-10
1.930000000000000000e+03, 9.202016311292407964e-11, 4.930057845732580152e-10, 6.632613901820515251e-10, 3.327183674324137931e-10, 3.651081560073967412e-10
1.931000000000000000e+03, 1.224436907664253243e-10, 7.038146009707694378e-10, 5.293546670223080519e-10, 2.573618898650166053e-10, 5.114059445067383712e-10
1.932000000000000000e+03, 7.141626133059890448e-11, 4.232766619447677125e-10, 5.612099031104641503e-10, 4.210992724685442231e-10, 4.582216213261601790e-10
1.933000000000000000e+03, 1.246508731784876210e-10, 3.420141230100250401e-10, 4.545383895731205487e-10, 2.920807812354057726e-10, 3.197525745642988985e-10
1.934000000000000000e+03, 1.157250970165792755e-10, 5.196831728445752430e-10, 6.616371011405369030e-10, 2.976838682940900919e-10, 2.921796644569700157e-10
1.935000000000000000e+03, 1.255865347840062100e-10, 4.251757288893070867e-10, 5.803694356807712970e-10, 3.644030503962723426e-10, 3.171059478239645058e-10
1.936000000000000000e+03, 1.252910884725765775e-10, 5.775492194370903331e-10, 3.855059487850930512e-10, 3.332491539342181797e-10, 2.373635269276289556e-10
1.937000000000000000e+03, 1.403840827704810022e-10, 5.066507245394490233e-10, 5.878642801198886775e-10, 2.393471371789621292e-10, 2.995958791573779719e-10
1.938000000000000000e+03, 8.959521697305109327e-11, 5.973156589436541304e-10, 5.869958701970667298e-10, 3.339105989412226431e-10, 2.690014662658213736e-10
1.939000000000000000e+03, 1.339872659794803173e-10, 3.697127558004942953e-10, 3.843136150981680518e-10, 3.232973055687192924e-10, 3.008295010989942093e-10
1.940000000000000000e+03, 1.452059700919989715e-10, 8.412713933524892174e-10, 4.355462903443027388e-10, 2.767407397114633301e-10, 4.819410429930353522e-10
1.941000000000000000e+03, 1.215868128383733083e-10, 8.156074202461178963e-10, 3.858091979389576889e-10, 1.734487492011060645e-10, 2.771241029344938276e-10
1.942000000000000000e+03, 8.968332685637940460e-11, 6.014782721889079002e-10, 5.270427383121191175e-10, 5.278185770158204418e-10, 2.362124990511885528e-10
1.943000000000000000e+03, 1.597535715479309946e-10, 6.383792586298040948e-10, 5.036246964490286219e-10, 3.050341257481866756e-10, 4.417941762937412581e-10
1.944000000000000000e+03, 1.069162751934766979e-10, 6.075318743771150573e-10, 3.871748452905432007e-10, 2.424286911300305277e-10, 2.874072890516217295e-10
1.945000000000000000e+03, 1.159857936115507694e-10, 4.896753837283829224e-10, 5.408134328826910314e-10, 2.324711088049130068e-10, 2.823203405864485425e-10
1.946000000000000000e+03, 7.448786197642075092e-11, 3.384649781840478976e-10, 7.130560528642013780e-10, 3.016384579145318023e-10, 4.294628947466792009e-10
1.947000000000000000e+03, 1.212420338032385324e-10, 3.176650583524696500e-10, 6.361096513893483567e-10, 3.031639728200357450e-10, 2.974506379679925153e-10
1.948000000000000000e+03, 1.036023298420077377e-10, 4.142152465976673068e-10, 3.931211490551197419e-10, 2.321787203614208563e-10, 2.980298444246768959e-10
