year, MPI-ESM1-2-LR, CMCC-ESM2, UKESM1-0-LL, CESM2-WACCM, MIROC-ES2L, ACCESS-ESM1-5, IPSL-CM6A-LR, CNRM-ESM2-1
1.919000000000000000e+03, 3.247993898159524969e-10, 8.499087053061382887e-11, 3.555624651304128196e-12, 1.633077128662735046e-10, 2.818563777629557949e-10, 5.603432162342961256e-11, 3.781542968644381514e-10, 2.318449974894915333e-11
1.920000000000000000e+03, 3.435926248297492301e-10, 8.394522406391561335e-11, 3.229083969579795722e-12, 1.631876768107767261e-10, 3.183397129679455543e-10, 5.402416872497217281e-11, 3.666510588946170276e-10, 1.531189369501264800e-11
1.921000000000000000e+03, 3.593161675133102609e-10, 8.360982973986093991e-11, 2.931450572689261592e-12, 1.652752561206607309e-10, 3.278696843400611097e-10, 6.254481468919270620e-11, 4.130219280348753956e-10, 1.499080458813258892e-11
1.922000000000000000e+03, 3.487725962130772802e-10, 8.339936877262893119e-11, 2.667795245421176138e-12, 1.586702577495469393e-10, 3.353656785045919098e-10, 6.561861439525131458e-11, 4.349222416020815844e-10, 1.721899594994882155e-11
1.923000000000000000e+03, 3.674823768304825451e-10, 8.330195617470412947e-11, 2.432930647953822328e-12, 1.530409369623622872e-10, 3.411138532274968924e-10, 6.682533498862813301e-11, 3.394137543406100766e-10, 1.948174336002072127e-11
1.924000000000000000e+03, 3.733398366466152104e-10, 8.330916341498044401e-11, 2.220742020338691082e-12, 1.673498075722628258e-10, 3.444209281217261451e-10, 6.731772466705537523e-11, 3.719984949905397149e-10, 2.176443267776536002e-11
1.925000000000000000e+03, 3.652950541664431851e-10, 8.339331555264601364e-11, 2.029720638610952761e-12, 1.669151874042623949e-10, 3.451542957057310045e-10, 6.761040239596644695e-11, 3.652091518329121010e-10, 2.408716650271252904e-11
1.926000000000000000e+03, 3.588640856644376752e-10, 8.354309926006380295e-11, 1.856015587902088012e-12, 1.638647069558456675e-10, 3.462677469205074344e-10, 6.774795756938684269e-11, 3.616827180659983278e-10, 2.642974893343458857e-11
1.927000000000000000e+03, 3.658459107158505933e-10, 8.375818402544146681e-11, 1.699584880492900432e-12, 1.718759254309160164e-10, 3.464580261473077318e-10, 6.790423322790873174e-11, 3.878757144832289393e-10, 2.875049970654614758e-11
1.928000000000000000e+03, 3.778236439351299668e-10, 8.404132641646173879e-11, 1.557077959577591394e-12, 1.610311727476817733e-10, 3.478777504460179044e-10, 6.800404829817965844e-11, 4.188678786209155787e-10, 3.108419729514406895e-11
1.929000000000000000e+03, 3.734249938605376222e-10, 8.437414237748675649e-11, 1.429254737076440816e-12, 1.643936123914308920e-10, 3.516924028641283210e-10, 6.813861677918954426e-11, 4.382413173891173742e-10, 3.341643229847048946e-11
1.930000000000000000e+03, 3.941929485396300717e-10, 8.648394623354175206e-11, 1.352064798517740750e-12, 1.714943258163814105e-10, 4.279636077626177789e-10, 6.837174362004682927e-11, 4.304554765204746866e-10, 3.576680654143993715e-11
1.931000000000000000e+03, 4.144297464216287240e-10, 8.990692192446760170e-11, 1.301164668584538988e-12, 1.840360265727574453e-10, 4.481221880558660166e-10, 1.105755063606758321e-10, 4.781044835909334532e-10, 3.584429443783242994e-11
1.932000000000000000e+03, 4.387933561919229009e-10, 9.283719790741214643e-11, 1.230472482139967302e-12, 1.788437462565659422e-10, 4.648077873409474252e-10, 1.319412647279425572e-10, 3.876862219206634381e-10, 4.164095143398805427e-11
1.933000000000000000e+03, 4.538590574896006457e-10, 9.541808876296487539e-11, 1.140716437476152897e-12, 1.811584658017435263e-10, 4.813440218827904949e-10, 1.398314372591561181e-10, 4.170100877749589894e-10, 4.748299851095704388e-11
1.934000000000000000e+03, 4.711460723262520572e-10, 9.776767163062284876e-11, 1.840539133788524257e-12, 1.970341219562712311e-10, 4.942123783510816711e-10, 1.473576621964884342e-10, 3.959563701315407492e-10, 5.334981591449511463e-11
1.935000000000000000e+03, 4.809269207531110795e-10, 9.992466372761055513e-11, 4.088306381067303859e-12, 2.036306954152733791e-10, 5.043418128000301918e-10, 1.517976800651727465e-10, 3.860178843791622948e-10, 5.928132526966549072e-11
1.936000000000000000e+03, 4.865210717127854064e-10, 1.019064465332327960e-10, 9.346142640791187176e-12, 2.272411218930317142e-10, 5.151539544194620680e-10, 1.561913743428015181e-10, 4.041553820728079334e-10, 6.520198978549194678e-11
1.937000000000000000e+03, 4.849576621737037468e-10, 1.037629810678818863e-10, 1.607874138088889163e-11, 2.472612477197770878e-10, 5.267741848438088222e-10, 1.617602799220441975e-10, 3.906953971724461722e-10, 7.099025796017523323e-11
1.938000000000000000e+03, 4.908705433238801297e-10, 1.055183511148351959e-10, 2.225903370997652564e-11, 2.259008752565805541e-10, 5.338161396926489388e-10, 1.650486086303131122e-10, 4.282422391031727055e-10, 7.668476388288368222e-11
1.939000000000000000e+03, 4.912178679632008233e-10, 1.071325680817068380e-10, 2.859891270839959837e-11, 2.220860045154172213e-10, 5.390851464884156935e-10, 1.687380773842397136e-10, 5.430602278032977806e-10, 8.238134230329599824e-11
1.940000000000000000e+03, 4.710478824746786252e-10, 1.063135928706005232e-10, 2.197684344554847892e-11, 2.250265750560158610e-10, 4.291103781173502300e-10, 1.725248899548215739e-10, 4.673680060294362140e-10, 8.792164579608280087e-11
1.941000000000000000e+03, 4.454139331616955394e-10, 1.037090174644730334e-10, 1.071435635797866946e-11, 2.156624242557972665e-10, 4.108074755129758734e-10, 1.236979096262154265e-10, 4.092402183784120565e-10, 8.761591975594114921e-11
1.942000000000000000e+03, 4.329048491748762956e-10, 1.016467190778512847e-10, 6.401432595348604284e-12, 2.093733389792997195e-10, 4.009006581560247572e-10, 1.046322246143775781e-10, 4.208497907055055443e-10, 7.904244006941921258e-11
1.943000000000000000e+03, 4.343389714004797295e-10, 9.984681495583897218e-11, 4.589158963359146633e-12, 1.941852013655425308e-10, 3.888598270001677873e-10, 9.435020490713360681e-11, 4.762546007989032392e-10, 7.041334389297087802e-11
1.944000000000000000e+03, 4.285707542367956582e-10, 9.831217312738045223e-11, 3.800192269798575507e-12, 1.888184689371473164e-10, 3.817580349897775647e-10, 8.855259273638028985e-11, 5.599669662638222765e-10, 6.171510192591882655e-11
1.945000000000000000e+03, 4.338988668832277603e-10, 9.698313342264305155e-11, 3.322962318467682343e-12, 1.915225388863234120e-10, 3.774311268372924299e-10, 8.489661549872919211e-11, 4.938748916462189132e-10, 5.305895682412715331e-11
1.946000000000000000e+03, 4.254705750417639948e-10, 9.583334528659901078e-11, 2.913507283891362197e-12, 1.771981761165676876e-10, 3.717719162914901182e-10, 8.504792403212574019e-11, 5.191642173241523768e-10, 4.452782772338194991e-11
1.947000000000000000e+03, 4.199532179149983687e-10, 9.485233399089123318e-11, 2.612821120250107599e-12, 1.800162955869020697e-10, 3.644430069691229193e-10, 8.086273418573382349e-11, 4.870045682660139167e-10, 3.606420145738224747e-11
1.948000000000000000e+03, 4.114740132059966509e-10, 9.401873582136285950e-11, 2.380989516569909213e-12, 1.819803712866275582e-10, 3.550600796408097508e-10, 7.837193732816323827e-11, 4.097742695393665560e-10, 2.759022525898110799e-11
1.949000000000000000e+03, 4.027757257212145997e-10, 9.328679618774605646e-11, 2.173505774964455548e-12, 1.715456905915116327e-10, 3.487614889743802708e-10, 7.625937818500506363e-11, 4.086449818978265899e-10, 1.923408698647436103e-11
1.950000000000000000e+03, 4.089604792295617236e-10, 9.324166217797151063e-11, 1.983774241425202793e-12, 1.776298472713697641e-10, 3.949199057840443924e-10, 7.360781173525457193e-11, 3.822028891415810507e-10, 1.100672637946483885e-11
1.951000000000000000e+03, 4.227496498507979228e-10, 9.368201109960285719e-11, 1.816787201058132808e-12, 2.003046042617486298e-10, 4.079915405991555993e-10, 8.034242541384584181e-11, 4.381983687683554931e-10, 1.097530629350617043e-11
1.952000000000000000e+03, 4.398079642853385811e-10, 9.382431126747575878e-11, 1.668597511198778815e-12, 2.023098650468779184e-10, 4.172621831067147667e-10, 8.554198693751306985e-11, 4.991689080373107666e-10, 1.307544803586648597e-11
1.953000000000000000e+03, 4.592668255465004239e-10, 9.386441649039246482e-11, 1.550479750960055314e-12, 2.071978103098752038e-10, 4.270207826548634216e-10, 9.534730145293494373e-11, 4.799183392531027267e-10, 1.523508394163229061e-11
1.954000000000000000e+03, 4.598969133970931240e-10, 9.404806320429410868e-11, 1.469690439504433331e-12, 2.054308750129915722e-10, 4.372094564433104705e-10, 9.088299326685940271e-11, 4.420636636219679830e-10, 1.744296733387356347e-11
1.955000000000000000e+03, 4.604618243253016473e-10, 9.443176023574524542e-11, 1.395496417214658689e-12, 2.040147589951387266e-10, 4.478412603923185863e-10, 8.919407556884715496e-11, 4.355170838482945674e-10, 1.961819116776599808e-11
1.956000000000000000e+03, 4.664009629864458508e-10, 9.501697257113758985e-11, 1.322762740146677739e-12, 2.195660175937706055e-10, 4.611150950349396684e-10, 8.883819936616868908e-11, 4.864190626915544253e-10, 2.186078307107224902e-11
1.957000000000000000e+03, 4.802165989900885458e-10, 9.575413646672761524e-11, 1.255502048234114011e-12, 2.109799639450065351e-10, 4.774286324069575179e-10, 8.904162583954559074e-11, 4.591744810268848412e-10, 2.420105784114802305e-11
1.958000000000000000e+03, 4.935210149852287677e-10, 9.658955276279870198e-11, 1.318243729922383779e-12, 2.108171163334991037e-10, 4.920964554002455189e-10, 9.100669584916794191e-11, 4.678056829245658655e-10, 2.651655711426789520e-11
1.959000000000000000e+03, 4.973887763561148427e-10, 9.752716685542955794e-11, 2.981997685205379063e-12, 2.027640101051473811e-10, 5.004878806112669945e-10, 9.176529959173241797e-11, 5.253685035124134571e-10, 2.879258581966776821e-11
1.960000000000000000e+03, 4.831481137254110532e-10, 9.816846496086216376e-11, 3.019397013548212855e-12, 1.937294614907906642e-10, 4.630222308325163174e-10, 9.279947481115866579e-11, 5.320622362691619806e-10, 3.103770545402737643e-11
1.961000000000000000e+03, 4.637745498273915959e-10, 9.855697769771788972e-11, 1.730923121287425242e-12, 2.132802939263481105e-10, 4.555814924515369588e-10, 7.805407172993698409e-11, 5.180624908025288678e-10, 3.108297874064483262e-11
1.962000000000000000e+03, 4.643319945198228262e-10, 9.868201940345074999e-11, 1.218987493205935085e-12, 2.138288727232781147e-10, 4.570719317926977418e-10, 7.196068188286355671e-11, 5.666739456891139988e-10, 2.886896970344675110e-11
1.963000000000000000e+03, 4.712575605420245429e-10, 9.856880967646493741e-11, 9.912713357113730237e-13, 2.174767305499752713e-10, 4.604556249861102741e-10, 6.884271194200353022e-11, 5.513022080122818552e-10, 2.661178264529715090e-11
1.964000000000000000e+03, 4.613536758197042411e-10, 9.888954843725366046e-11, 8.636802366675002154e-13, 2.341845451150545605e-10, 4.637129482325556411e-10, 6.742486606002437666e-11, 5.165324653134585358e-10, 2.436743375267918211e-11
1.965000000000000000e+03, 4.499305390904300714e-10, 9.986345225643338978e-11, 7.791033907547541850e-13, 2.397083230394615170e-10, 4.611875383054130213e-10, 6.658173960407785861e-11, 5.949083804236776567e-10, 2.207518322299479494e-11
1.966000000000000000e+03, 4.487394292323196651e-10, 1.008422739915966642e-10, 7.208240963536836506e-13, 2.265270199193320580e-10, 4.619141271731166193e-10, 6.557081262817082166e-11, 5.553679014696155729e-10, 1.969635153363042795e-11
1.967000000000000000e+03, 4.436413485693818729e-10, 1.013384069146455207e-10, 6.680949399592526487e-13, 2.330640768414644917e-10, 4.699133033618884511e-10, 6.443570364554181221e-11, 6.121337452363566952e-10, 1.736171349037732306e-11
1.968000000000000000e+03, 4.461667078485988143e-10, 1.018654340987818380e-10, 6.197411872301191194e-13, 2.624770457440805245e-10, 4.724049535395626771e-10, 6.391675125727342595e-11, 6.219768690919934726e-10, 1.506862324082982840e-11
1.969000000000000000e+03, 4.387263679029519818e-10, 1.024500737579283562e-10, 5.793813962645081939e-13, 2.673698760464214109e-10, 4.724146845092497792e-10, 6.492482699159489665e-11, 6.534165395262222715e-10, 1.280751503918233138e-11
