year, GFDL-ESM4, CanESM5, NorESM2-LM, EC-Earth3-Veg, NorESM2-MM, CESM2-WACCM, IPSL-CM6A-LR, MPI-ESM1-2-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, MIROC-ES2L, UKESM1-0-LL, CNRM-ESM2-1, TaiESM1
1.890000000000000000e+03, 4.126197787727333477e+00, 4.792021195135926170e+00, 3.215884768058265397e+00, 2.754160409587470326e+00, 3.393565758176668723e+00, 3.813515544246657729e+00, 1.867040303933723555e+00, 4.341784271178428689e+00, 3.976196970671719733e+00, 3.724620609718460873e+00, 5.537607482157836714e+00, 4.783244287515286075e+00, 4.085112916636941094e+00, 2.143832337889179041e+00
1.891000000000000000e+03, 3.940236243478441924e+00, 4.721404947171613742e+00, 3.229850940206689280e+00, 2.116536522646691232e+00, 3.105405713724000538e+00, 3.802963671052526529e+00, 1.846262972485759990e+00, 4.466138844090012938e+00, 3.805281441986793745e+00, 3.751345723804448529e+00, 5.366271335138858234e+00, 4.812042138653847445e+00, 3.911883317604327281e+00, 2.146357004430738513e+00
1.892000000000000000e+03, 3.805633790185670939e+00, 4.687210254596291925e+00, 3.416488475674295255e+00, 2.508269650976512111e+00, 3.345543785358265687e+00, 3.844891347481994348e+00, 1.919481238002395784e+00, 4.636134256758195349e+00, 3.969815171432002465e+00, 3.670006966861398379e+00, 5.587727500837334382e+00, 4.962587850586148264e+00, 3.984820195377736685e+00, 2.190121922268577048e+00
1.893000000000000000e+03, 3.823114739891719793e+00, 4.680807436207454764e+00, 3.419899409488027509e+00, 2.136853839838251723e+00, 3.378177358332891789e+00, 3.914188067451378483e+00, 1.925531585303839277e+00, 4.736373396520394685e+00, 3.886035806641330304e+00, 3.611273291539283115e+00, 5.610283743262123757e+00, 5.015631875251126637e+00, 3.935269971838195602e+00, 2.192404319445132810e+00
1.894000000000000000e+03, 4.118571725466782851e+00, 4.691211662012104711e+00, 3.462766244336880739e+00, 3.028613030521099425e+00, 3.473773655760510781e+00, 3.909172664363182559e+00, 1.947809762066507355e+00, 4.443767575071000842e+00, 3.983804269312862356e+00, 3.740508741926939162e+00, 5.526736345724137855e+00, 4.820951629828164720e+00, 4.229775843303719363e+00, 2.153867846122016427e+00
1.895000000000000000e+03, 3.980515246543004704e+00, 4.764717604110280114e+00, 3.539995709393925161e+00, 2.720257126938338654e+00, 3.385287653645397299e+00, 3.774413394725787629e+00, 1.929100418341918033e+00, 4.857051264531737189e+00, 4.076140713610048927e+00, 3.695107535134270815e+00, 5.560662295581051850e+00, 4.912348550143556203e+00, 4.129557158173721376e+00, 2.181921680047113288e+00
1.896000000000000000e+03, 3.947528685471732857e+00, 4.917880763523395871e+00, 3.519633401166373687e+00, 2.324185482230632704e+00, 3.532696285741848907e+00, 4.145378559339401470e+00, 1.929831299450527560e+00, 4.316358920865668303e+00, 3.976884228518524189e+00, 3.599635154673703319e+00, 5.538859796027415960e+00, 5.033332303376835348e+00, 4.018696514031037559e+00, 2.227441024849698525e+00
1.897000000000000000e+03, 4.129877256201939240e+00, 4.690411842645146656e+00, 3.462197495630234823e+00, 2.972242971568023417e+00, 3.370782632884923302e+00, 4.043040226613118904e+00, 2.053176012262236227e+00, 4.572685049757111209e+00, 4.102917209969175971e+00, 3.659595566202213934e+00, 5.520771061236706245e+00, 4.795958794871338249e+00, 4.130586729221974451e+00, 2.096447621149551743e+00
1.898000000000000000e+03, 4.066419591098209274e+00, 4.696613656710510121e+00, 3.517601405343941057e+00, 2.778747642817664953e+00, 3.367528446362531014e+00, 3.977575038169120170e+00, 2.022873038542233104e+00, 4.603463501407723868e+00, 3.995822061629922040e+00, 3.702938599247927343e+00, 5.727533802955201203e+00, 4.974185523792562513e+00, 4.213753003944860076e+00, 2.152553335660226885e+00
1.899000000000000000e+03, 4.065370247237896528e+00, 4.736010913883689000e+00, 3.564520073140618361e+00, 2.822683060045425130e+00, 3.440037148512439469e+00, 3.898374598422794435e+00, 1.997222535025213741e+00, 4.735004368069668068e+00, 4.248443265318602613e+00, 3.639002172901805388e+00, 5.793613732193891863e+00, 4.813587617716120093e+00, 4.129737117700740257e+00, 2.166315342883384787e+00
