year, TaiESM1, CMCC-CM2-SR5, MPI-ESM1-2-LR, GFDL-ESM4, ACCESS-ESM1-5, IPSL-CM6A-LR, MIROC-ES2L, NorESM2-LM, NorESM2-MM, UKESM1-0-LL, CNRM-ESM2-1, CanESM5, INM-CM4-8, EC-Earth3-Veg, INM-CM5-0, CESM2-WACCM
1.896000000000000000e+03, 2.505812373604702259e+01, 3.498921813461667796e+01, 3.011074384255989145e+01, 6.315810347585076556e+01, 7.248647435772984693e+01, 1.176719694188665066e+01, 4.049966161779475726e+01, 5.053372573953335944e+01, 4.936399606370856930e+01, 3.960681441750220699e+01, 5.243879580666806817e+01, 4.700838900868912873e+01, 5.233557644803067177e+01, 1.853981446116381449e+01, 5.285734656654096142e+01, 5.649438801191976012e+01
1.897000000000000000e+03, 2.506210001358203954e+01, 3.497103499798993198e+01, 3.000232368580303088e+01, 6.331870073022161449e+01, 7.246604761334363332e+01, 1.186782980633039841e+01, 4.030928151816177518e+01, 5.066611168245418639e+01, 4.952916094478504050e+01, 3.958508865178216496e+01, 5.245412721627464236e+01, 4.700172734126695673e+01, 5.237993086055792702e+01, 1.852220994976887525e+01, 5.302425235264845327e+01, 5.663736328738362147e+01
1.898000000000000000e+03, 2.496150313646671748e+01, 3.487301407830791788e+01, 2.998815612439348044e+01, 6.343187994436399890e+01, 7.244655812228644720e+01, 1.182283649110748058e+01, 4.045499724947497100e+01, 5.073626030252610519e+01, 4.954497656694859842e+01, 3.961563679450360809e+01, 5.239490756676055128e+01, 4.692911418170997706e+01, 5.252175106104864000e+01, 1.843722821339838092e+01, 5.306336906775365492e+01, 5.648294224044283141e+01
1.899000000000000000e+03, 2.488655188138179852e+01, 3.507390389895752492e+01, 2.996211481871360505e+01, 6.360791770939532341e+01, 7.240411910893871550e+01, 1.177903579570918602e+01, 4.059863231489859459e+01, 5.068650901164315314e+01, 4.936227844408148968e+01, 3.964421395153357253e+01, 5.233473765508848885e+01, 4.693161095631451474e+01, 5.258292348302467190e+01, 1.841854551971906773e+01, 5.310425456274558798e+01, 5.635183242011274984e+01
1.900000000000000000e+03, 2.483166548076688329e+01, 3.504637781334983515e+01, 2.985131444018655245e+01, 6.372196548294930807e+01, 7.231367437950451915e+01, 1.172827808310721664e+01, 4.038116964483040050e+01, 5.057948756894377595e+01, 4.924901120872329585e+01, 3.961836746830390865e+01, 5.232172751277632727e+01, 4.686184204531679143e+01, 5.257710883895480691e+01, 1.847795799969335206e+01, 5.305729080666863950e+01, 5.613406464471366064e+01
1.901000000000000000e+03, 2.474547274776810468e+01, 3.461894853811026707e+01, 2.987804073454965348e+01, 6.373677532868200046e+01, 7.221206382920249212e+01, 1.168190893974415623e+01, 4.014258710717918177e+01, 5.044777944924168622e+01, 4.929901493140019397e+01, 3.946763308048067387e+01, 5.220960503749456194e+01, 4.671128550150305614e+01, 5.245579236812920954e+01, 1.821838842821288296e+01, 5.306361515379612115e+01, 5.597537847472436567e+01
1.902000000000000000e+03, 2.471725853076405244e+01, 3.454635055100735030e+01, 2.986054194025257402e+01, 6.368543120958786830e+01, 7.218970619125143173e+01, 1.163276187490211733e+01, 4.007238806401149844e+01, 5.037997551776612681e+01, 4.939405811880772745e+01, 3.933336058609679498e+01, 5.205492324192984199e+01, 4.637142856645517242e+01, 5.251532887884695100e+01, 1.803855200479742038e+01, 5.316507654431876517e+01, 5.589198450549531572e+01
1.903000000000000000e+03, 2.453198194625591810e+01, 3.441681942513402959e+01, 2.980190479847394158e+01, 6.353874268719029317e+01, 7.210046677039956364e+01, 1.158820539139083117e+01, 3.999535909569856784e+01, 5.011231374861708332e+01, 4.924823316491907832e+01, 3.938656894208978088e+01, 5.168621394098641275e+01, 4.610305386462704291e+01, 5.278169955373563482e+01, 1.786529875149254210e+01, 5.323457717878071094e+01, 5.573012598205284718e+01
1.904000000000000000e+03, 2.429918860545425474e+01, 3.476326645935660764e+01, 2.978114781084266838e+01, 6.326932592252445176e+01, 7.197625794039470293e+01, 1.154415350960435660e+01, 3.979728948011985779e+01, 4.994208370323526225e+01, 4.914686746793622518e+01, 3.923052817664527225e+01, 5.142382473141172028e+01, 4.602708215108890499e+01, 5.284814950716371840e+01, 1.768103729037749261e+01, 5.313647102454088156e+01, 5.560103317294617398e+01
1.905000000000000000e+03, 2.425591707948255760e+01, 3.501577509689242618e+01, 2.975778788941075348e+01, 6.306060098971588701e+01, 7.178568101272870194e+01, 1.151846823357202787e+01, 3.962974894718384178e+01, 4.997993702344425770e+01, 4.923382286019097620e+01, 3.922260342424279855e+01, 5.121864130867224674e+01, 4.598956703101590193e+01, 5.288966986315627850e+01, 1.739212547947671084e+01, 5.302985149625088468e+01, 5.553281749523160471e+01
