year, MIROC-ES2L, NorESM2-LM, EC-Earth3-Veg, CESM2-WACCM, INM-CM4-8, CanESM5, ACCESS-ESM1-5, IPSL-CM6A-LR, UKESM1-0-LL, MPI-ESM1-2-LR, NorESM2-MM, CMCC-CM2-SR5, INM-CM5-0, TaiESM1, GFDL-ESM4, CNRM-ESM2-1
2.063000000000000000e+03, 1.098664335493964046e+02, 4.448738469830318820e+01, 4.904625265666602729e+01, 9.474965952885624176e+01, 1.503292905195237097e+02, 1.546945315907135239e+02, 9.485645021150595824e+01, 6.204882298815744690e+01, 8.665100794901519521e+01, 6.538013155427569245e+01, 4.398035386654289880e+01, 5.337849193745111620e+01, 1.561917716996123033e+02, 7.644422578960858061e+01, 3.494006323679374759e+01, 3.586845834081692175e+01
2.064000000000000000e+03, 1.100023487477550077e+02, 4.397240706822410061e+01, 4.821031361535752779e+01, 9.540431873395944251e+01, 1.515515277277005453e+02, 1.556405192047988351e+02, 9.450680669226758823e+01, 6.143733284772801539e+01, 8.602030081947496853e+01, 6.532120294005338224e+01, 4.324624766657549202e+01, 5.259003642706620951e+01, 1.573178417713335477e+02, 7.504221629214063682e+01, 3.451191452752293287e+01, 3.509543780788923328e+01
2.065000000000000000e+03, 1.106268328045794505e+02, 4.333855746160489986e+01, 4.817671811295437578e+01, 9.647667768817331080e+01, 1.525716237900980730e+02, 1.564144980258444377e+02, 9.364616365659844632e+01, 6.132909050449890032e+01, 8.558545837146577639e+01, 6.534241761012764016e+01, 4.286389866117295355e+01, 5.234103479622534394e+01, 1.581650118588724467e+02, 7.314623551253409062e+01, 3.388430373035225784e+01, 3.476073473612101594e+01
2.066000000000000000e+03, 1.111955744943503817e+02, 4.234492775941421172e+01, 4.718375356390247788e+01, 9.715650242745277865e+01, 1.532763646512627247e+02, 1.567030464373731036e+02, 9.250031499569929849e+01, 6.090926909902578501e+01, 8.502986133047453166e+01, 6.530600628646904227e+01, 4.209055811829271931e+01, 5.147523518153044364e+01, 1.590340717022428692e+02, 7.253999735267521487e+01, 3.329594532916701155e+01, 3.444863274317633284e+01
2.067000000000000000e+03, 1.111768307843057926e+02, 4.119263977918232911e+01, 4.612047475001320151e+01, 9.765042662564015075e+01, 1.529301567258579837e+02, 1.569453826285183027e+02, 9.096548729295625435e+01, 6.031794912007561038e+01, 8.458413736706080499e+01, 6.489777994956685347e+01, 4.150249014644111867e+01, 5.015512826623154297e+01, 1.595080138375587353e+02, 7.300382444753809352e+01, 3.304448082440431023e+01, 3.363555077962312367e+01
2.068000000000000000e+03, 1.112562335137374987e+02, 4.029102115112776517e+01, 4.498747829330075376e+01, 9.802860284278551717e+01, 1.537165490229662055e+02, 1.579049375914519544e+02, 9.010435233885532114e+01, 5.961699228554173402e+01, 8.398117217419576264e+01, 6.444120290102114268e+01, 4.157948007573044436e+01, 4.976048194492771870e+01, 1.598609718965271043e+02, 7.123476600275212434e+01, 3.255572985065207803e+01, 3.308887257321354269e+01
2.069000000000000000e+03, 1.116206166752017310e+02, 3.981291755716258507e+01, 4.395106220690757226e+01, 9.862565581490419220e+01, 1.544373907369670178e+02, 1.590961105724618108e+02, 8.867454812784646379e+01, 5.873119963556737844e+01, 8.349966411719157122e+01, 6.386165081720633907e+01, 4.136651197260918877e+01, 5.136690927551384078e+01, 1.608208488713568443e+02, 6.981329995064852767e+01, 3.181566563031489281e+01, 3.189373204140006024e+01
2.070000000000000000e+03, 1.123063246298519573e+02, 3.971492361770827983e+01, 4.322533030388042619e+01, 9.955432503747017847e+01, 1.547453125824729909e+02, 1.595477412165095927e+02, 8.810229646347286803e+01, 5.792713941950473355e+01, 8.289556579796261815e+01, 6.348552199588189637e+01, 4.091684757768481262e+01, 5.072339991668231818e+01, 1.611312712787335784e+02, 6.962019422381513323e+01, 3.116396971197157129e+01, 3.192773129057820114e+01
2.071000000000000000e+03, 1.125501217775941569e+02, 3.906166103881770368e+01, 4.270859788700312976e+01, 1.004324016891926021e+02, 1.553300254814551522e+02, 1.598854156274642548e+02, 8.739434036484614410e+01, 5.746153265428306867e+01, 8.263433720455805087e+01, 6.347296712071153024e+01, 3.977160465684518442e+01, 4.909116391800837675e+01, 1.620345813828382688e+02, 7.094511394821920192e+01, 3.090843782023798525e+01, 3.185133717507379458e+01
2.072000000000000000e+03, 1.123341987207689243e+02, 3.898140356462570111e+01, 4.212660385405202135e+01, 1.006816082833507835e+02, 1.563765609290286704e+02, 1.601898003034418139e+02, 8.710362785110190487e+01, 5.720892965859253110e+01, 8.188408360671795094e+01, 6.333800517356119997e+01, 3.900617591930566874e+01, 4.737276841684185769e+01, 1.621277486306705669e+02, 6.954892383230114206e+01, 3.052365386468044761e+01, 3.147832722368274005e+01
2.073000000000000000e+03, 1.129256182012561709e+02, 3.869181655784209539e+01, 4.151159216710422584e+01, 1.009080953390449480e+02, 1.569569049936960710e+02, 1.605061692418295536e+02, 8.659370050673550168e+01, 5.708236876488270184e+01, 8.143831922463593287e+01, 6.304818447827853589e+01, 3.858549707646017168e+01, 4.632001259034247909e+01, 1.621671094877164307e+02, 6.780472436604016195e+01, 2.988930729636239647e+01, 3.141792306686319236e+01
