year, CNRM-ESM2-1, UKESM1-0-LL, NorESM2-MM, TaiESM1, INM-CM4-8, GFDL-ESM4, INM-CM5-0, EC-Earth3-Veg, MPI-ESM1-2-LR, MIROC-ES2L, ACCESS-ESM1-5, CMCC-ESM2, CanESM5, CESM2-WACCM, NorESM2-LM, IPSL-CM6A-LR
2.055000000000000000e+03, 8.113713809803556609e-01, 1.891731427483387407e+00, 1.047356178024433371e+00, 2.130310468505205446e+00, 1.553366212492885978e+00, 1.213099226341577408e+00, 1.557712684325440966e+00, 2.256117868203941335e+00, 1.464472320145498552e+00, 1.360694534801399458e+00, 1.140804183792266002e+00, 1.326886901865620194e+00, 1.983085662617608325e+00, 1.354379343429091831e+00, 9.897522435579876321e-01, 1.423044477517055650e+00
2.056000000000000000e+03, 7.919128475538110834e-01, 1.890502319488629235e+00, 1.034412477641710293e+00, 1.957815808084734543e+00, 1.513213842760952721e+00, 1.192100068048536521e+00, 1.530395192518570147e+00, 2.354770116399753643e+00, 1.443087328875649167e+00, 1.347453223580840076e+00, 1.119656383038797776e+00, 1.387182163120851852e+00, 1.988101730416522495e+00, 1.382027767402212559e+00, 9.909462256841817807e-01, 1.374220214902074577e+00
2.057000000000000000e+03, 7.596629692737080219e-01, 1.900604411616558131e+00, 1.023078633313480257e+00, 1.984108976125270596e+00, 1.549521463639544461e+00, 1.161430006076849875e+00, 1.535998425281496438e+00, 2.429630909159063989e+00, 1.391385324975244808e+00, 1.360846863075952706e+00, 1.093592219899715667e+00, 1.138660435370698831e+00, 2.014770848771293199e+00, 1.370465026709580370e+00, 9.718853570950592990e-01, 1.368685962157541569e+00
2.058000000000000000e+03, 7.929814221705961952e-01, 1.930351173556573707e+00, 1.013000337097492709e+00, 2.084663399391071703e+00, 1.537460119114544277e+00, 1.082733997457242969e+00, 1.518272751548615851e+00, 2.322116026686432466e+00, 1.437782892035771809e+00, 1.367126056763067643e+00, 1.079607335134143975e+00, 1.151428488293675390e+00, 2.021450583065253603e+00, 1.387910837547887910e+00, 9.513607910738670626e-01, 1.409859467407941214e+00
2.059000000000000000e+03, 8.041084309491878246e-01, 1.914419530344582343e+00, 1.015627041013193566e+00, 2.210680672826945248e+00, 1.521563246106509837e+00, 1.155189671047965216e+00, 1.559125369112032145e+00, 2.293468028138337278e+00, 1.464913708565398931e+00, 1.350501196127214198e+00, 1.143041286723664784e+00, 1.215000056814865337e+00, 2.037922189066207590e+00, 1.408870795589631353e+00, 9.776079427136989963e-01, 1.397130956395775447e+00
2.060000000000000000e+03, 7.499780618854864356e-01, 1.884648515637139976e+00, 1.012225541348672264e+00, 2.083472143455714853e+00, 1.495001318142618940e+00, 1.114254862559836079e+00, 1.582952398935383309e+00, 2.332590085527010970e+00, 1.422902825218905321e+00, 1.337314595564810915e+00, 1.173117832465008670e+00, 1.378990161721658003e+00, 2.041832159583151896e+00, 1.414648106884110801e+00, 9.606093972855292984e-01, 1.394203317351719429e+00
2.061000000000000000e+03, 7.017927153158589615e-01, 1.871538873462601948e+00, 9.597606188146458051e-01, 1.823949730384624823e+00, 1.462476411163516898e+00, 1.154696094049510569e+00, 1.550582546283362007e+00, 2.281619038432111335e+00, 1.394651127393979007e+00, 1.366177052156207328e+00, 1.152317347064133468e+00, 1.357469681409159579e+00, 2.001322819561588418e+00, 1.401208229626671686e+00, 9.445472717467273682e-01, 1.354254037904667030e+00
2.062000000000000000e+03, 7.071064214008130344e-01, 1.924167050478732488e+00, 1.011646612835300774e+00, 1.779604338976887190e+00, 1.479613143954124466e+00, 1.113900468631759955e+00, 1.544305159451581089e+00, 2.278687436615404849e+00, 1.283152346709748315e+00, 1.366930716944774415e+00, 1.141954286298563215e+00, 1.204222320222634313e+00, 2.098668225585513802e+00, 1.423694485087487527e+00, 9.529028272246714559e-01, 1.400665739585456038e+00
2.063000000000000000e+03, 7.743890634161343378e-01, 1.902168929359613569e+00, 9.839049828375155959e-01, 2.029192133320647518e+00, 1.509920745895044991e+00, 1.099254588883968875e+00, 1.582754366900901655e+00, 2.288118919054815681e+00, 1.407255280812072629e+00, 1.357410777883993225e+00, 1.168476381006491760e+00, 1.245170734128647982e+00, 2.106739387775937722e+00, 1.449030301727326275e+00, 9.701312187344339755e-01, 1.380922662726970840e+00
2.064000000000000000e+03, 7.170861326796453827e-01, 1.879149518310374356e+00, 9.481085542590974580e-01, 2.090803864536212142e+00, 1.536103646316999027e+00, 1.110869307174914056e+00, 1.582166293160075732e+00, 2.298071607480718814e+00, 1.439896944662496514e+00, 1.369901324017498423e+00, 1.179410528094805954e+00, 1.377261835463063466e+00, 2.128875657322596204e+00, 1.452253230548586460e+00, 9.723456358894675411e-01, 1.364934569951729237e+00
