year, NorESM2-MM, TaiESM1, CESM2-WACCM, NorESM2-LM, CNRM-ESM2-1, MIROC-ES2L, UKESM1-0-LL, EC-Earth3-Veg, CanESM5, MPI-ESM1-2-LR, ACCESS-ESM1-5, IPSL-CM6A-LR, CMCC-CM2-SR5
2.065000000000000000e+03, 9.405024905090162690e+01, 8.623887249967755508e+01, 1.085872537270988545e+02, 9.630671581068918385e+01, 1.345528195987550930e+02, 1.080462949141617912e+02, 2.359689866744830056e+02, 1.553270023573680021e+02, 2.403208143649252690e+02, 9.383744870615871037e+01, 1.192925091822608152e+02, 1.200738056604936048e+02, 1.917795564325772375e+02
2.066000000000000000e+03, 9.406229795212698264e+01, 8.626212081237467544e+01, 1.087185694795404061e+02, 9.634266862809826648e+01, 1.344213014935554042e+02, 1.082577659956697147e+02, 2.364454998937426637e+02, 1.553702244811549065e+02, 2.403748257904169066e+02, 9.388076933277417879e+01, 1.191610980260763455e+02, 1.200654322828558520e+02, 1.918994249809430528e+02
2.067000000000000000e+03, 9.403842737980897937e+01, 8.593779946209340892e+01, 1.088480720021440504e+02, 9.638132215864571606e+01, 1.343419951389160190e+02, 1.082412290396758721e+02, 2.366376250418580867e+02, 1.553302409397002180e+02, 2.404625357556978997e+02, 9.404560880182722826e+01, 1.188495951345652486e+02, 1.200366153635873303e+02, 1.921334137733875878e+02
2.068000000000000000e+03, 9.400619088474891782e+01, 8.601541796941209839e+01, 1.090090141366220280e+02, 9.635903580193506457e+01, 1.341517998365195581e+02, 1.080298832635873367e+02, 2.366468430938877816e+02, 1.551736101417676252e+02, 2.404981959613002971e+02, 9.416260785286154089e+01, 1.186066652963274777e+02, 1.200115220092428814e+02, 1.922853396805364241e+02
2.069000000000000000e+03, 9.402505837574113912e+01, 8.626751234012105840e+01, 1.091385459775375750e+02, 9.632590122196825178e+01, 1.340775015713019513e+02, 1.080191573409642132e+02, 2.367273905309404540e+02, 1.550585763718424346e+02, 2.405192694470140964e+02, 9.443385918323038197e+01, 1.183366251826597590e+02, 1.199611375873639503e+02, 1.921183904506854958e+02
2.070000000000000000e+03, 9.406704934112518401e+01, 8.613471207999775459e+01, 1.091858686615226048e+02, 9.629663410584804240e+01, 1.337372914238112855e+02, 1.082031438200427260e+02, 2.365815873065677977e+02, 1.550502587246723181e+02, 2.406363065509289925e+02, 9.432847467049249701e+01, 1.180859129723251186e+02, 1.199100731193218508e+02, 1.920456629365246215e+02
2.071000000000000000e+03, 9.410853714455737418e+01, 8.570033270163602879e+01, 1.092472434260441219e+02, 9.633180851088535235e+01, 1.335634283716606490e+02, 1.082582793669828902e+02, 2.371348605761243391e+02, 1.550832234356693675e+02, 2.406902241536905080e+02, 9.420412441763259892e+01, 1.178324013607992953e+02, 1.197933849881866735e+02, 1.922466845385402507e+02
2.072000000000000000e+03, 9.409615639835638490e+01, 8.565405791427193094e+01, 1.093982749804788170e+02, 9.633486076233498352e+01, 1.334619904593852482e+02, 1.081300414255891411e+02, 2.366648890321418435e+02, 1.551221467843608934e+02, 2.407161089429133085e+02, 9.433779981290736316e+01, 1.176153809888203057e+02, 1.196865783803796432e+02, 1.926053729619526962e+02
2.073000000000000000e+03, 9.410099986593175458e+01, 8.599444746828146435e+01, 1.095789983457491701e+02, 9.633616690630513801e+01, 1.333035275141313605e+02, 1.081856183582034561e+02, 2.361055985717587475e+02, 1.550079280490592453e+02, 2.407055805304223952e+02, 9.449429523484427307e+01, 1.174453268446647058e+02, 1.196128608362336792e+02, 1.928467971361873481e+02
2.074000000000000000e+03, 9.411312284863159050e+01, 8.603699326436544936e+01, 1.096822939404726611e+02, 9.638512621352418819e+01, 1.331460282717211214e+02, 1.082447131660567408e+02, 2.361450369376552771e+02, 1.549950105415310873e+02, 2.406303103026186534e+02, 9.462919924899354385e+01, 1.171795311962525972e+02, 1.195874884721387730e+02, 1.930290254290823100e+02
2.075000000000000000e+03, 9.414180533461066602e+01, 8.603078609085802952e+01, 1.097318458255670635e+02, 9.643850348710303422e+01, 1.330459435701254733e+02, 1.083393031758094054e+02, 2.360623822343779352e+02, 1.550447127137922223e+02, 2.404893127344596166e+02, 9.461626556163554369e+01, 1.169377895479134395e+02, 1.195103635758042628e+02, 1.929564503998416285e+02
2.076000000000000000e+03, 9.418775614847007205e+01, 8.570135291222935336e+01, 1.098295252394395760e+02, 9.644838940500197566e+01, 1.329725302357023224e+02, 1.083431703115215043e+02, 2.364227054037380924e+02, 1.549215954719312265e+02, 2.404869750860260922e+02, 9.440529563992926398e+01, 1.168718786878929166e+02, 1.194225404115724558e+02, 1.930408615441466509e+02
2.077000000000000000e+03, 9.421081912004703440e+01, 8.566468110710771100e+01, 1.099540380119585592e+02, 9.648781025980986215e+01, 1.327354289008376327e+02, 1.081854599813899540e+02, 2.364638768950807162e+02, 1.547649877320874339e+02, 2.405339546356914866e+02, 9.452298591553721963e+01, 1.167782042915307130e+02, 1.193590177048964165e+02, 1.933970521902412543e+02
2.078000000000000000e+03, 9.420591121209888286e+01, 8.558155599049671025e+01, 1.100763009507313370e+02, 9.651678369407294156e+01, 1.324867038155001353e+02, 1.081335141208166846e+02, 2.360547928742892054e+02, 1.547330510192600457e+02, 2.406033617485444722e+02, 9.471642432381143806e+01, 1.164267896660513344e+02, 1.192921620189692078e+02, 1.935790070348099050e+02
2.079000000000000000e+03, 9.424841698813156654e+01, 8.533724542014255121e+01, 1.101443954435067099e+02, 9.651058061917798625e+01, 1.322469932185754544e+02, 1.083266146817539521e+02, 2.357455222508001214e+02, 1.548659803035532434e+02, 2.407006644637434363e+02, 9.473806907025107193e+01, 1.160194365883391185e+02, 1.192169938506749105e+02, 1.935708875393227686e+02
2.080000000000000000e+03, 9.418981333909754028e+01, 8.528455709590649292e+01, 1.103021071298534963e+02, 9.658369299224844440e+01, 1.320128952597433738e+02, 1.084785927320250352e+02, 2.362309474560290710e+02, 1.548881240013925833e+02, 2.407000986137284144e+02, 9.483981151087699857e+01, 1.158121321158577501e+02, 1.191208058000799497e+02, 1.936471423439930675e+02
2.081000000000000000e+03, 9.414093815866036152e+01, 8.537999460656247663e+01, 1.104319399913266011e+02, 9.657719681772950082e+01, 1.317690702300621126e+02, 1.083732340635096421e+02, 2.356878319086313525e+02, 1.547942139523877074e+02, 2.406349723617821326e+02, 9.458606538624445648e+01, 1.156674909389982844e+02, 1.190383220401574391e+02, 1.938162159759480687e+02
2.082000000000000000e+03, 9.415410149772587545e+01, 8.541037348705924614e+01, 1.105531128151945239e+02, 9.657759909515516483e+01, 1.316752899985283989e+02, 1.084251323981674631e+02, 2.358381979349782682e+02, 1.547424212799070915e+02, 2.405465570258265018e+02, 9.449140586069329117e+01, 1.155340129878991036e+02, 1.189285445644791537e+02, 1.939237747652298083e+02
2.083000000000000000e+03, 9.413634675993131395e+01, 8.536069287297749497e+01, 1.106576149376319620e+02, 9.658161086283153907e+01, 1.315259912586832911e+02, 1.087033470098333368e+02, 2.362377483704683527e+02, 1.547109121194515922e+02, 2.404896713328628834e+02, 9.429377243852184165e+01, 1.154574797247558990e+02, 1.188314396347924884e+02, 1.940870022040290053e+02
2.084000000000000000e+03, 9.411712375517599583e+01, 8.538846834103824790e+01, 1.106982426315977506e+02, 9.654226754647044118e+01, 1.311905984774363958e+02, 1.088898827498927631e+02, 2.360013349407810495e+02, 1.546018477775900237e+02, 2.405725198176476454e+02, 9.431398106346867394e+01, 1.152167823407370975e+02, 1.187259280475127952e+02, 1.942776426751055681e+02
2.085000000000000000e+03, 9.410560078475846524e+01, 8.563715917608365658e+01, 1.107919679210395145e+02, 9.652346793610334430e+01, 1.308323504603650633e+02, 1.088937332536032159e+02, 2.355025669766033047e+02, 1.544921766549978202e+02, 2.405795144785668640e+02, 9.450637285707698254e+01, 1.150301897775097473e+02, 1.185352988513574815e+02, 1.943084503310246873e+02
