year, NorESM2-MM, MPI-ESM1-2-LR, TaiESM1, TaiESM1, NorESM2-LM, NorESM2-MM, CESM2-WACCM, CNRM-ESM2-1, GFDL-ESM4, GFDL-ESM4, CNRM-ESM2-1, EC-Earth3-Veg
2.062000000000000000e+03, 1.461763448520503919e-09, 8.465440207991820730e-10, 3.584985552938167014e-10, 3.584985552938167014e-10, 1.796719919587158117e-09, 1.461763448520503919e-09, 8.587368822367570005e-10, 3.525123536400342179e-10, 1.040064452639537260e-09, 9.190605502107452488e-10, 3.525123536400342179e-10, 9.188055994893675504e-10
2.063000000000000000e+03, 1.993652869891189148e-09, 8.037617133569147070e-10, 3.826332474163816481e-10, 3.826332474163816481e-10, 8.576709284958216903e-10, 1.993652869891189148e-09, 6.087083122257771570e-10, 3.996920610234514612e-10, 9.703194984226609337e-10, 8.473806255948295248e-10, 3.996920610234514612e-10, 8.767907770065042827e-10
2.064000000000000000e+03, 1.271718307940655229e-09, 8.031851230926143498e-10, 3.874488051973733515e-10, 3.874488051973733515e-10, 1.486624765306849896e-09, 1.271718307940655229e-09, 6.937789931835537959e-10, 4.022595940921916320e-10, 9.261329147238797130e-10, 8.027098612312981591e-10, 4.022595940921916320e-10, 6.422554668764354122e-10
2.065000000000000000e+03, 1.386749762971049912e-09, 8.632092736395158184e-10, 3.896140785520270479e-10, 3.896140785520270479e-10, 1.110285741470545713e-09, 1.386749762971049912e-09, 5.983761483817779532e-10, 4.270211825954932810e-10, 8.642019020500598831e-10, 7.396749143462028193e-10, 4.270211825954932810e-10, 6.177988662977714042e-10
2.066000000000000000e+03, 1.582907890046325191e-09, 9.065380147931236822e-10, 3.167334192288204306e-10, 3.167334192288204306e-10, 1.827337828665332160e-09, 1.582907890046325191e-09, 7.842428328520982435e-10, 5.025969211465357447e-10, 1.216984880979785193e-09, 1.094977333722227943e-09, 5.025969211465357447e-10, 9.731056720060806013e-10
2.067000000000000000e+03, 1.420252524739579876e-09, 8.896864215243573138e-10, 2.846805919631943647e-10, 2.846805919631943647e-10, 1.484218984353532911e-09, 1.420252524739579876e-09, 6.737325415267810771e-10, 3.307885515816781625e-10, 8.260964886027517888e-10, 7.057283786186642351e-10, 3.307885515816781625e-10, 8.794039645515505092e-10
2.068000000000000000e+03, 8.935721028461824843e-10, 8.700532102629625147e-10, 4.233398395568598232e-10, 4.233398395568598232e-10, 1.925187096307372639e-09, 8.935721028461824843e-10, 7.926804738413471708e-10, 3.872790113983569581e-10, 9.121725966772241298e-10, 7.926008623587608737e-10, 3.872790113983569581e-10, 1.113605930116660290e-09
2.069000000000000000e+03, 9.747390608380196118e-10, 9.283126349320993543e-10, 3.058016965233030610e-10, 3.058016965233030610e-10, 1.096370041521916769e-09, 9.747390608380196118e-10, 9.034578211629016958e-10, 1.722048378604141489e-10, 1.055347509292883984e-09, 9.323755730216044968e-10, 1.722048378604141489e-10, 7.546742428111815916e-10
2.070000000000000000e+03, 1.300124989900038069e-09, 9.081447168935478845e-10, 3.370279751861618556e-10, 3.370279751861618556e-10, 9.565835693488252237e-10, 1.300124989900038069e-09, 6.597695364545946093e-10, 4.304201479797672203e-10, 1.038779875803246313e-09, 9.180302812883236600e-10, 4.304201479797672203e-10, 1.041847658396308751e-09
2.071000000000000000e+03, 2.004139513436665534e-09, 8.554301804493015416e-10, 2.243811965511033160e-10, 2.243811965511033160e-10, 1.181821502825886809e-09, 2.004139513436665534e-09, 5.944585920868458441e-10, 3.500061531425610734e-10, 8.685708412688280054e-10, 7.530958464014397036e-10, 3.500061531425610734e-10, 5.885376705956503583e-10
2.072000000000000000e+03, 1.640976636388994505e-09, 9.026437378709375131e-10, 3.467536272201807688e-10, 3.467536272201807688e-10, 8.178069427095459103e-10, 1.640976636388994505e-09, 8.803172081145612135e-10, 3.474800138998104302e-10, 9.108420628037363429e-10, 7.954310493753832390e-10, 3.474800138998104302e-10, 6.636340305937891988e-10
2.073000000000000000e+03, 1.231432423245532451e-09, 8.320978049581862209e-10, 2.623257155327119161e-10, 2.623257155327119161e-10, 1.081574885807336307e-09, 1.231432423245532451e-09, 7.313702016961839836e-10, 4.206626221025012741e-10, 9.300410462178195810e-10, 8.156538541113904523e-10, 4.206626221025012741e-10, 8.703833063361651984e-10
2.074000000000000000e+03, 9.198927914274339795e-10, 9.250388256313267638e-10, 5.061913455056437016e-10, 5.061913455056437016e-10, 1.077056600637069230e-09, 9.198927914274339795e-10, 7.847476885792100250e-10, 3.459054242378501427e-10, 1.035626455355417069e-09, 9.214245478361842445e-10, 3.459054242378501427e-10, 8.977201341498837985e-10
2.075000000000000000e+03, 1.171389183738288191e-09, 8.247073526814713107e-10, 2.743810990245766035e-10, 2.743810990245766035e-10, 1.334812101805401006e-09, 1.171389183738288191e-09, 6.318892771829597801e-10, 2.871723833150939181e-10, 8.171433439278008843e-10, 7.076415852225148700e-10, 2.871723833150939181e-10, 5.759679577085301414e-10
2.076000000000000000e+03, 2.309029288864389978e-09, 8.324812500223137027e-10, 3.183953923856003072e-10, 3.183953923856003072e-10, 6.613645639304431084e-10, 2.309029288864389978e-09, 7.979332161882127987e-10, 2.359258381205752951e-10, 1.083913489678566577e-09, 9.757138152840708525e-10, 2.359258381205752951e-10, 1.184278586211835906e-09
2.077000000000000000e+03, 1.607971716850300945e-09, 8.958360070480716603e-10, 2.779438789797736717e-10, 2.779438789797736717e-10, 1.827911963659159990e-09, 1.607971716850300945e-09, 9.494898039145976462e-10, 2.624268074097135342e-10, 8.205104162062866696e-10, 7.132587666302239450e-10, 2.624268074097135342e-10, 8.630426125201429388e-10
2.078000000000000000e+03, 1.973169257305492379e-09, 8.654748472256057292e-10, 2.535193911201448154e-10, 2.535193911201448154e-10, 7.931660586260172139e-10, 1.973169257305492379e-09, 7.715480574994837042e-10, 3.472672545520694508e-10, 8.800444487160789613e-10, 7.713743893824035953e-10, 3.472672545520694508e-10, 9.423118367776777571e-10
2.079000000000000000e+03, 1.216491336918862830e-09, 9.284277902019395481e-10, 1.964520391643676104e-10, 1.964520391643676104e-10, 1.338554738146913302e-09, 1.216491336918862830e-09, 8.517608274161254146e-10, 2.473816706352216909e-10, 7.988518233402720784e-10, 6.913601089452976244e-10, 2.473816706352216909e-10, 5.508082553056106304e-10
2.080000000000000000e+03, 9.100909836117490347e-10, 8.959483534827595802e-10, 2.835212725048572060e-10, 2.835212725048572060e-10, 9.848301897865783221e-10, 9.100909836117490347e-10, 9.444901795198932966e-10, 3.429221607841834507e-10, 7.779154494514207818e-10, 6.724102130666153311e-10, 3.429221607841834507e-10, 8.570878518281586151e-10
2.081000000000000000e+03, 1.185613561369731831e-09, 8.639513587920806201e-10, 2.843912904001667623e-10, 2.843912904001667623e-10, 9.462715419433557098e-10, 1.185613561369731831e-09, 9.100156233779254726e-10, 3.534727976290489364e-10, 9.110088415202229729e-10, 8.045217437588720980e-10, 3.534727976290489364e-10, 7.553715329082042238e-10
2.082000000000000000e+03, 1.146492564667131343e-09, 8.783190964044641962e-10, 2.825614884599846800e-10, 2.825614884599846800e-10, 1.102395331788380737e-09, 1.146492564667131343e-09, 8.603470569862271660e-10, 2.988366097889571905e-10, 8.066847574739797895e-10, 7.018243392477573602e-10, 2.988366097889571905e-10, 7.128162117881137420e-10
