year, TaiESM1, NorESM2-LM, NorESM2-MM, GFDL-ESM4, CNRM-ESM2-1
2.089000000000000000e+03, 2.872259401399017891e-10, 5.391624183226430023e-10, 7.632905278513306761e-10, 5.633277095643568431e-10, 1.745327717832864227e-10
2.090000000000000000e+03, 3.675334640329145562e-10, 5.159292411994132547e-10, 7.145017672902016939e-10, 5.821756869525703405e-10, 2.147477125589234898e-10
2.091000000000000000e+03, 2.061437982842076588e-10, 3.220521619067784861e-10, 5.780750346995103498e-10, 5.527231785459614780e-10, 2.823564877642286420e-10
2.092000000000000000e+03, 3.291004337097161228e-10, 7.293968404051730919e-10, 5.055287921029669114e-10, 7.592273663658194526e-10, 2.168555884684478135e-10
2.093000000000000000e+03, 4.428374948390009268e-10, 4.909163342098585775e-10, 6.462858242752776605e-10, 7.351063418666848291e-10, 1.773195561972437668e-10
2.094000000000000000e+03, 3.019585035930704873e-10, 4.015090954272745548e-10, 6.490204517000642331e-10, 5.269359988583132303e-10, 1.317695682268019739e-10
2.095000000000000000e+03, 3.445319253069737479e-10, 4.128411128588976786e-10, 5.731899646230708678e-10, 5.599812380299199680e-10, 2.040851431220199557e-10
2.096000000000000000e+03, 3.546694090329399246e-10, 4.941420904003861421e-10, 7.657412455658190928e-10, 6.692121890375742646e-10, 1.726064034609400473e-10
2.097000000000000000e+03, 3.015033827749211961e-10, 5.781175558342135414e-10, 7.470720743497906735e-10, 6.730535892116536912e-10, 1.862831224292883149e-10
2.098000000000000000e+03, 3.807165532894180615e-10, 4.664398669580319589e-10, 6.710250908723311849e-10, 6.497239765447088516e-10, 2.741626561193367216e-10
2.099000000000000000e+03, 1.910813367049816826e-10, 5.757097556738757293e-10, 6.089869450129344384e-10, 6.289271440169658611e-10, 1.658947857847875009e-10
2.100000000000000000e+03, 2.714842352833437632e-10, 6.067500662870820509e-10, 7.727395969544789119e-10, 8.223342833187834812e-10, 1.107288430833591257e-10
