year, GFDL-ESM4, NorESM2-LM, TaiESM1, NorESM2-MM, CNRM-ESM2-1
1.971000000000000000e+03, 3.500457811344674205e-10, 2.777357736873106506e-10, 3.180109187804918462e-10, 2.071353656182824574e-10, 5.791034450002010442e-10
1.972000000000000000e+03, 2.514779841019117209e-10, 1.843974324736200652e-10, 1.118129536631768613e-10, 3.540338008667092870e-10, 7.842763912711383236e-10
1.973000000000000000e+03, 1.276977147233473907e-10, 1.982058390675883997e-10, 4.432253027470676205e-10, 5.209427267444735596e-10, 1.411456947021089002e-09
1.974000000000000000e+03, 1.470856421967045425e-10, 3.892286226258723058e-10, 3.855176369487070761e-10, 4.298850847849301208e-10, 9.631654618235504052e-10
1.975000000000000000e+03, 3.359698107269459786e-10, 1.332257289726527610e-10, 3.871306455020671627e-10, 4.567334066052583399e-10, 1.385440896299803574e-09
1.976000000000000000e+03, 3.027681141390949327e-10, 2.384470172316079007e-10, 4.645658023298154941e-10, 3.367967977876993292e-10, 1.041004612595592554e-09
1.977000000000000000e+03, 3.006128890730424942e-10, 1.999889431392858313e-10, 1.105273938778860144e-10, 4.680240190196814991e-10, 1.198664575203261526e-09
1.978000000000000000e+03, 3.628300481318027562e-10, 2.243759851617409328e-10, 1.234198725466059918e-10, 4.162550270607038100e-10, 7.677970278765492818e-10
1.979000000000000000e+03, 1.430006092423888188e-10, 2.001945592170795000e-10, 3.313295209777153498e-10, 4.796650214184932622e-10, 9.798301486552977279e-10
1.980000000000000000e+03, 1.360726785676532735e-10, 1.782221588759750643e-10, 4.719840157685812308e-10, 4.942514510885104097e-10, 8.717540507827592168e-10
1.981000000000000000e+03, 2.948142877972892397e-10, 3.227585285804084493e-10, 1.322939695089750358e-10, 2.451999092529048465e-10, 9.093328823268840956e-10
1.982000000000000000e+03, 3.702871293110717241e-10, 3.440542449976552580e-10, 2.042235131202409632e-10, 3.461749081296879820e-10, 8.960777632472342076e-10
1.983000000000000000e+03, 2.743091691094276061e-10, 3.765607542973382901e-10, 2.911550872663501089e-10, 2.553670080135900581e-10, 1.133963188478541082e-09
1.984000000000000000e+03, 2.136293674014355007e-10, 2.431684648443609898e-10, 2.947507155347704783e-10, 1.505979688569878256e-10, 8.408313777234478142e-10
1.985000000000000000e+03, 3.288400800790104500e-10, 3.166898440424640480e-10, 9.164077192558920967e-11, 2.545350459539674285e-10, 8.718133546266972832e-10
