year, CMCC-ESM2, CNRM-ESM2-1, UKESM1-0-LL, CanESM5, MPI-ESM1-2-LR, GFDL-ESM4, MIROC-ES2L, CESM2-WACCM
1.914000000000000000e+03, -3.000390949047621579e-09, -6.518603939547896355e-10, -9.610572642790607128e-10, 3.164368382105501936e-09, -1.107300794676987436e-09, -2.145366605014634148e-09, 7.236000072062264649e-11, -1.159182526838275543e-11
1.915000000000000000e+03, -6.865530207323869377e-10, -1.833298531600145426e-11, -3.491882683731649235e-10, 1.378669556144038701e-09, -5.387321823320773856e-10, -1.413993964759834910e-09, -1.298899832448009745e-10, -9.321145349339380870e-11
1.916000000000000000e+03, 1.457879511528876503e-09, 2.921030266697242821e-10, 4.097282967604594895e-10, -3.902912343391015857e-10, 8.563247748900850345e-10, 5.037352525543422052e-10, -1.540294463378206012e-10, 2.710536973122494290e-10
1.917000000000000000e+03, 5.581671444706964801e-10, 5.479269715949660226e-11, 2.390037357291250648e-10, -1.143104765750361736e-09, 9.374758660011787143e-10, 3.217148062823379543e-10, -4.924197799763759219e-10, -6.630887732073795891e-12
1.918000000000000000e+03, -1.287462392988018028e-09, 3.868147405097472633e-10, -5.209284906872478887e-10, -1.122033660669409632e-09, 1.211388672744661953e-09, -2.924253597515130848e-10, 6.336023743806238262e-11, -3.074268290103085736e-11
1.919000000000000000e+03, 4.016889226433094994e-10, 4.855116237322498940e-12, 7.908126912424329017e-10, 3.617144392123630811e-10, -5.072327570834031456e-11, -1.611029748233294714e-09, 5.655099946955252832e-10, 2.434991236110378632e-11
1.920000000000000000e+03, 1.081373029912633405e-09, -2.642134389718988515e-10, 1.785886842311227064e-10, 4.314217902329677237e-10, -1.121888985163298137e-09, 6.136385552775821030e-10, -6.013034887309452353e-11, 1.073031494664251163e-11
1.921000000000000000e+03, 2.231229238655066965e-10, -7.608063862056361717e-11, 6.678640141513779409e-10, 6.302750862458915222e-10, -4.602220799785468126e-10, 2.371203599848190593e-09, -3.732621931639398350e-11, -1.076417311209878051e-10
1.922000000000000000e+03, 2.444436736974592977e-11, -5.232421713471799431e-10, 1.042673666571540354e-09, 1.285096564380674510e-09, -9.697645123200761817e-10, -1.855136436054391211e-09, -1.563213337530879481e-10, -3.566939198261305377e-10
1.923000000000000000e+03, -2.068515027695870408e-09, 9.685480328040213716e-11, -5.605952754891567201e-10, 1.747388759276143096e-10, -4.940938662672422995e-10, -1.969523611112979157e-09, 2.183020480410552013e-10, 4.288016347375772112e-10
1.924000000000000000e+03, -9.834447528694998143e-10, -2.661651041420699645e-10, -2.664692214790923039e-10, -1.111717884399185583e-09, -4.915344266914460291e-10, 4.621295270054594208e-10, 4.342459320750956214e-10, -7.398560472911835157e-10
1.925000000000000000e+03, 8.972427110016154995e-10, 4.150335140217710962e-10, 2.341459866764255599e-10, -1.281983103444829962e-09, 1.876836542437191719e-10, 2.268867671793531060e-09, 4.275565500388746520e-10, 4.844347687783015931e-10
1.926000000000000000e+03, 2.449416250885534947e-10, -5.098337664982210819e-11, -1.150132795598304679e-09, -5.370090792710255019e-10, -4.620772091759365665e-10, 1.808361723264170046e-09, 7.108210878344390657e-11, 9.250230360960389227e-11
1.927000000000000000e+03, -1.372890754439653486e-10, -4.630732567907320903e-10, 7.593084227969608289e-10, -9.360086692391890789e-11, 3.456854636398467659e-11, -1.707773999926586501e-09, -7.753823101638005968e-10, 7.226825773970612703e-12
