year, TaiESM1, CNRM-ESM2-1, MIROC-ES2L, INM-CM5-0, EC-Earth3-Veg, UKESM1-0-LL, CESM2-WACCM, CMCC-CM2-SR5, IPSL-CM6A-LR, NorESM2-MM, CanESM5, GFDL-ESM4, ACCESS-ESM1-5, INM-CM4-8, NorESM2-LM, MPI-ESM1-2-LR
2.063000000000000000e+03, 2.155923938071176327e+00, 2.440632247699392465e+00, 2.333658590391066490e+00, 2.477203673390607985e+00, 2.250553582301036748e+00, 2.314306640302042251e+00, 2.169781202452812252e+00, 2.221732677795881905e+00, 2.711584610455440192e+00, 1.887488545908733384e+00, 2.467611367549287227e+00, 2.249392553704078868e+00, 2.415657076462513597e+00, 2.226524704841964741e+00, 2.158639842354107330e+00, 2.218628540595570353e+00
2.064000000000000000e+03, 1.984465677649452031e+00, 2.378367978674295724e+00, 2.451249273674554807e+00, 2.457884572486945807e+00, 2.334778235899570564e+00, 2.280426987238830971e+00, 2.171967774617143299e+00, 2.264827771874309725e+00, 2.700215598667424555e+00, 1.961309693717782077e+00, 2.383956445844031435e+00, 2.380636445591389538e+00, 2.479872482042813964e+00, 2.142721724167630182e+00, 2.063307694111090385e+00, 2.299416869454539381e+00
2.065000000000000000e+03, 2.059821213449466892e+00, 2.352495398013794148e+00, 2.269839360869062350e+00, 2.331729495319374568e+00, 2.273336959609310259e+00, 2.292642700973562597e+00, 2.113462947306581352e+00, 2.265544634448586780e+00, 2.727738497144609031e+00, 2.085890347189971905e+00, 2.485189295702392442e+00, 2.394791088345511909e+00, 2.375632994058923586e+00, 2.217449461235725838e+00, 2.085821967430137036e+00, 2.246823896590355307e+00
2.066000000000000000e+03, 2.123817233048181041e+00, 2.346888809907700324e+00, 2.420399038504961187e+00, 2.266141450342435970e+00, 2.424375375487956230e+00, 2.261508290397846288e+00, 2.124209954202344708e+00, 2.382371475052154519e+00, 2.780962609499951554e+00, 2.089444384841050439e+00, 2.502543133570040101e+00, 2.284314827399605896e+00, 2.528539333079733886e+00, 2.298604639595544619e+00, 2.112100213609109378e+00, 2.210407074228049940e+00
2.067000000000000000e+03, 2.218315266611432079e+00, 2.246881969858554484e+00, 2.323670449987049746e+00, 2.440787020331721902e+00, 2.420731966676114233e+00, 2.307221197015021374e+00, 2.110814554286588596e+00, 2.374325008443896046e+00, 2.685102290221978549e+00, 1.936908897304492783e+00, 2.557370192946840870e+00, 2.161718336954552289e+00, 2.507201207858317016e+00, 2.257219605136560503e+00, 2.084998223932331474e+00, 2.224305203755536642e+00
2.068000000000000000e+03, 2.025033217927728391e+00, 2.421391062992753085e+00, 2.478785626054565316e+00, 2.380563519392473903e+00, 2.434975490085816041e+00, 2.268390360307950271e+00, 2.172745639864559486e+00, 2.405106078164111150e+00, 2.686471497631763850e+00, 2.089590446835787763e+00, 2.419266107745459582e+00, 2.211285326629278458e+00, 2.420688327854515709e+00, 2.323728119753364130e+00, 1.929944141123407064e+00, 2.100679391402352714e+00
2.069000000000000000e+03, 2.109692062385612132e+00, 2.513591138692763405e+00, 2.408256524783720653e+00, 2.373549899399785446e+00, 2.342045689919656670e+00, 2.347372106223387878e+00, 2.204719296211809620e+00, 2.363171492722666134e+00, 2.737324727310560757e+00, 2.000981839593048317e+00, 2.416584195451162653e+00, 2.369875248511314147e+00, 2.453351285886584243e+00, 2.276504209251039690e+00, 2.138343448709715044e+00, 2.246798005078835647e+00
2.070000000000000000e+03, 2.103401593422467020e+00, 2.352418483480994027e+00, 2.391749047085073077e+00, 2.277214354013039177e+00, 2.175489706448352489e+00, 2.248622852825787444e+00, 2.054941116686855640e+00, 2.083328037230160135e+00, 2.672942597414275312e+00, 2.009533822277709270e+00, 2.432943000235789022e+00, 2.201974063092166922e+00, 2.331336261424631129e+00, 2.310762633590259796e+00, 2.102127723652558178e+00, 2.271604112767993122e+00
2.071000000000000000e+03, 2.182215520889315030e+00, 2.410894590653250624e+00, 2.364834068175265092e+00, 2.313621603079384137e+00, 2.428573239021870389e+00, 2.292377968289162737e+00, 2.272421892372623820e+00, 2.100189014482332972e+00, 2.774685360983673466e+00, 2.053641032697449020e+00, 2.337675271321475901e+00, 2.250793649943006347e+00, 2.473401873014911434e+00, 2.209028653642230111e+00, 2.138770092848824689e+00, 2.170575567203797185e+00
2.072000000000000000e+03, 2.180381796126412031e+00, 2.376711233492525999e+00, 2.260356620040218534e+00, 2.368993914425145508e+00, 2.354017505958156065e+00, 2.320548286056476783e+00, 2.071537278089835343e+00, 2.245936136965874130e+00, 2.744758019927022730e+00, 2.074054738301338130e+00, 2.376880727057687714e+00, 2.462899345716009769e+00, 2.320703353657890489e+00, 2.241613406489308513e+00, 2.153521280082624667e+00, 2.110274643021542662e+00
