year, CNRM-ESM2-1, MPI-ESM1-2-LR, ACCESS-ESM1-5, IPSL-CM6A-LR, GFDL-ESM4, CESM2-WACCM, EC-Earth3-Veg, CanESM5, NorESM2-LM, NorESM2-MM, TaiESM1, CMCC-CM2-SR5, MIROC-ES2L
2.067000000000000000e+03, 7.554699204737119089e+01, 6.060069163777812662e+01, 1.067159721752790880e+01, 2.306192255611918540e+01, 5.907437463960544477e+01, 7.880179432858755106e+00, 1.180854275244441354e+01, 1.874198623151098175e+01, 7.919640852897960492e+00, 8.483986730175056223e+00, 1.705015647559311898e+00, 1.045118623442098382e+01, 7.948288919504319949e+01
2.068000000000000000e+03, 7.559707556369150439e+01, 6.078253861746146214e+01, 1.061182617033500186e+01, 2.299883203140587895e+01, 5.912605463181031240e+01, 8.082401075122524148e+00, 1.169873957752785110e+01, 1.879716211128354431e+01, 8.288355461751452324e+00, 8.448831764170071423e+00, 2.144109458802301749e+00, 1.090755978064101939e+01, 7.941625835297405445e+01
2.069000000000000000e+03, 7.550289016234377470e+01, 6.067096414702849927e+01, 1.056623010078323333e+01, 2.302607699034882671e+01, 5.896883381551982950e+01, 8.038797701456822153e+00, 1.169226309765495664e+01, 1.931972086214694428e+01, 8.126302169930079700e+00, 8.451706993027400472e+00, 1.906604734250582522e+00, 1.158930614093615752e+01, 7.927036978690021840e+01
2.070000000000000000e+03, 7.583968933417936853e+01, 6.055097437943428673e+01, 1.052675665190271204e+01, 2.314724861505456133e+01, 5.944950969233058657e+01, 8.230069165390005992e+00, 1.164098138326939669e+01, 1.950523388483503950e+01, 7.819075020618323713e+00, 8.479266819990746384e+00, 1.819395788138625347e+00, 1.129486612780190136e+01, 7.948890349761386176e+01
2.071000000000000000e+03, 7.598654271147076145e+01, 6.066133583016834052e+01, 1.051721383158502654e+01, 2.306713948205746334e+01, 5.989107521279888857e+01, 8.153541922528441788e+00, 1.140738797784007907e+01, 1.968249104654070436e+01, 7.925287188432720953e+00, 8.465843779090324261e+00, 1.932135995960723829e+00, 1.137028221171434517e+01, 7.930095764997345498e+01
2.072000000000000000e+03, 7.642319493382254336e+01, 6.090296363375931321e+01, 1.045921759988250344e+01, 2.307679235786205751e+01, 5.990769822730666050e+01, 8.147809530569572800e+00, 1.151522411822732828e+01, 1.979680281627893024e+01, 7.849482425317053647e+00, 8.273379855808004280e+00, 1.860814794574096931e+00, 1.060948343489389245e+01, 7.936864095675672104e+01
2.073000000000000000e+03, 7.635059390051428352e+01, 6.079634544380729011e+01, 1.041395990504582159e+01, 2.310485750391978499e+01, 5.991637239340803944e+01, 8.205438802999621473e+00, 1.162933941904938884e+01, 1.953478314078252254e+01, 8.037677189873656758e+00, 8.307223962990546440e+00, 1.852206806328932753e+00, 1.032241129512772204e+01, 7.962379629075041976e+01
2.074000000000000000e+03, 7.640728090624156721e+01, 6.066695660035448867e+01, 1.046506002421601700e+01, 2.309231554142950671e+01, 6.009037734640585882e+01, 8.167370083195546471e+00, 1.187348774366809501e+01, 1.948189844392828007e+01, 8.275863375129704380e+00, 8.532490789843260259e+00, 2.182860903920046169e+00, 1.020045167344665238e+01, 7.970366144772610539e+01
2.075000000000000000e+03, 7.670387521402301445e+01, 6.067516413924116847e+01, 1.051332809289855774e+01, 2.307518388985292290e+01, 6.044940893965999607e+01, 8.282561755837241080e+00, 1.193731028629208524e+01, 1.933745417599612892e+01, 8.167055953160430093e+00, 8.537362460706845013e+00, 1.765988782526800804e+00, 1.015786925925582729e+01, 7.943093407321522648e+01
2.076000000000000000e+03, 7.674616510580254669e+01, 6.074626403826793819e+01, 1.049540428118165103e+01, 2.312091798599729131e+01, 6.079612722770516342e+01, 8.339342520824009952e+00, 1.178689460830193525e+01, 1.953786056226430645e+01, 8.131071498715215284e+00, 8.510668132536133967e+00, 1.643475351613094659e+00, 1.065989640080099754e+01, 7.933671960860066008e+01
2.077000000000000000e+03, 7.691285999593891631e+01, 6.088491547245883595e+01, 1.038946242597094383e+01, 2.321498615730621040e+01, 6.071980264319532239e+01, 8.408338023262702521e+00, 1.141099187597155584e+01, 1.968226370622724986e+01, 8.166612245493681144e+00, 8.590919195680154274e+00, 1.871340716578007823e+00, 1.116814260917722379e+01, 7.952255848678146322e+01
2.078000000000000000e+03, 7.733120446334288545e+01, 6.094868216196135791e+01, 1.027679285630303951e+01, 2.318155653646352832e+01, 6.103130533567095739e+01, 8.529454507574731892e+00, 1.152036203855092822e+01, 1.992842101860269821e+01, 8.421567032448376011e+00, 8.734055970217013964e+00, 2.186089475163250917e+00, 1.003665120421037216e+01, 7.990221268125819165e+01
2.079000000000000000e+03, 7.709824316739407379e+01, 6.082877737902845183e+01, 1.026286466937987107e+01, 2.322109642670152851e+01, 6.135221804747745011e+01, 8.463345545621129062e+00, 1.157800971192099304e+01, 1.973946526036914051e+01, 8.494921735715651678e+00, 8.577345013328340428e+00, 2.060532613606639529e+00, 1.015021105388232847e+01, 8.020275091922825084e+01
2.080000000000000000e+03, 7.714021665280878892e+01, 6.078681487485010848e+01, 1.028895058571954557e+01, 2.326601447129034383e+01, 6.126199218809328073e+01, 8.453302990802246342e+00, 1.174653760840860173e+01, 1.972837526635421312e+01, 8.260883841353738433e+00, 8.662676783105677458e+00, 1.956915278143378067e+00, 1.047359163461164577e+01, 8.022818983648191704e+01
2.081000000000000000e+03, 7.721805620632736122e+01, 6.088782171019216349e+01, 1.032217218386214164e+01, 2.312662899880979595e+01, 6.180438476005028292e+01, 8.343176457126709522e+00, 1.147813145158010784e+01, 1.970955321728593290e+01, 8.293032174233008647e+00, 8.709888709700582154e+00, 1.702099886947695095e+00, 1.042941147027198490e+01, 8.022249509081264307e+01
2.082000000000000000e+03, 7.745846936057129994e+01, 6.079510442696395245e+01, 1.031814720957598830e+01, 2.319249603054242570e+01, 6.235480819148089182e+01, 8.365559812847369159e+00, 1.141298990641136868e+01, 2.006630588953072447e+01, 8.338703616298884569e+00, 8.749520220536510351e+00, 1.799671426557683640e+00, 1.091452903344289105e+01, 8.016872877808593501e+01
2.083000000000000000e+03, 7.783720657905750784e+01, 6.075469443996149010e+01, 1.038771382464358162e+01, 2.323752462968583998e+01, 6.257180788857237275e+01, 8.354544899203295572e+00, 1.127827614018657876e+01, 2.035890375373366368e+01, 8.428751430232281905e+00, 8.497549240912061208e+00, 2.000439562970846019e+00, 1.179108879934665666e+01, 8.038626072920166621e+01
2.084000000000000000e+03, 7.759770110364343054e+01, 6.081228789450076277e+01, 1.037314684054784664e+01, 2.333879594471042296e+01, 6.285850564115688144e+01, 8.423259866068891100e+00, 1.121646663615912409e+01, 1.992452733723010994e+01, 8.299335741522556376e+00, 8.605295143299995786e+00, 1.945762975794026017e+00, 1.117832954225886510e+01, 8.047947015808001936e+01
2.085000000000000000e+03, 7.722410128264779416e+01, 6.072507755613947467e+01, 1.025894476338169881e+01, 2.339063111671540085e+01, 6.290076542969852369e+01, 8.569041637044607640e+00, 1.102562243492189253e+01, 1.937003280155330387e+01, 8.397699023376627991e+00, 8.653424577544276630e+00, 1.849161460805684776e+00, 1.017126852052254549e+01, 8.020055365466269848e+01
2.086000000000000000e+03, 7.748687113799009296e+01, 6.061569884734532820e+01, 1.020417122876502525e+01, 2.355492963093273318e+01, 6.313272873322508616e+01, 8.452259936914126470e+00, 1.103966150490798093e+01, 1.957169315324650327e+01, 8.565923125733123200e+00, 8.560707047115876378e+00, 1.638093554089619097e+00, 1.095931133725341411e+01, 7.993583010730259275e+01
2.087000000000000000e+03, 7.745896447970994814e+01, 6.053229590770860113e+01, 1.014334896770318473e+01, 2.350273599093344146e+01, 6.343950070054631141e+01, 8.650426403483399085e+00, 1.089757848781242444e+01, 1.933593564985200786e+01, 8.544026460517699206e+00, 8.580113280686957111e+00, 1.749553292195022536e+00, 1.125814482485555246e+01, 8.031161348659148302e+01
