year, MPI-ESM1-2-LR, TaiESM1, NorESM2-LM, CanESM5, INM-CM5-0, CESM2-WACCM, GFDL-ESM4, CNRM-ESM2-1, CMCC-CM2-SR5, EC-Earth3-Veg, ACCESS-ESM1-5, IPSL-CM6A-LR, NorESM2-MM, MIROC-ES2L, UKESM1-0-LL, INM-CM4-8
2.051000000000000000e+03, 8.249696880416002021e-02, 1.435082110674094968e+00, 2.899145909322115577e-01, 1.015978982127010877e+00, 5.722413913203167057e-01, 8.126709318324326636e-01, 3.851647374380830491e-01, 1.052163717651033004e+00, -4.881205818982293221e-01, 2.602828344122968263e-01, -4.960876676291629539e-01, 8.013933678946328909e-01, 7.498786047145690192e-01, 4.696701468745510533e-01, 2.931883511924049390e-01, -4.421581051928215045e-01
2.052000000000000000e+03, 5.732011540627037632e-02, 1.940798344823492505e-01, 3.032712766238602198e-01, 3.394079550211258622e-01, 1.115073927281702737e+00, 5.319164764400495793e-01, -1.029197855345015573e-02, 1.416111879814117236e+00, -6.511705213124594806e-03, 3.564569575050291483e-01, 1.571204804989844162e-01, 1.074063428740786641e+00, 8.262719575441255238e-01, 7.625237763869925356e-01, 8.072547092900447252e-01, -1.651590034369904980e-01
2.053000000000000000e+03, 2.220060184103536949e-01, -2.709885133739361462e-01, 1.880554593361936089e-01, 2.854516817948280494e-01, 5.669810319175893065e-01, 4.973011814865469504e-01, 1.127601530303489641e+00, 1.123150893281992690e+00, 4.204455891443615312e-01, 1.799509984061411216e-01, -1.351044613592449761e-01, 9.030914859827475771e-01, 5.785996357658770295e-01, 5.479979970951049939e-01, 3.040419813360302204e-01, -9.363123841609352072e-01
2.054000000000000000e+03, 2.575689499049834130e-01, -4.995827485701518911e-01, 5.203528291500970626e-01, 1.095833244825017871e+00, 1.168304091803035849e+00, 4.864526446403822368e-01, 1.726673218742433291e-01, 8.104880189655014888e-01, 1.066207213416608818e-01, 3.927216490537822902e-02, 3.767200438262178763e-01, 8.176607554487106411e-01, 1.490179046042270083e-01, 6.476807562211881475e-01, 6.366335360868062565e-02, -2.648193263345282600e-01
2.055000000000000000e+03, 8.557474638299240599e-01, -2.639707819937803790e-01, 3.021578763740551121e-01, 4.968423146727823370e-01, 7.929888113933786231e-01, 6.448633708112982976e-01, 1.204881062909351624e-01, 7.760355761603247027e-01, -8.884252803383183572e-01, 6.018418816131851923e-01, 1.923093384456330823e-01, 9.351883586194328357e-01, 5.465956780487997158e-01, 4.798486493790168894e-01, 1.672871852408459870e-01, 3.253637608025315986e-01
2.056000000000000000e+03, 7.019476867348793947e-01, 7.359609386237087048e-02, 5.237280841990654690e-01, 1.925972806395389869e-01, -2.948535731745386204e-02, 6.881086256103354781e-01, 2.758193409142150054e-01, 1.258672081089291961e+00, -7.384554758455450507e-01, 1.017885225925380333e+00, 4.806921167457925415e-01, 7.797031337074227242e-01, 6.361868421017773390e-01, 1.964081426561422039e-01, 2.788052223758555326e-01, 1.187796645891456615e+00
2.057000000000000000e+03, 5.546562879733433205e-01, 4.463338977452063205e-01, 3.429024965719180695e-01, 2.139830830916618354e-01, 7.397230939343050204e-01, 8.519371345845474508e-01, 5.862818521155743756e-01, 1.063322576569397437e+00, 5.581244249392475210e-01, 3.353404133643326235e-01, 1.074539721944278048e+00, 8.671601462863260945e-01, 4.616476515204668840e-01, 6.711596942390275489e-01, 5.568310226270394292e-01, 4.005528263683876822e-01
2.058000000000000000e+03, 7.222016579533419023e-01, 2.673181396097774609e-01, 1.695304680861450253e-01, 7.310252953861470226e-01, 8.481427862158050779e-01, 5.360913990526237072e-01, 2.280734784286909955e-01, 1.455553137275932940e+00, -2.021745720353769135e-02, 4.314504415795820114e-01, 4.229703194518132925e-01, 8.888107270848453201e-01, 4.393659060711200270e-01, 8.929452857434234669e-01, 4.613755626307700086e-01, 2.676104103468993078e-01
2.059000000000000000e+03, -1.713797371417723203e-01, -1.176990107745548853e-01, 3.244172388012864783e-01, 5.309588329814357577e-01, 9.104310041396608266e-01, 7.586449156093953983e-01, 7.569209857455223567e-01, 9.586062936058434847e-01, -2.277701559448437885e-01, -1.654378440349437429e-01, 2.880735071656652102e-01, 1.474940153461902770e-01, 3.009203687347314360e-01, -1.163492270467429146e-01, 2.557169178647906715e-01, 6.827388080252796421e-01
2.060000000000000000e+03, -3.034824556635325275e-03, -5.083155191175450227e-01, 6.344538543398574593e-01, 8.852732722991623060e-01, -2.343139127702726365e-01, 4.969080228120278941e-01, 8.830779010350019859e-03, 1.362052474528949730e+00, 2.066910498972612809e-01, 1.609686765559765684e-02, 7.556632616171269357e-01, 8.676704817616400778e-01, 5.450897056035575172e-01, 7.564948483326991990e-01, -1.193933207531954616e-02, 3.859129054789900426e-01
