year, CNRM-ESM2-1, TaiESM1, NorESM2-MM, NorESM2-LM, GFDL-ESM4
2.091000000000000000e+03, 9.714793921860983705e-10, 2.470856219463007168e-10, 2.323801018741341273e-10, 1.939010318644418465e-10, 1.629519300039188672e-09
2.092000000000000000e+03, 6.993017130556163721e-10, 3.273666111580349931e-10, 2.384455944085075050e-10, 2.316889200542268851e-10, 1.833043725799462264e-09
2.093000000000000000e+03, 1.291367513462902641e-09, 3.225420264033412008e-10, 1.614656616225504320e-10, 2.086530459951969357e-10, 1.094891995513187841e-09
2.094000000000000000e+03, 1.132666060646638521e-09, 2.891084978734675738e-10, 2.326613493513029319e-10, 1.623349626113028660e-10, 1.405761089057306106e-09
2.095000000000000000e+03, 1.032469462046565734e-09, 2.102622155800792991e-10, 2.751644844264717185e-10, 1.944013420754165974e-10, 1.408176358885351076e-09
2.096000000000000000e+03, 1.005136750144929801e-09, 2.587284988086967384e-10, 2.233652444164229550e-10, 1.746903366634067934e-10, 1.342339803709844536e-09
2.097000000000000000e+03, 1.117020776680294758e-09, 2.949613318537481621e-10, 2.544799854915936133e-10, 1.903209740616607329e-10, 1.421123615273279406e-09
2.098000000000000000e+03, 1.195271965889347490e-09, 2.568477413813089674e-10, 3.219570813825313357e-10, 1.663213598137883160e-10, 1.329414064037126070e-09
2.099000000000000000e+03, 1.801908326472211214e-09, 2.409269208265122969e-10, 2.462199961596595341e-10, 1.968635977391996482e-10, 1.547370857961573759e-09
2.100000000000000000e+03, 8.598356505235458320e-10, 2.726484440720636035e-10, 2.818963935687469090e-10, 1.796771358348431750e-10, 1.327991083957041318e-09
